panel_count,arc_fraction_lower,arc_fraction_upper,residual_energy_fraction
320,0.0,0.1,0.5854905938474427
320,0.1,0.2,0.14757231532483103
320,0.2,0.3,0.09926735155544199
320,0.3,0.4,0.07753016886774264
320,0.4,0.5,0.04865679172550326
320,0.5,0.6,0.02364617981507572
320,0.6,0.7,0.005550061008941415
320,0.7,0.8,0.0005424778962456229
320,0.8,0.9,0.0024303231894395342
320,0.9,1.0,0.009313736769336257
640,0.0,0.1,0.5780337199327622
640,0.1,0.2,0.14745421806038572
640,0.2,0.3,0.10164899129989925
640,0.3,0.4,0.07782163818164063
640,0.4,0.5,0.05255060072879815
640,0.5,0.6,0.023191034238089943
640,0.6,0.7,0.005656359579009796
640,0.7,0.8,0.0006509826299801593
640,0.8,0.9,0.0025805097361830992
640,0.9,1.0,0.010411945613251181
1280,0.0,0.1,0.5756493518658663
1280,0.1,0.2,0.14901521718878938
1280,0.2,0.3,0.10078001942229459
1280,0.3,0.4,0.0789288716326588
1280,0.4,0.5,0.05210540940336416
1280,0.5,0.6,0.023759962952351523
1280,0.6,0.7,0.005709155429285759
1280,0.7,0.8,0.0006440147568226663
1280,0.8,0.9,0.0025808428356238378
1280,0.9,1.0,0.01082715451294301
