component,omega_rad_s,speed_mps,row_dof,col_dof,row_index,col_index,added_mass_coefficient,damping_coefficient,added_mass_value,damping_value,dynamic_operator_real,dynamic_operator_imag,active_station_count,clipped_station_count,max_heave_radiation_pressure_abs_pa,max_condition_number,max_residual_norm,section_solver,status
pressure_main_radiation_raw,4.0,2.0,heave,heave,2,2,A33,B33,6341.851401588571,554.5475824421844,-101469.62242541714,2218.1903297687377,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_raw,4.0,2.0,heave,pitch,2,4,A35,B35,6034.956270819224,13580.139051191876,-96559.30033310759,54320.556204767505,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_raw,4.0,2.0,pitch,heave,4,2,A53,B53,6104.274718624495,896.4362480147311,-97668.39549799192,3585.7449920589243,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_raw,4.0,2.0,pitch,pitch,4,4,A55,B55,36401.094329954285,14354.507749340071,-582417.5092792686,57418.030997360285,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_clipped_like_force,4.0,2.0,heave,heave,2,2,A33,B33,6341.851401588571,665.7008217070467,-101469.62242541714,2662.8032868281866,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_clipped_like_force,4.0,2.0,heave,pitch,2,4,A35,B35,6021.062115911116,13122.854624856232,-96336.99385457786,52491.41849942493,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_clipped_like_force,4.0,2.0,pitch,heave,4,2,A53,B53,6104.274718624495,439.1518216790875,-97668.39549799192,1756.60728671635,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_clipped_like_force,4.0,2.0,pitch,pitch,4,4,A55,B55,36458.25488324624,16235.775879284909,-583332.0781319399,64943.103517139636,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
force_main_radiation,4.0,2.0,heave,heave,2,2,A33,B33,6341.851401588571,665.7008217070468,-101469.62242541714,2662.803286828187,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
force_main_radiation,4.0,2.0,heave,pitch,2,4,A35,B35,6021.062115911114,13122.85462485623,-96336.99385457783,52491.41849942492,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
force_main_radiation,4.0,2.0,pitch,heave,4,2,A53,B53,6104.274718624496,439.15182167908745,-97668.39549799194,1756.6072867163498,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
force_main_radiation,4.0,2.0,pitch,pitch,4,4,A55,B55,36458.254883246234,16235.77587928491,-583332.0781319398,64943.10351713964,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_raw_minus_force_main_radiation,4.0,2.0,heave,heave,2,2,A33,B33,-0.0,-111.15323926486235,0.0,-444.6129570594494,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_raw_minus_force_main_radiation,4.0,2.0,heave,pitch,2,4,A35,B35,13.894154908110067,457.28442633564555,-222.30647852976108,1829.1377053425822,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_raw_minus_force_main_radiation,4.0,2.0,pitch,heave,4,2,A53,B53,-9.094947017729282e-13,457.2844263356436,1.4551915228366852e-11,1829.1377053425745,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_raw_minus_force_main_radiation,4.0,2.0,pitch,pitch,4,4,A55,B55,-57.16055329194933,-1881.2681299448395,914.5688526711892,-7525.072519779358,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_clipped_minus_force_main_radiation,4.0,2.0,heave,heave,2,2,A33,B33,-0.0,-1.1368683772161603e-13,0.0,-4.547473508864641e-13,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_clipped_minus_force_main_radiation,4.0,2.0,heave,pitch,2,4,A35,B35,1.8189894035458565e-12,1.8189894035458565e-12,-2.9103830456733704e-11,7.275957614183426e-12,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_clipped_minus_force_main_radiation,4.0,2.0,pitch,heave,4,2,A53,B53,-9.094947017729282e-13,5.684341886080802e-14,1.4551915228366852e-11,2.2737367544323206e-13,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_clipped_minus_force_main_radiation,4.0,2.0,pitch,pitch,4,4,A55,B55,7.275957614183426e-12,-1.8189894035458565e-12,-1.1641532182693481e-10,-7.275957614183426e-12,6,1,8188.887685832365,20.646823533047723,3.8253469769070744e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
