eta,xi,pressure_coefficient
-0.9807870430752184,0.0527871653117917,5.15765880874117
-0.9423611292256553,0.1583614959353751,5.306778553040422
-0.9039352153760921,0.26393582655895853,5.388156408297249
-0.8655093015265289,0.3695101571825419,5.434002829531277
-0.8270833876769659,0.4750844878061253,5.471791628649513
-0.7886574738274026,0.5806588184297087,5.5085000578699175
-0.7502315599778395,0.686233149053292,5.546938486324187
-0.7118056461282765,0.7918074796768755,5.588653440030919
-0.6733797322787132,0.8973818103004589,5.634750000299522
-0.6349538184291501,1.0029561409240424,5.686193197077978
-0.5965279045795869,1.1085304715476256,5.743947191606885
-0.5581019907300238,1.214104802171209,5.809059474727313
-0.5196760768804606,1.3196791327947923,5.88272863629434
-0.4812501630308975,1.4252534634183758,5.966372337424749
-0.44282424918133434,1.5308277940419592,6.06170410338666
-0.40439833533177116,1.6364021246655427,6.170823147032129
-0.36597242148220804,1.7419764552891261,6.296315281631099
-0.32754650763264487,1.8475507859127096,6.441349209771251
-0.2891205937830817,1.9531251165362928,6.609724366341458
-0.25069467993351857,2.058699447159876,6.8057978997106705
-0.2122687660839554,2.1642737777834595,7.0343689178717455
-0.17384285223439222,2.269848108407043,7.3020596746585476
-0.1354169383848291,2.3754224390306264,7.632601019732611
-0.09699102453526592,2.48099676965421,7.94704582134199
