radius_beams,free_panels,control_panels,stations,dt_s,minimum_free_length_m,max_operator_eigenvalue_real,max_operator_eigenvalue_imag,spectral_radius,local_amplification,map_residual,rhs_replay_error
3.0,64,96,81,0.03456841270825927,0.004143203796014933,352.54347968424713,0.0,1.4340044916019299,True,9.730993880731582e-16,0.0
3.0,64,96,161,0.017284206354129635,0.004143203796014933,352.54347968424713,0.0,1.0000000000000058,False,9.730993880731582e-16,0.0
3.0,64,96,321,0.008642103177064818,0.004143203796014933,352.54347968424713,0.0,1.0000000000000082,False,9.730993880731582e-16,0.0
3.0,128,192,81,0.03456841270825927,0.00146484375,998.7646488340667,3.767635779384511e-14,9.600060400191433,True,1.3367742682856351e-15,0.0
3.0,128,192,161,0.017284206354129635,0.00146484375,998.7646488340667,3.767635779384511e-14,1.0000000000000087,False,1.3367742682856351e-15,0.0
3.0,128,192,321,0.008642103177064818,0.00146484375,998.7646488340667,3.767635779384511e-14,1.000000000000009,False,1.3367742682856351e-15,0.0
4.5,64,96,81,0.03456841270825927,0.00662912607362387,212.9178370326011,0.0,1.000000000000006,False,9.224665705500774e-16,0.0
4.5,64,96,161,0.017284206354129635,0.00662912607362387,212.9178370326011,0.0,1.0000000000000078,False,9.224665705500774e-16,0.0
4.5,64,96,321,0.008642103177064818,0.00662912607362387,212.9178370326011,0.0,1.0000000000000053,False,9.224665705500774e-16,0.0
4.5,128,192,81,0.03456841270825927,0.0023437500000000056,629.1559557055693,1.9465984293170467e-14,5.179835541938876,True,1.2337690290281704e-15,0.0
4.5,128,192,161,0.017284206354129635,0.0023437500000000056,629.1559557055693,1.9465984293170467e-14,1.000000000000008,False,1.2337690290281704e-15,0.0
4.5,128,192,321,0.008642103177064818,0.0023437500000000056,629.1559557055693,1.9465984293170467e-14,1.0000000000000115,False,1.2337690290281704e-15,0.0
6.0,64,96,81,0.03456841270825927,0.009115048351232835,151.33770749112566,1.6471273643186802e-15,1.0000000000000102,False,1.1721263815160317e-15,0.0
6.0,64,96,161,0.017284206354129635,0.009115048351232835,151.33770749112566,1.6471273643186802e-15,1.000000000000005,False,1.1721263815160317e-15,0.0
6.0,64,96,321,0.008642103177064818,0.009115048351232835,151.33770749112566,1.6471273643186802e-15,1.0000000000000053,False,1.1721263815160317e-15,0.0
6.0,128,192,81,0.03456841270825927,0.003222656250000011,457.2397193066044,2.3527109508721682e-14,3.0280062145767523,True,1.6502187677182366e-15,0.0
6.0,128,192,161,0.017284206354129635,0.003222656250000011,457.2397193066044,2.3527109508721682e-14,1.0000000000000098,False,1.6502187677182366e-15,0.0
6.0,128,192,321,0.008642103177064818,0.003222656250000011,457.2397193066044,2.3527109508721682e-14,1.0000000000000098,False,1.6502187677182366e-15,0.0
