benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,row_family,column_family,station_index,x_m,x_over_l,row_measure_norm,row_measure_x_gradient_norm,stokes_m_measure_norm,row_measure_gradient_to_stokes_m_norm_ratio,row_measure_gradient_stokes_m_alignment,row_measure_transport_density_value_per_m,stokes_body_forward_density_value_per_m,transport_minus_stokes_density_value_per_m,transport_to_stokes_density_ratio,diagnostic_flags,candidate_policy,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave_row_N3_m3,heave_radiation,0,0.075,0.024999999999999998,0.011825653385902964,0.15328993916400582,0.0,,,0.0,0.0,0.0,,first_active_station;row_measure_gradient_nonzero_while_stokes_m_zero,diagnostic-only; does not alter matched_bie_station_sweep coefficients,diagnostic_row_measure_transport_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave_row_N3_m3,heave_radiation,1,0.15,0.049999999999999996,0.022932178355564898,0.1429805715153069,0.0,,,0.0,0.0,0.0,,row_measure_gradient_nonzero_while_stokes_m_zero,diagnostic-only; does not alter matched_bie_station_sweep coefficients,diagnostic_row_measure_transport_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave_row_N3_m3,heave_radiation,2,0.22499999999999998,0.075,0.03326553583431038,0.13282084753883105,0.0,,,0.0,0.0,0.0,,row_measure_gradient_nonzero_while_stokes_m_zero,diagnostic-only; does not alter matched_bie_station_sweep coefficients,diagnostic_row_measure_transport_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave_row_N3_m3,heave_radiation,3,0.3,0.09999999999999999,0.042824444517444514,0.12295085003373894,0.0,,,0.0,0.0,0.0,,row_measure_gradient_nonzero_while_stokes_m_zero,diagnostic-only; does not alter matched_bie_station_sweep coefficients,diagnostic_row_measure_transport_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave_row_N3_m3,heave_radiation,4,0.375,0.125,0.051638273719090785,0.11358876736726184,0.0,,,0.0,0.0,0.0,,row_measure_gradient_nonzero_while_stokes_m_zero,diagnostic-only; does not alter matched_bie_station_sweep coefficients,diagnostic_row_measure_transport_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave_row_N3_m3,heave_radiation,5,0.44999999999999996,0.15,0.05974744045763267,0.10474052043028445,0.0,,,0.0,0.0,0.0,,row_measure_gradient_nonzero_while_stokes_m_zero,diagnostic-only; does not alter matched_bie_station_sweep coefficients,diagnostic_row_measure_transport_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave_row_N3_m3,heave_radiation,6,0.525,0.17500000000000002,0.06719177004063911,0.09632422284716934,0.0,,,0.0,0.0,0.0,,row_measure_gradient_nonzero_while_stokes_m_zero,diagnostic-only; does not alter matched_bie_station_sweep coefficients,diagnostic_row_measure_transport_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave_row_N3_m3,heave_radiation,7,0.6,0.19999999999999998,0.07400549753709816,0.08824209646014902,0.0,,,0.0,0.0,0.0,,row_measure_gradient_nonzero_while_stokes_m_zero,diagnostic-only; does not alter matched_bie_station_sweep coefficients,diagnostic_row_measure_transport_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave_row_N3_m3,heave_radiation,8,0.6749999999999999,0.22499999999999998,0.08021608844540967,0.08040906132378267,0.0,,,0.0,0.0,0.0,,row_measure_gradient_nonzero_while_stokes_m_zero,diagnostic-only; does not alter matched_bie_station_sweep coefficients,diagnostic_row_measure_transport_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave_row_N3_m3,heave_radiation,9,0.75,0.25,0.08584476826814368,0.07275915460229909,0.0,,,0.0,0.0,0.0,,row_measure_gradient_nonzero_while_stokes_m_zero,diagnostic-only; does not alter matched_bie_station_sweep coefficients,diagnostic_row_measure_transport_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave_row_N3_m3,heave_radiation,10,0.825,0.27499999999999997,0.09090760461961443,0.06524361648014601,0.0,,,0.0,0.0,0.0,,row_measure_gradient_nonzero_while_stokes_m_zero,diagnostic-only; does not alter matched_bie_station_sweep coefficients,diagnostic_row_measure_transport_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave_row_N3_m3,heave_radiation,11,0.8999999999999999,0.3,0.09541662123342601,0.057826990895365214,0.0,,,0.0,0.0,0.0,,row_measure_gradient_nonzero_while_stokes_m_zero,diagnostic-only; does not alter matched_bie_station_sweep coefficients,diagnostic_row_measure_transport_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave_row_N3_m3,heave_radiation,12,0.975,0.325,0.0993807551703704,0.05048350251258358,0.0,,,0.0,0.0,0.0,,row_measure_gradient_nonzero_while_stokes_m_zero,diagnostic-only; does not alter matched_bie_station_sweep coefficients,diagnostic_row_measure_transport_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave_row_N3_m3,heave_radiation,13,1.05,0.35000000000000003,0.10280661714103084,0.04319425259708837,0.0,,,0.0,0.0,0.0,,row_measure_gradient_nonzero_while_stokes_m_zero,diagnostic-only; does not alter matched_bie_station_sweep coefficients,diagnostic_row_measure_transport_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave_row_N3_m3,heave_radiation,14,1.125,0.375,0.10569907156951804,0.03594519058202185,0.0,,,0.0,0.0,0.0,,row_measure_gradient_nonzero_while_stokes_m_zero,diagnostic-only; does not alter matched_bie_station_sweep coefficients,diagnostic_row_measure_transport_not_hard_gate
