axis,level_mid,omega,component,real_mid,imag_mid,level_fine,real_fine,imag_fine,change,tolerance,passed
station,1,16.734,A33,0.20186947177490835,0.0,2,0.20179919215038394,0.0,7.027962452441083e-05,0.010089959607519197,True
station,1,16.734,A35,0.008796192216142609,0.0,2,0.008752627211336432,0.0,4.356500480617691e-05,0.001,True
station,1,16.734,A53,0.01628247573884816,0.0,2,0.01628172916264781,0.0,7.46576200350707e-07,0.001,True
station,1,16.734,A55,0.012794254664925791,0.0,2,0.012791647978657948,0.0,2.6066862678433833e-06,0.001,True
station,1,16.734,B33,0.2928954312460155,0.0,2,0.2926368941421468,0.0,0.00025853710386875006,0.01463184470710734,True
station,1,16.734,B35,-0.14369897304487744,0.0,2,-0.14367473693635907,0.0,2.423610851837177e-05,0.007183736846817954,True
station,1,16.734,B53,0.17380841208723857,0.0,2,0.17402699466524515,0.0,0.00021858257800658198,0.008701349733262259,True
station,1,16.734,B55,0.005638637434135769,0.0,2,0.005705086003533062,0.0,6.644856939729254e-05,0.001,True
station,1,16.734,F3,0.07520774319372495,-0.33550783678813134,2,0.07519225903178657,-0.3358316147742505,0.0003241480272442054,0.01720732033904349,True
station,1,16.734,F5,0.1369105217944033,0.008808819025910661,2,0.13695872657514818,0.008840493367182536,5.767984727501676e-05,0.0068621875353383835,True
station,1,5.601,A33,0.32528484564144067,0.0,2,0.32545891338086613,0.0,0.00017406773942546527,0.016272945669043307,True
station,1,5.601,A35,0.058623764763763075,0.0,2,0.058785614368948816,0.0,0.00016184960518574043,0.002939280718447441,True
station,1,5.601,A53,-0.018098845345335846,0.0,2,-0.01814186542166715,0.0,4.302007633130364e-05,0.001,True
station,1,5.601,A55,0.03404558131505571,0.0,2,0.034038443872026265,0.0,7.137443029443802e-06,0.0017019221936013134,True
station,1,5.601,B33,0.2329569589589864,0.0,2,0.233641094555927,0.0,0.0006841355969405827,0.01168205472779635,True
station,1,5.601,B35,-0.20247020417265596,0.0,2,-0.20229461595065376,0.0,0.0001755882220021987,0.010114730797532688,True
station,1,5.601,B53,0.23488908274888204,0.0,2,0.23506776830384815,0.0,0.0001786855549661126,0.011753388415192408,True
station,1,5.601,B55,0.033687441504260195,0.0,2,0.03378715509465771,0.0,9.971359039751687e-05,0.0016893577547328856,True
station,1,5.601,F3,-0.041255438934270826,-0.7040067356265881,2,-0.04123985971236169,-0.7041723504686486,0.00016634598902890465,0.03526894615641487,True
station,1,5.601,F5,0.04080817378063875,-0.06332331086722616,2,0.040786831416603754,-0.06336896622421469,5.039750117170731e-05,0.003768020533825458,True
body,1,16.734,A33,0.20186947177490835,0.0,2,0.20188194792147648,0.0,1.2476146568130009e-05,0.010094097396073825,True
body,1,16.734,A35,0.008796192216142609,0.0,2,0.008798391444027703,0.0,2.1992278850940794e-06,0.001,True
body,1,16.734,A53,0.01628247573884816,0.0,2,0.01628214043903871,0.0,3.3529980945218307e-07,0.001,True
body,1,16.734,A55,0.012794254664925791,0.0,2,0.012794108587702932,0.0,1.4607722285953084e-07,0.001,True
body,1,16.734,B33,0.2928954312460155,0.0,2,0.29281444939622586,0.0,8.098184978966305e-05,0.014640722469811294,True
body,1,16.734,B35,-0.14369897304487744,0.0,2,-0.14371190090748762,0.0,1.2927862610173646e-05,0.007185595045374381,True
body,1,16.734,B53,0.17380841208723857,0.0,2,0.1738106042467357,0.0,2.192159497121926e-06,0.008690530212336785,True
body,1,16.734,B55,0.005638637434135769,0.0,2,0.0056360170631378275,0.0,2.620370997941622e-06,0.001,True
body,1,16.734,F3,0.07520774319372495,-0.33550783678813134,2,0.07523907576707649,-0.33551820923114245,3.30048136920729e-05,0.017192541060584716,True
body,1,16.734,F5,0.1369105217944033,0.008808819025910661,2,0.13691164008773873,0.008815166058453871,6.4447965125858645e-06,0.006859756618159391,True
body,1,5.601,A33,0.32528484564144067,0.0,2,0.3252587622510252,0.0,2.6083390415487795e-05,0.01626293811255126,True
body,1,5.601,A35,0.058623764763763075,0.0,2,0.05860914317269102,0.0,1.4621591072058737e-05,0.002930457158634551,True
body,1,5.601,A53,-0.018098845345335846,0.0,2,-0.018088315900237316,0.0,1.0529445098529655e-05,0.001,True
body,1,5.601,A55,0.03404558131505571,0.0,2,0.03404582463699829,0.0,2.433219425806987e-07,0.0017022912318499146,True
body,1,5.601,B33,0.2329569589589864,0.0,2,0.23287924028545612,0.0,7.77186735302915e-05,0.011643962014272806,True
body,1,5.601,B35,-0.20247020417265596,0.0,2,-0.20246921433804774,0.0,9.898346082226617e-07,0.010123460716902387,True
body,1,5.601,B53,0.23488908274888204,0.0,2,0.23487497557745446,0.0,1.4107171427579779e-05,0.011743748778872723,True
body,1,5.601,B55,0.033687441504260195,0.0,2,0.033676482355385264,0.0,1.0959148874931102e-05,0.0016838241177692633,True
body,1,5.601,F3,-0.041255438934270826,-0.7040067356265881,2,-0.04122451975375697,-0.7040106421606555,3.1164992091573866e-05,0.03526082973018312,True
body,1,5.601,F5,0.04080817378063875,-0.06332331086722616,2,0.040808660104003525,-0.06332206681486834,1.3357307678314739e-06,0.0037666400429264345,True
free_surface,1,16.734,A33,0.20186947177490835,0.0,2,0.19615567465181397,0.0,0.0057137971230943885,0.009807783732590699,True
free_surface,1,16.734,A35,0.008796192216142609,0.0,2,0.009546790962162837,0.0,0.0007505987460202281,0.001,True
