axis,level,omega,component,real,imag
station,0,16.734,A33,0.20184483265112424,0.0
station,0,16.734,A35,0.008860031358817116,0.0
station,0,16.734,A53,0.01622579444034288,0.0
station,0,16.734,A55,0.012788145908909433,0.0
station,0,16.734,B33,0.2938923328208863,0.0
station,0,16.734,B35,-0.14355860539258467,0.0
station,0,16.734,B53,0.17316875604039883,0.0
station,0,16.734,B55,0.005529432057990475,0.0
station,0,16.734,F3,0.07471746639636206,-0.33485630583042475
station,0,16.734,F5,0.13663866857720228,0.008570584980750194
station,0,5.601,A33,0.32473363170483144,0.0
station,0,5.601,A35,0.05822814788232109,0.0
station,0,5.601,A53,-0.018065007234225286,0.0
station,0,5.601,A55,0.03404106079202402,0.0
station,0,5.601,B33,0.2315271486239983,0.0
station,0,5.601,B35,-0.20273423583387595,0.0
station,0,5.601,B53,0.23433000771574924,0.0
station,0,5.601,B55,0.03348171587258915,0.0
station,0,5.601,F3,-0.041479774080742306,-0.7033622012478186
station,0,5.601,F5,0.04082007296206453,-0.06308382652193512
station,1,16.734,A33,0.20186947177490835,0.0
station,1,16.734,A35,0.008796192216142609,0.0
station,1,16.734,A53,0.01628247573884816,0.0
station,1,16.734,A55,0.012794254664925791,0.0
station,1,16.734,B33,0.2928954312460155,0.0
station,1,16.734,B35,-0.14369897304487744,0.0
station,1,16.734,B53,0.17380841208723857,0.0
station,1,16.734,B55,0.005638637434135769,0.0
station,1,16.734,F3,0.07520774319372495,-0.33550783678813134
station,1,16.734,F5,0.1369105217944033,0.008808819025910661
station,1,5.601,A33,0.32528484564144067,0.0
station,1,5.601,A35,0.058623764763763075,0.0
station,1,5.601,A53,-0.018098845345335846,0.0
station,1,5.601,A55,0.03404558131505571,0.0
station,1,5.601,B33,0.2329569589589864,0.0
station,1,5.601,B35,-0.20247020417265596,0.0
station,1,5.601,B53,0.23488908274888204,0.0
station,1,5.601,B55,0.033687441504260195,0.0
station,1,5.601,F3,-0.041255438934270826,-0.7040067356265881
station,1,5.601,F5,0.04080817378063875,-0.06332331086722616
station,2,16.734,A33,0.20179919215038394,0.0
station,2,16.734,A35,0.008752627211336432,0.0
station,2,16.734,A53,0.01628172916264781,0.0
station,2,16.734,A55,0.012791647978657948,0.0
station,2,16.734,B33,0.2926368941421468,0.0
station,2,16.734,B35,-0.14367473693635907,0.0
station,2,16.734,B53,0.17402699466524515,0.0
station,2,16.734,B55,0.005705086003533062,0.0
station,2,16.734,F3,0.07519225903178657,-0.3358316147742505
station,2,16.734,F5,0.13695872657514818,0.008840493367182536
station,2,5.601,A33,0.32545891338086613,0.0
station,2,5.601,A35,0.058785614368948816,0.0
station,2,5.601,A53,-0.01814186542166715,0.0
station,2,5.601,A55,0.034038443872026265,0.0
station,2,5.601,B33,0.233641094555927,0.0
station,2,5.601,B35,-0.20229461595065376,0.0
station,2,5.601,B53,0.23506776830384815,0.0
station,2,5.601,B55,0.03378715509465771,0.0
station,2,5.601,F3,-0.04123985971236169,-0.7041723504686486
station,2,5.601,F5,0.040786831416603754,-0.06336896622421469
body,0,16.734,A33,0.20199202695063562,0.0
body,0,16.734,A35,0.008796500976750488,0.0
body,0,16.734,A53,0.01629269644393639,0.0
body,0,16.734,A55,0.012802855680304781,0.0
body,0,16.734,B33,0.2931782748230394,0.0
body,0,16.734,B35,-0.14378566888419958,0.0
body,0,16.734,B53,0.1739354567838294,0.0
body,0,16.734,B55,0.005648375201671834,0.0
body,0,16.734,F3,0.07516380875953804,-0.33562319082304815
body,0,16.734,F5,0.13694737067749244,0.00877445214933209
body,0,5.601,A33,0.32554849938787367,0.0
body,0,5.601,A35,0.05868638706220449,0.0
body,0,5.601,A53,-0.018128526291001045,0.0
body,0,5.601,A55,0.03406784980184281,0.0
body,0,5.601,B33,0.23324249250919732,0.0
body,0,5.601,B35,-0.2026055617476756,0.0
body,0,5.601,B53,0.23507313996358428,0.0
body,0,5.601,B55,0.03372757141142121,0.0
body,0,5.601,F3,-0.04139353105486853,-0.7040640841191553
body,0,5.601,F5,0.040799297002148106,-0.0633372598587253
body,1,16.734,A33,0.20186947177490835,0.0
body,1,16.734,A35,0.008796192216142609,0.0
body,1,16.734,A53,0.01628247573884816,0.0
body,1,16.734,A55,0.012794254664925791,0.0
body,1,16.734,B33,0.2928954312460155,0.0
body,1,16.734,B35,-0.14369897304487744,0.0
body,1,16.734,B53,0.17380841208723857,0.0
body,1,16.734,B55,0.005638637434135769,0.0
body,1,16.734,F3,0.07520774319372495,-0.33550783678813134
body,1,16.734,F5,0.1369105217944033,0.008808819025910661
body,1,5.601,A33,0.32528484564144067,0.0
body,1,5.601,A35,0.058623764763763075,0.0
body,1,5.601,A53,-0.018098845345335846,0.0
body,1,5.601,A55,0.03404558131505571,0.0
body,1,5.601,B33,0.2329569589589864,0.0
body,1,5.601,B35,-0.20247020417265596,0.0
body,1,5.601,B53,0.23488908274888204,0.0
body,1,5.601,B55,0.033687441504260195,0.0
body,1,5.601,F3,-0.041255438934270826,-0.7040067356265881
body,1,5.601,F5,0.04080817378063875,-0.06332331086722616
body,2,16.734,A33,0.20188194792147648,0.0
body,2,16.734,A35,0.008798391444027703,0.0
body,2,16.734,A53,0.01628214043903871,0.0
body,2,16.734,A55,0.012794108587702932,0.0
body,2,16.734,B33,0.29281444939622586,0.0
body,2,16.734,B35,-0.14371190090748762,0.0
body,2,16.734,B53,0.1738106042467357,0.0
body,2,16.734,B55,0.0056360170631378275,0.0
body,2,16.734,F3,0.07523907576707649,-0.33551820923114245
body,2,16.734,F5,0.13691164008773873,0.008815166058453871
body,2,5.601,A33,0.3252587622510252,0.0
body,2,5.601,A35,0.05860914317269102,0.0
body,2,5.601,A53,-0.018088315900237316,0.0
body,2,5.601,A55,0.03404582463699829,0.0
body,2,5.601,B33,0.23287924028545612,0.0
body,2,5.601,B35,-0.20246921433804774,0.0
body,2,5.601,B53,0.23487497557745446,0.0
body,2,5.601,B55,0.033676482355385264,0.0
body,2,5.601,F3,-0.04122451975375697,-0.7040106421606555
body,2,5.601,F5,0.040808660104003525,-0.06332206681486834
free_surface,0,16.734,A33,0.22796568274610368,0.0
free_surface,0,16.734,A35,0.009896479448891356,0.0
free_surface,0,16.734,A53,0.018543431458013807,0.0
free_surface,0,16.734,A55,0.014125558530485006,0.0
free_surface,0,16.734,B33,0.16448111513618272,0.0
free_surface,0,16.734,B35,-0.1845482967024462,0.0
free_surface,0,16.734,B53,0.20154589156725108,0.0
free_surface,0,16.734,B55,0.005874942208461577,0.0
free_surface,0,16.734,F3,0.11325679661285679,-0.34012822133040943
free_surface,0,16.734,F5,0.13990054571289218,0.012324958548456708
free_surface,0,5.601,A33,0.32898215780487583,0.0
free_surface,0,5.601,A35,0.05526461291914512,0.0
free_surface,0,5.601,A53,-0.012356048993846002,0.0
free_surface,0,5.601,A55,0.03570063780064949,0.0
free_surface,0,5.601,B33,0.21104279963686776,0.0
free_surface,0,5.601,B35,-0.20590708396243446,0.0
free_surface,0,5.601,B53,0.23973141329896114,0.0
free_surface,0,5.601,B55,0.028544292258424322,0.0
free_surface,0,5.601,F3,-0.02776005355270254,-0.7066670984470551
free_surface,0,5.601,F5,0.04139930804863436,-0.06449350030913341
free_surface,1,16.734,A33,0.20186947177490835,0.0
free_surface,1,16.734,A35,0.008796192216142609,0.0
free_surface,1,16.734,A53,0.01628247573884816,0.0
free_surface,1,16.734,A55,0.012794254664925791,0.0
free_surface,1,16.734,B33,0.2928954312460155,0.0
free_surface,1,16.734,B35,-0.14369897304487744,0.0
free_surface,1,16.734,B53,0.17380841208723857,0.0
free_surface,1,16.734,B55,0.005638637434135769,0.0
free_surface,1,16.734,F3,0.07520774319372495,-0.33550783678813134
free_surface,1,16.734,F5,0.1369105217944033,0.008808819025910661
free_surface,1,5.601,A33,0.32528484564144067,0.0
free_surface,1,5.601,A35,0.058623764763763075,0.0
free_surface,1,5.601,A53,-0.018098845345335846,0.0
free_surface,1,5.601,A55,0.03404558131505571,0.0
free_surface,1,5.601,B33,0.2329569589589864,0.0
free_surface,1,5.601,B35,-0.20247020417265596,0.0
free_surface,1,5.601,B53,0.23488908274888204,0.0
free_surface,1,5.601,B55,0.033687441504260195,0.0
free_surface,1,5.601,F3,-0.041255438934270826,-0.7040067356265881
free_surface,1,5.601,F5,0.04080817378063875,-0.06332331086722616
free_surface,2,16.734,A33,0.19615567465181397,0.0
free_surface,2,16.734,A35,0.009546790962162837,0.0
free_surface,2,16.734,A53,0.014925674242121309,0.0
free_surface,2,16.734,A55,0.012234858406247497,0.0
free_surface,2,16.734,B33,0.35839507578303853,0.0
free_surface,2,16.734,B35,-0.12954359212686783,0.0
free_surface,2,16.734,B53,0.1629015784018844,0.0
free_surface,2,16.734,B55,0.005766790295588734,0.0
free_surface,2,16.734,F3,0.06129098578950911,-0.33923222410785464
free_surface,2,16.734,F5,0.13588753334985937,0.00815564901578051
free_surface,2,5.601,A33,0.3238562987449372,0.0
free_surface,2,5.601,A35,0.05823306031437206,0.0
free_surface,2,5.601,A53,-0.019348089393951638,0.0
free_surface,2,5.601,A55,0.03383357255090314,0.0
free_surface,2,5.601,B33,0.23289820807723902,0.0
free_surface,2,5.601,B35,-0.20405857965086194,0.0
free_surface,2,5.601,B53,0.23358226018927997,0.0
free_surface,2,5.601,B55,0.03454661882566606,0.0
free_surface,2,5.601,F3,-0.044608298276388916,-0.7041627501854218
free_surface,2,5.601,F5,0.04048005595650892,-0.06281236600574362
history_spectral,0,16.734,A33,0.20187722987354006,0.0
history_spectral,0,16.734,A35,0.008798102791302399,0.0
history_spectral,0,16.734,A53,0.016281317636260315,0.0
history_spectral,0,16.734,A55,0.01279394035925651,0.0
history_spectral,0,16.734,B33,0.29293137503539934,0.0
history_spectral,0,16.734,B35,-0.14368594458209166,0.0
history_spectral,0,16.734,B53,0.1738026081996202,0.0
history_spectral,0,16.734,B55,0.005636061521509987,0.0
history_spectral,0,16.734,F3,0.07519798351573148,-0.335541364808957
history_spectral,0,16.734,F5,0.13691637412169086,0.008813910440038033
history_spectral,0,5.601,A33,0.32527594067142357,0.0
history_spectral,0,5.601,A35,0.058614907280552145,0.0
history_spectral,0,5.601,A53,-0.01809093845790808,0.0
history_spectral,0,5.601,A55,0.034047678129741674,0.0
history_spectral,0,5.601,B33,0.23289893234328435,0.0
history_spectral,0,5.601,B35,-0.20247951448000723,0.0
history_spectral,0,5.601,B53,0.23488985416879307,0.0
history_spectral,0,5.601,B55,0.03368215774578291,0.0
history_spectral,0,5.601,F3,-0.04122855505094377,-0.7040280997255497
history_spectral,0,5.601,F5,0.04080638517266434,-0.06331989317111432
history_spectral,1,16.734,A33,0.20186947177490835,0.0
history_spectral,1,16.734,A35,0.008796192216142609,0.0
history_spectral,1,16.734,A53,0.01628247573884816,0.0
history_spectral,1,16.734,A55,0.012794254664925791,0.0
history_spectral,1,16.734,B33,0.2928954312460155,0.0
history_spectral,1,16.734,B35,-0.14369897304487744,0.0
