component,sigma,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,response_calibration_used
bem,1.4,-0.07579564666117827,0.3916643533388217,1.2316489098705086,False
front,1.4,0.622500149372321,1.089960149372321,3.4275476395356006,False
longitudinal_bin_aft_post_chine,1.4,-0.35236702136926945,0.11509297863073054,0.36192760575701427,False
longitudinal_bin_forward_post_chine,1.4,0.10824303532001989,0.5757030353200199,1.810386903522075,False
longitudinal_bin_middle_post_chine,1.4,-0.12428124386571537,0.3431787561342846,1.0791784784097,False
longitudinal_bin_pre_chine,1.4,0.37545187756408027,0.8429118775640803,2.6506662816480513,False
post_chine_bem,1.4,-0.16818279443286366,0.29927720556713633,0.9411232879469695,False
pre_chine_bem,1.4,0.37545187756408027,0.8429118775640803,2.6506662816480513,False
raw_bem,1.4,-0.07579564666117827,0.3916643533388217,1.2316489098705086,False
resolved_station_bem,1.4,-0.04781693281697116,0.41964306718302885,1.3196322867390844,False
total,1.4,-0.03412622722187513,0.43333377277812485,1.3626848200569963,False
transom,1.4,nan,nan,nan,False
transom_extrapolation,1.4,-0.43378907174005416,0.03367092825994583,0.10588342220108751,False
