case,index,omega,dof,incident_response_abs,diffraction_response_abs,total_response_abs,cancellation_fraction,reconstruction_relative_residual,smallest_dimensionless_singular_value,pitch_schur_abs,effective_pitch_force_abs,schur_reconstruction_error,incident_response_real,incident_response_imag,diffraction_response_real,diffraction_response_imag,pitch_schur_real,pitch_schur_imag,effective_pitch_force_real,effective_pitch_force_imag
fn167,0,16.734,heave,0.12203788886611537,0.07831443718816901,0.18361131225495547,0.0835578709218131,4.199488048664681e-16,0.19346986357355556,0.19512423437078183,0.16018545277313953,1.1443916996305594e-16,-0.056119680010393906,0.10836894312684478,0.028114289278012107,0.07309403402803763,-0.19496656884151303,0.00784244049715133,0.15779957287937613,0.02754403890539972
fn167,0,16.734,pitch_times_length,0.5490328005189835,0.3510184516214581,0.8209408395102249,0.08789545311123292,4.199488048664681e-16,0.19346986357355556,0.19512423437078183,0.16018545277313953,1.1443916996305594e-16,-0.46943694260367413,-0.2847208685091992,-0.33294937362382077,0.11116954610967582,-0.19496656884151303,0.00784244049715133,0.15779957287937613,0.02754403890539972
fn167,1,13.7884,heave,0.25742373405825275,0.13757276090287113,0.35996701999453606,0.08868300203533575,2.1861273503468211e-16,0.12465284848098383,0.1260873326908862,0.17247933446687674,2.2215299868541707e-16,-0.0999542523326719,0.23722589718896753,0.0653288000503714,0.1210719307949499,-0.12600063499322361,-0.004674980899068539,0.17247640292764127,0.0010056099038281904
fn167,1,13.7884,pitch_times_length,0.9898796260949836,0.5193827997436963,1.3679354681070495,0.09363975098836552,2.1861273503468211e-16,0.12465284848098383,0.1260873326908862,0.17247933446687674,2.2215299868541707e-16,-0.9524156380699615,-0.2697519722221371,-0.41485171331970033,0.3125004778001303,-0.12600063499322361,-0.004674980899068539,0.17247640292764127,0.0010056099038281904
fn167,2,11.104800000000001,heave,0.5690522958539767,0.24720699260228046,0.7408639913346659,0.09236684738275014,1.0137752011762026e-15,0.06892148872009486,0.0706291503907394,0.19681907170394405,4.965068306494546e-16,-0.06300535373760283,0.5655535702451903,0.18371316359948583,0.16541091472974961,-0.06904327200653956,-0.014882992829020421,0.19419524590535406,-0.032030508178318685
fn167,2,11.104800000000001,pitch_times_length,2.1617603952832587,0.9285403621957367,2.786654952170431,0.09825768724086015,1.0137752011762026e-15,0.06892148872009486,0.0706291503907394,0.19681907170394405,4.965068306494546e-16,-2.1520056774704104,0.2051330562107195,-0.44020145512929965,0.8175633817195075,-0.06904327200653956,-0.014882992829020421,0.19419524590535406,-0.032030508178318685
fn167,3,9.86,heave,0.9531677334230372,0.3695908151915902,1.1981509677045246,0.0942028165613511,1.0668468686977498e-16,0.046669770294529456,0.0486861474221896,0.2247317807048714,4.440892098500626e-16,0.20467044571483997,0.9309343353264498,0.34445398366224445,0.13397322050766114,-0.04392840552189824,-0.02099133485795602,0.2195953595096683,-0.04777291429881523
fn167,3,9.86,pitch_times_length,3.69368974329933,1.4329229994354475,4.615928608112577,0.09961433801410502,1.0668468686977498e-16,0.046669770294529456,0.0486861474221896,0.2247317807048714,4.440892098500626e-16,-3.4112500405216974,1.4165864184000176,-0.23533791515119953,1.4134653826689094,-0.04392840552189824,-0.02099133485795602,0.2195953595096683,-0.04777291429881523
fn167,4,8.6966,heave,1.6793504222258306,0.5793895304275388,2.0411677669774444,0.09632458372215014,1.0050905551542515e-15,0.03183215058540581,0.034503202555109136,0.27513588522155524,3.66205343881779e-15,1.3033573380179293,1.0589983428055458,0.5457376668538744,-0.19458321342277596,-0.01777730950387396,-0.029570902139812415,0.26893064547388623,-0.058103900571714856
fn167,4,8.6966,pitch_times_length,6.5638106925446555,2.2963523476325713,7.9742129671036555,0.09999252486169263,1.0050905551542515e-15,0.03183215058540581,0.034503202555109136,0.27513588522155524,3.66205343881779e-15,-3.595160706397843,5.4916691727321405,1.0224994685367501,2.056144192735443,-0.01777730950387396,-0.029570902139812415,0.26893064547388623,-0.058103900571714856
