case,index,omega,equation,term,coordinate,real,imag
fn167,0,16.734,heave,rigid_inertia,heave,0.032361078968125984,-0.20968597758967816
fn167,0,16.734,heave,rigid_inertia,pitch_times_length,0.0,-0.0
fn167,0,16.734,heave,added_inertia,heave,0.06643676023897371,-0.43048184618076085
fn167,0,16.734,heave,added_inertia,pitch_times_length,0.11011890347453306,0.023818054885387897
fn167,0,16.734,heave,radiation,heave,-0.12759835841200168,-0.019692401944274265
fn167,0,16.734,heave,radiation,pitch_times_length,-0.03534258024905059,0.16340067237706168
fn167,0,16.734,heave,restoring,heave,-0.018335755820339358,0.11880787064672267
fn167,0,16.734,heave,restoring,pitch_times_length,0.02459204639327217,0.00531911136287716
fn167,0,16.734,pitch_times_length,rigid_inertia,heave,-0.0,0.0
fn167,0,16.734,pitch_times_length,rigid_inertia,pitch_times_length,0.08729608721232505,0.018881617332700953
fn167,0,16.734,pitch_times_length,added_inertia,heave,0.004297477550632382,-0.02784582004393626
fn167,0,16.734,pitch_times_length,added_inertia,pitch_times_length,0.1126952472129406,0.024375302502543904
fn167,0,16.734,pitch_times_length,radiation,heave,-0.04588867118146274,-0.007082051594082286
fn167,0,16.734,pitch_times_length,radiation,pitch_times_length,0.001956835982076769,-0.009047112942795433
fn167,0,16.734,pitch_times_length,restoring,heave,-0.0020776448482722988,0.01346225172291788
fn167,0,16.734,pitch_times_length,restoring,pitch_times_length,-0.02478014151912975,-0.00535979520452462
fn167,1,13.7884,heave,rigid_inertia,heave,0.027164707309427372,-0.2810954077201157
fn167,1,13.7884,heave,rigid_inertia,pitch_times_length,-0.0,0.0
fn167,1,13.7884,heave,added_inertia,heave,0.05973655428829983,-0.6181429047695649
fn167,1,13.7884,heave,added_inertia,pitch_times_length,0.17728693596117012,-0.005542991692984207
fn167,1,13.7884,heave,radiation,heave,-0.24092669065362737,-0.02328285292071098
fn167,1,13.7884,heave,radiation,pitch_times_length,0.006082193876938712,0.19453276787859095
fn167,1,13.7884,heave,restoring,heave,-0.02267005821429147,0.23458560345222249
fn167,1,13.7884,heave,restoring,pitch_times_length,0.041904879803368655,-0.0013101834006339214
fn167,1,13.7884,pitch_times_length,rigid_inertia,heave,-0.0,0.0
fn167,1,13.7884,pitch_times_length,rigid_inertia,pitch_times_length,0.10099338442280653,-0.003157624039622341
fn167,1,13.7884,pitch_times_length,added_inertia,heave,0.0024840627162068776,-0.025704625272078056
