case_order,case_label,interval_index,lower_x_m,upper_x_m,channel,interval_contribution
0,sub8,0,0.0,0.2332,cumulative_sine_vertical_force_n,-0.21007275330768396
0,sub8,0,0.0,0.2332,cumulative_sine_pitch_moment_nm,0.05386916190048053
0,sub8,0,0.0,0.2332,cumulative_cosine_vertical_force_n,4.945724712576304
0,sub8,0,0.0,0.2332,cumulative_cosine_pitch_moment_nm,-1.7121610183330644
0,sub8,1,0.2332,0.4664,cumulative_sine_vertical_force_n,-1.2166666482349255
0,sub8,1,0.2332,0.4664,cumulative_sine_pitch_moment_nm,0.13085485683071893
0,sub8,1,0.2332,0.4664,cumulative_cosine_vertical_force_n,6.668113588885976
0,sub8,1,0.2332,0.4664,cumulative_cosine_pitch_moment_nm,-0.7373355729653879
0,sub8,2,0.4664,0.6996,cumulative_sine_vertical_force_n,0.14219515986720288
0,sub8,2,0.4664,0.6996,cumulative_sine_pitch_moment_nm,0.12398059033341682
0,sub8,2,0.4664,0.6996,cumulative_cosine_vertical_force_n,8.97503577419733
0,sub8,2,0.4664,0.6996,cumulative_cosine_pitch_moment_nm,1.0664448043584867
0,sub8,3,0.6996,1.0985454545454545,cumulative_sine_vertical_force_n,12.241246364509067
0,sub8,3,0.6996,1.0985454545454545,cumulative_sine_pitch_moment_nm,5.230583148573895
0,sub8,3,0.6996,1.0985454545454545,cumulative_cosine_vertical_force_n,9.364276118860904
0,sub8,3,0.6996,1.0985454545454545,cumulative_cosine_pitch_moment_nm,3.49170186090136
1,sub16,0,0.0,0.2332,cumulative_sine_vertical_force_n,-0.4131404631261949
1,sub16,0,0.0,0.2332,cumulative_sine_pitch_moment_nm,0.13078075199446548
1,sub16,0,0.0,0.2332,cumulative_cosine_vertical_force_n,5.179852709136448
1,sub16,0,0.0,0.2332,cumulative_cosine_pitch_moment_nm,-1.7970780293077233
1,sub16,1,0.2332,0.4664,cumulative_sine_vertical_force_n,-0.6341450735957811
1,sub16,1,0.2332,0.4664,cumulative_sine_pitch_moment_nm,0.08202201193244141
1,sub16,1,0.2332,0.4664,cumulative_cosine_vertical_force_n,6.510196609505254
1,sub16,1,0.2332,0.4664,cumulative_cosine_pitch_moment_nm,-0.7345953337829427
1,sub16,2,0.4664,0.6996,cumulative_sine_vertical_force_n,-1.4273381407965913
1,sub16,2,0.4664,0.6996,cumulative_sine_pitch_moment_nm,-0.11129471844925923
1,sub16,2,0.4664,0.6996,cumulative_cosine_vertical_force_n,8.800559180825125
1,sub16,2,0.4664,0.6996,cumulative_cosine_pitch_moment_nm,1.0821593682998147
1,sub16,3,0.6996,1.0985454545454545,cumulative_sine_vertical_force_n,12.648320472019014
1,sub16,3,0.6996,1.0985454545454545,cumulative_sine_pitch_moment_nm,5.414333881002735
1,sub16,3,0.6996,1.0985454545454545,cumulative_cosine_vertical_force_n,10.323123896212085
1,sub16,3,0.6996,1.0985454545454545,cumulative_cosine_pitch_moment_nm,3.827655096161224
2,sub32,0,0.0,0.2332,cumulative_sine_vertical_force_n,-0.42227590864445236
2,sub32,0,0.0,0.2332,cumulative_sine_pitch_moment_nm,0.13910157037529888
2,sub32,0,0.0,0.2332,cumulative_cosine_vertical_force_n,5.439163407190862
2,sub32,0,0.0,0.2332,cumulative_cosine_pitch_moment_nm,-1.8918527243416425
2,sub32,1,0.2332,0.4664,cumulative_sine_vertical_force_n,-0.09365788849951545
2,sub32,1,0.2332,0.4664,cumulative_sine_pitch_moment_nm,0.032829785302834785
2,sub32,1,0.2332,0.4664,cumulative_cosine_vertical_force_n,6.421432113712522
2,sub32,1,0.2332,0.4664,cumulative_cosine_pitch_moment_nm,-0.7360072477189517
2,sub32,2,0.4664,0.6996,cumulative_sine_vertical_force_n,-2.7376488003477966
2,sub32,2,0.4664,0.6996,cumulative_sine_pitch_moment_nm,-0.33401664655029084
2,sub32,2,0.4664,0.6996,cumulative_cosine_vertical_force_n,8.736766819021359
2,sub32,2,0.4664,0.6996,cumulative_cosine_pitch_moment_nm,1.100071800764293
2,sub32,3,0.6996,1.0985454545454545,cumulative_sine_vertical_force_n,13.820153679772066
2,sub32,3,0.6996,1.0985454545454545,cumulative_sine_pitch_moment_nm,5.9716707665478665
2,sub32,3,0.6996,1.0985454545454545,cumulative_cosine_vertical_force_n,10.857234745166522
2,sub32,3,0.6996,1.0985454545454545,cumulative_cosine_pitch_moment_nm,3.9890163505260343
