node_index,xi,eta
0,4.551477283207866,-0.03577649487428918
1,4.548617564839847,-0.03677570333963031
2,4.545611525918595,-0.03772013130577571
3,4.54250309806974,-0.03875645485485157
4,4.539257373537775,-0.039790703877603834
5,4.535913569435256,-0.04095496572983817
6,4.532426641071201,-0.04212892385620648
7,4.528830373514736,-0.04342378078119012
8,4.525091043370659,-0.044756997251885776
9,4.521254233482777,-0.046264103167008824
10,4.51725532320136,-0.04778762631744762
11,4.513170089355165,-0.04953000186233422
12,4.508917592499703,-0.05130559844291901
13,4.504580797630656,-0.05331666747747578
14,4.500097899134811,-0.05543398879540619
15,4.495550962328002,-0.05783167605946497
16,4.490865504506932,-0.06036932411689477
17,4.486142110598563,-0.06322995211754867
18,4.481342143895117,-0.06634367308133698
19,4.476551618717915,-0.0698327090285678
20,4.471764622888539,-0.07367356546423406
21,4.46709029228241,-0.07797778879028475
22,4.462540843957582,-0.08272774304352824
23,4.4582576944545185,-0.08801732960481391
24,4.454273392157721,-0.09382345427753622
25,4.450804633664221,-0.10022789174247551
26,4.447897388626034,-0.10717595128829799
27,4.4457319580876,-0.1146554832257604
28,4.444411973024157,-0.12259473925854121
29,4.444062332468768,-0.1309040551044398
30,4.444680261615922,-0.13947374072710902
31,4.4462377540165665,-0.1482102177938159
32,4.448716776047011,-0.1570321107391359
33,4.452082085501744,-0.16587343061532933
34,4.456265808808379,-0.17469564431248183
35,4.461195855531914,-0.18348218693900503
36,4.466837173254422,-0.19221182031963793
37,4.473174322910252,-0.2008581199072644
38,4.480169747488024,-0.20941674947258143
39,4.487791568398337,-0.217887903271677
40,4.496022791595103,-0.22626537776468955
41,4.5048428807986465,-0.2345513674247526
42,4.514246392943785,-0.24273640462601595
43,4.524223187912341,-0.25081882217709833
44,4.534763863223423,-0.258799336178131
45,4.545857327657537,-0.26668435897472437
46,4.557493259236314,-0.274483071461073
47,4.569669271106813,-0.2821959900768248
48,4.5823850879206995,-0.2898220500430861
49,4.595632170547359,-0.2973761760466065
50,4.609404465960825,-0.3048724699087841
51,4.623703869081699,-0.312312921730117
52,4.638530651273345,-0.31970399416955475
53,4.65388292383613,-0.3270583435429629
54,4.669762565524421,-0.33438270138617704
55,4.686173074058026,-0.3416815059379596
56,4.703119218145527,-0.34895721626766324
57,4.720605677456065,-0.3562131976849445
58,4.738637167142917,-0.36345345294811404
59,4.757220969181148,-0.3706761103953499
60,4.776363098648656,-0.3778827611880969
61,4.796069912409384,-0.38507447117604476
62,4.816349038807119,-0.39224903464259686
63,4.8372060998371955,-0.39941007161474557
64,4.858647700572236,-0.4065587445122916
65,4.88067997332592,-0.4136978940337014
66,4.903308567717748,-0.42083221543904387
67,4.926539868845857,-0.4279644318166692
68,4.950379487994117,-0.43510005660898116
69,4.974833714975176,-0.44224264590566204
70,4.999908834152548,-0.44939593078499296
71,5.0256114123890026,-0.4565627442063377
72,5.051948136491295,-0.4637454796052554
73,5.078925856150864,-0.4709458430916187
74,5.1065517643326634,-0.4781640596623705
75,5.13483295566772,-0.4854004339051326
76,5.163776425364158,-0.49265532821398106
77,5.193389104784171,-0.4999289889597786
78,5.223677713315009,-0.5072221178683466
79,5.2546486742610705,-0.5145362298017752
80,5.286308003188496,-0.5218741598559452
81,5.318661648590336,-0.5292386227758218
82,5.3517153078918716,-0.5366329786003379
83,5.385474699245474,-0.5440599937085507
84,5.419945519998954,-0.5515219436415585
85,5.455133511405708,-0.5590202319848858
86,5.491044434834361,-0.5665554061697167
87,5.527684004991168,-0.5741273885257724
88,5.565057777837754,-0.5817359520746855
89,5.603170928948852,-0.5893817810189232
90,5.64202845616087,-0.5970654637590838
91,5.681635082121815,-0.6047879492517619
92,5.721994356989878,-0.6125551932218851
93,5.76310947035764,-0.6203741000600925
94,5.804986270419532,-0.6282364381836979
95,5.847628832484254,-0.6361419347952485
96,5.891040240944724,-0.6440943813346665
97,5.935222192000437,-0.6521039778192295
98,5.980179256127223,-0.6601637866024788
99,6.025915395541469,-0.6682685726446523
100,6.072432427719385,-0.6764236172879895
101,6.1197321418583615,-0.6846329447997267
102,6.167816511021691,-0.6928979882730782
103,6.216686798436781,-0.701222697010247
104,6.266345663971036,-0.7096011127971781
105,6.3167949089659015,-0.7180304555781819
106,6.368033827123743,-0.7265211769729403
107,6.420062779590092,-0.7350756222952314
108,6.472883649998467,-0.7436849322680934
109,6.526496297488243,-0.7523505812111128
110,6.580899770744256,-0.7610771286227517
111,6.636093438576648,-0.7698651819309832
112,6.692075692021034,-0.7787194595207114
113,6.74884572076253,-0.7876375693497026
114,6.806403390407755,-0.7966105765638508
115,6.864745843405711,-0.8056447504474404
116,6.923869552885367,-0.8147486130042982
117,6.983772865440074,-0.823916343693729
118,7.0444532279326815,-0.8331456477256933
119,7.10590690314885,-0.842439710888978
120,7.16813033297265,-0.851798250146682
121,7.231118698743446,-0.861227046751605
122,7.2948674847424595,-0.8707275576477495
123,7.359373792969159,-0.8802879583677986
124,7.42463257881674,-0.889908390434294
125,7.490637150924044,-0.8995978017080528
126,7.5573825349978625,-0.9093510797324805
127,7.6248634735151715,-0.9191625471869072
128,7.693073521791726,-0.9290322003294903
129,7.7620063389175105,-0.93895686194557
130,7.831654055327644,-0.9489415194229839
131,7.902008538031528,-0.9589906127892209
132,7.973063452711778,-0.9690935343827243
133,8.044810693210463,-0.979249603771045
134,8.117240116778442,-0.989470131317198
135,8.190342961394888,-0.9997542916687269
136,8.264110367552247,-1.0100995249065667
137,8.338532679040819,-1.0205065396040651
138,8.413600545374079,-1.0309714701633643
139,8.489302916259332,-1.0415002764216852
140,8.56562845668525,-1.0520986674108161
141,8.642567964205908,-1.062754675996788
142,8.720110724711404,-1.0734649018938922
143,8.798244126147333,-1.0842374338829297
144,8.876956813615053,-1.0950690480511232
145,8.95623722262351,-1.1059558378150767
146,9.036073423609379,-1.1168943843793666
147,9.116453885833609,-1.1278762148753887
148,9.197365006788408,-1.1389059220035116
149,9.278793034092311,-1.1499872036303511
150,9.360726325526986,-1.1611062555089486
151,9.4431515003678,-1.1722600776035415
152,9.526053596806667,-1.1834554738473515
153,9.609418627101855,-1.1946902298044122
154,9.693232016604085,-1.2059646982659427
155,9.777479374404457,-1.2172761375581713
156,9.86214660160824,-1.2286179397057324
157,9.947217188718978,-1.2399998715943894
158,10.032675104367726,-1.2514266078513654
159,10.118506340373761,-1.262886195619792
160,10.20469502577606,-1.2743791800158375
161,10.291224519326514,-1.285910529120709
162,10.378078997818807,-1.2974777837152633
163,10.465242017849437,-1.3090819117327805
164,10.552698195673603,-1.3207147598778204
165,10.64043212606882,-1.3323672290483513
166,10.728425945371605,-1.3440477035763427
167,10.816663155416906,-1.3557533510683941
168,10.90512871257497,-1.3674694871933653
169,10.99380559633631,-1.379195522817235
170,11.082676681746827,-1.3909309418840108
171,11.171724977709735,-1.4026735704226518
172,11.260932887054542,-1.414425262291279
173,11.35028440288971,-1.426175300136307
174,11.439762519614469,-1.4379201123943248
175,11.5293480675934,-1.449672284870605
176,11.619023938929404,-1.4614284481361148
177,11.70877360912742,-1.47318058922421
178,11.798578949868224,-1.4849328285411016
179,11.888422381871372,-1.4966850713664612
180,11.978285902540238,-1.5084405099884115
181,12.068151766736543,-1.5202004942566312
182,12.158004232878623,-1.5319512630277892
183,12.247825807523261,-1.543692723508042
184,12.337597919352765,-1.5554333878195699
185,12.427304550828325,-1.567162670113823
186,12.516929477349544,-1.5788720728524535
187,12.60645560643932,-1.5905603180347796
188,12.695866414088318,-1.602222431322238
189,12.785144373836264,-1.6138618557953035
190,12.874273124334051,-1.6254739086386452
191,12.963237756705738,-1.6370436173463114
192,13.052020794218798,-1.648576677242345
193,13.14060469735137,-1.660080315130181
194,13.228974163505665,-1.671545627803196
195,13.317113068909478,-1.6829711899095998
196,13.405005211693256,-1.6943574071979661
197,13.492634518666401,-1.705704988426438
198,13.579983997473422,-1.7170230974601566
199,13.667038875680767,-1.7283051764942212
200,13.753785218215716,-1.73953968416
201,13.840206557948564,-1.750736160649973
202,13.926287555690608,-1.7618970297267953
203,14.012014734051967,-1.7730120022305877
204,14.097373910286302,-1.7840779358734629
205,14.182351450385305,-1.7950892105326606
206,14.266933295651926,-1.8060452891471634
207,14.351104783259322,-1.816952157316801
208,14.434853969988705,-1.827796712329684
209,14.518168868977174,-1.8385681194989623
210,14.601035038183753,-1.8492765195895164
211,14.68343956919532,-1.8599222445371122
212,14.765370791118048,-1.8704981266753151
213,14.846816418187329,-1.8810038761152448
214,14.92776489664259,-1.8914356868349236
215,15.00820379751962,-1.9017987392488016
216,15.088120389291873,-1.9121027935641062
217,15.16750499923408,-1.9223361341244019
218,15.246347643286633,-1.9324917438966938
219,15.324636166646828,-1.942581765863179
220,15.402360284676254,-1.9526061615377552
221,15.479510876197509,-1.9625582291596506
222,15.556078453753171,-1.9724364866901851
223,15.632054608152385,-1.9822334881642336
224,15.707429903771187,-1.9919521569570968
225,15.782194450111776,-2.0016013684995038
226,15.856341679252042,-2.011166680562069
227,15.929864826235285,-2.0206376153392913
228,16.002754647135948,-2.0300253867261695
229,16.075003633485164,-2.0393302135612226
230,16.146605349856568,-2.0485464538193163
231,16.217552834413997,-2.0576750282374316
232,16.28784054665798,-2.066708285308956
233,16.357461880896498,-2.0756493321609817
234,16.426408911703785,-2.0845140343316433
235,16.49467728884467,-2.0932929052341387
236,16.56226343681392,-2.1019728988397017
237,16.629160890150814,-2.110565915491172
238,16.695364488744293,-2.1190761456345966
239,16.76087054205953,-2.127498780208118
240,16.825674693686793,-2.1358366133510533
241,16.889774574728264,-2.1440793951129358
242,16.953167401817616,-2.1522224820788844
243,17.015847728170126,-2.1602843316268436
244,17.07781295902174,-2.1682635561240464
245,17.13906328967484,-2.176139431186196
246,17.19959613953375,-2.183915104426429
247,17.25940844854687,-2.191599758024793
248,17.31849881086171,-2.1991919665226636
249,17.376865576032866,-2.2066944468926004
250,17.43450885518262,-2.214098419417418
251,17.49142895968552,-2.2213957108576543
252,17.547622198275725,-2.2286115049619473
253,17.603090022166054,-2.2357330343662283
254,17.657832574618347,-2.2427598190347724
255,17.711849962313707,-2.24969372429764
256,17.76514302933428,-2.2565328973865313
257,17.817712302714014,-2.263279947941226
258,17.86955904541613,-2.269933708201072
259,17.92068451937857,-2.2764949387573306
260,17.971090226424618,-2.282964414282446
261,18.020778095672913,-2.2893414254614366
262,18.06975000284583,-2.2956274857839105
263,18.118008364623062,-2.3018216616376166
264,18.1655555552261,-2.307925077998609
265,18.212394357473393,-2.313937364123367
266,18.258527672077363,-2.3198588775573867
267,18.303958628657423,-2.32568979810478
268,18.348690602091136,-2.3314299587581973
269,18.392727024825113,-2.3370802663207177
270,18.436071628875116,-2.3426407734035206
271,18.478728211797115,-2.3481124599177083
272,18.52070107167777,-2.353493798903537
273,18.56199388815716,-2.358789439371088
274,18.602611771876784,-2.363994179849714
275,18.642558421545722,-2.3691151005017015
276,18.68183890237955,-2.3741498450336262
277,18.720458125650556,-2.3790984392549523
278,18.758420303598324,-2.383967500352114
279,18.795731976859702,-2.3887465761491136
280,18.832396667261147,-2.393449817630352
281,18.868421273665174,-2.3980660396265647
282,18.903810038508706,-2.402605744037228
