outer_iteration,krylov_iteration,preconditioned_relative_residual,gmres_info
1,1,0.9988609845505662,1
1,2,0.9972117673801099,1
1,3,0.9960065468683714,1
1,4,0.9948751278164131,1
1,5,0.993841818277119,1
1,6,0.9927299534318335,1
1,7,0.9916833316282,1
1,8,0.9907933406710697,1
1,9,0.988351403120551,1
1,10,0.9876587826638898,1
1,11,0.9856761469478971,1
1,12,0.9842847637906327,1
1,13,0.9819344394686004,1
1,14,0.9808929939985914,1
1,15,0.9780647611783843,1
1,16,0.9762867124549537,1
1,17,0.9727575184313543,1
1,18,0.971735447563521,1
1,19,0.965389507868291,1
1,20,0.9644365607479134,1
1,21,0.9601892768567567,1
1,22,0.9591011885616979,1
1,23,0.9519313262092266,1
1,24,0.9516682426898042,1
1,25,0.9456149847553846,1
1,26,0.9452588756819228,1
1,27,0.9407284019783769,1
1,28,0.9399465312829368,1
1,29,0.9381782746921773,1
1,30,0.9358158087188887,1
1,31,0.9354085645263217,1
1,32,0.9300863455554451,1
