sweep,far_radius,pseudo_cfl,grid_mode,root_spacing_ratio,far_spacing_ratio,endpoint_decay,linear_gradient_recovery,linear_corner_treatment,coarse_run,fine_run,coarse_level,fine_level,comparison_pseudo_time,coarse_kinematic_integral,fine_kinematic_integral,kinematic_integral_relative_change
outer_panels,20.0,0.25,double_ended,0.04,0.25,4.0,connected_nodal,displaced_double_node,self_similar_wedge_20deg_double_corner_frozen80_v159,self_similar_wedge_20deg_double_corner_frozen120_v160,80.0,120.0,0.0,0.0075426231843709,0.0059390681846239,0.27000110958459167
outer_panels,20.0,0.25,double_ended,0.04,0.25,4.0,connected_nodal,displaced_double_node,self_similar_wedge_20deg_double_corner_frozen120_v160,self_similar_wedge_20deg_double_corner_frozen160_v161,120.0,160.0,0.0,0.0059390681846239,0.0054038203904771,0.09904988609355755
outer_panels,20.0,0.25,double_ended,0.04,0.25,4.0,connected_nodal,displaced_double_node,self_similar_wedge_20deg_double_corner_frozen160_v161,self_similar_wedge_20deg_double_corner_frozen240_v163,160.0,240.0,0.0,0.0054038203904771,0.0050318311162989,0.0739272176630228
