omega_e_rad_s,F3_real,F3_imag,M5_real,M5_imag
5.601,1534.0671199737612,-4261.65387230458,823.1179056909473,-429.1984524593421
6.422178120757196,1659.6864290114631,-3980.4680355496157,913.8376443902281,-312.19822722522355
7.36375143987367,1765.4322853746594,-3637.5286946466476,994.2331623433666,-167.8175670244679
8.443371430789322,1834.132100521243,-3226.6726540963555,1052.3900747842595,5.209016796460844
9.681277498347002,1842.8804166235334,-2747.1493151410705,1072.27075821616,203.88648951016597
11.10067640258223,1763.9044425711877,-2208.5493309941744,1034.4887132361805,417.6020925562798
12.728177310885437,1568.5931398744692,-1637.268099908617,919.56063760548,623.9573524621399
14.59429063436647,1237.0996459533771,-1082.8402326887924,715.4409688664023,785.2834579104906
16.733999999999998,775.607955024354,-619.4360087928728,430.7236605395069,849.7097878920343
30.121199999999998,-366.19031133656335,-659.829470969102,26.624014915034806,-234.43352217922694
