frequency_index,omega_e_rad_s,i,j,A,B,C,M
0,16.733999999999998,3,3,78.67477164765926,127.54949530973678,5172.462057024546,32.60032733
0,16.733999999999998,3,5,5.6449338581953565,-278.87803814790055,-460.049846202537,0.0
0,16.733999999999998,5,3,11.499409352828614,300.3710091707625,1113.5850944364274,0.0
0,16.733999999999998,5,5,17.801961223854814,17.53846255078381,880.780322777691,11.080492655866367
1,13.7884,3,3,79.2375091865865,233.07899736585222,5172.462057024546,32.60032733
1,13.7884,3,5,6.672458955827174,-217.98076379744117,-460.049846202537,0.0
1,13.7884,5,3,10.085447289665666,268.82030754491046,1113.5850944364274,0.0
1,13.7884,5,5,19.288235753103276,1.0643697182898526,880.780322777691,11.080492655866367
2,11.1048,3,3,85.11016054603351,294.57226147136464,5172.462057024546,32.60032733
2,11.1048,3,5,11.71639725404703,-185.9781364053751,-460.049846202537,0.0
2,11.1048,5,3,6.172159048175034,258.6559946181145,1113.5850944364274,0.0
2,11.1048,5,5,20.4577965032727,-1.5249163960741976,880.780322777691,11.080492655866367
3,9.86,3,3,90.29613056194415,294.3043883048542,5172.462057024546,32.60032733
3,9.86,3,5,16.004807598520642,-192.46704996545787,-460.049846202537,0.0
3,9.86,5,3,3.180522629685048,268.02274634861897,1113.5850944364274,0.0
3,9.86,5,5,21.538831363378982,7.627371776494132,880.780322777691,11.080492655866367
4,8.6966,3,3,96.1307578348867,277.85797417366405,5172.462057024546,32.60032733
4,8.6966,3,5,20.811457796006525,-210.87428363881722,-460.049846202537,0.0
4,8.6966,5,3,-0.07295675764589893,284.37827625723884,1113.5850944364274,0.0
4,8.6966,5,5,23.571443453564232,21.96997455324539,880.780322777691,11.080492655866367
5,7.5978,3,3,102.31366123265327,248.64695483583827,5172.462057024546,32.60032733
5,7.5978,3,5,25.900005092250346,-238.7314551677617,-460.049846202537,0.0
5,7.5978,5,3,-3.445436352834467,306.0641396729023,1113.5850944364274,0.0
5,7.5978,5,5,27.28146350843733,40.31298928263545,880.780322777691,11.080492655866367
6,6.560399999999999,3,3,108.48519126306253,210.95552116095854,5172.462057024546,32.60032733
6,6.560399999999999,3,5,30.98085773738721,-272.75088252092695,-460.049846202537,0.0
6,6.560399999999999,5,3,-6.761661687100361,330.9348979741283,1113.5850944364274,0.0
6,6.560399999999999,5,5,33.756720304186274,61.027382524009205,880.780322777691,11.080492655866367
7,5.601,3,3,114.21157021100561,170.17748923367984,5172.462057024546,32.60032733
7,5.601,3,5,35.699241219044524,-308.6370337030965,-460.049846202537,0.0
7,5.601,5,3,-9.807071690896374,356.2448750482012,1113.5850944364274,0.0
7,5.601,5,5,44.42264865562824,81.95579032578246,880.780322777691,11.080492655866367
