benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,candidate_gate_status,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,current_default,0,Current matched-BIE pressure integral plus current end term.,True,1.0,17.442853170208622,1394.5561109581793,17.442853170208622,16.442853170208622,16.442853170208622,0.15,0.15,109.61902113472415,109.61902113472415,0.0,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,ghost_aft_pressure_plus_end,1,"Treats the first aft active station as a free-surface start-up station: it remains in the solved station history, but its pressure-density contribution is excluded from whole-ship integration; the current end term is retained.",False,1.0,16.46404490714236,1316.3003903260317,16.46404490714236,15.464044907142359,15.464044907142359,0.15,0.15,103.09363271428239,109.61902113472415,-6.525388420441757,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,ghost_aft_pressure_no_end,2,"Same aft start-up pressure exclusion, but without adding the current end term. This separates pressure-integral sensitivity from end-contour sensitivity.",False,1.0,16.46404490714236,1316.3003903260317,16.46404490714236,15.464044907142359,15.464044907142359,0.15,0.15,103.09363271428239,109.61902113472415,-6.525388420441757,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,ghost_aft_forward_only_removed_keep_time_end,3,"Keeps the full time-derivative pressure integral and current end term, but excludes the first aft active station only from the forward-speed pressure-gradient integral.",False,1.0,17.442853170208622,1394.5561109581793,17.442853170208622,16.442853170208622,16.442853170208622,0.15,0.15,109.61902113472415,109.61902113472415,0.0,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,ghost_aft_time_only_removed_keep_forward_end,4,"Keeps the full forward-speed pressure-gradient integral and current end term, but excludes the first aft active station only from the time-derivative pressure integral.",False,1.0,16.46404490714236,1316.3003903260317,16.46404490714236,15.464044907142359,15.464044907142359,0.15,0.15,103.09363271428239,109.61902113472415,-6.525388420441757,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,bow_pressure_excluded_plus_end,5,Control candidate excluding the bow active station pressure integral while retaining the current end term; this checks whether endpoint sensitivity is aft-specific.,False,1.0,17.442968815811387,1394.5653568241205,17.442968815811387,16.442968815811387,16.442968815811387,0.15,0.15,109.61979210540925,109.61902113472415,0.0007709706850960174,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,both_end_pressure_excluded_plus_end,6,Control candidate excluding both aft and bow active station pressure integrals while retaining the current end term.,False,1.0,16.464160552745124,1316.3096361919727,16.464160552745124,15.464160552745124,15.464160552745124,0.15,0.15,103.0944036849675,109.61902113472415,-6.524617449756647,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,current_default,0,Current matched-BIE pressure integral plus current end term.,True,2.1,103.59910875621567,14975.254015609959,49.332908931531264,101.49910875621568,48.33290893153127,0.15,0.315,322.21939287687513,322.21939287687513,0.0,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,ghost_aft_pressure_plus_end,1,"Treats the first aft active station as a free-surface start-up station: it remains in the solved station history, but its pressure-density contribution is excluded from whole-ship integration; the current end term is retained.",False,2.1,71.45270829083545,10328.490945578158,34.025099186112115,69.35270829083545,33.025099186112115,0.15,0.315,220.16732790741412,322.21939287687513,-102.05206496946101,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,ghost_aft_pressure_no_end,2,"Same aft start-up pressure exclusion, but without adding the current end term. This separates pressure-integral sensitivity from end-contour sensitivity.",False,2.1,43.098398180259146,6229.874640466536,20.523046752504353,40.998398180259144,19.523046752504353,0.15,0.315,130.1536450166957,322.21939287687513,-192.06574786017944,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,ghost_aft_forward_only_removed_keep_time_end,3,"Keeps the full time-derivative pressure integral and current end term, but excludes the first aft active station only from the forward-speed pressure-gradient integral.",False,2.1,71.45270829083545,10328.490945578158,34.025099186112115,69.35270829083545,33.025099186112115,0.15,0.315,220.16732790741412,322.21939287687513,-102.05206496946101,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,ghost_aft_time_only_removed_keep_forward_end,4,"Keeps the full forward-speed pressure-gradient integral and current end term, but excludes the first aft active station only from the time-derivative pressure integral.",False,2.1,103.59910875621566,14975.254015609957,49.332908931531264,101.49910875621566,48.332908931531264,0.15,0.315,322.21939287687513,322.21939287687513,0.0,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
