benchmark,matrix_cell,coefficient,pair_status,omega_rad_s,speed_mps,direct_pressure_gradient_integral_value,projection_transport_integral_value,projection_endpoint_jump_value,stokes_body_forward_integral_value,end_contour_integral_value,stokes_plus_end_integral_value,direct_minus_transport_integral_value,transport_minus_endpoint_jump_value,direct_minus_stokes_end_integral_value,transport_minus_stokes_end_integral_value,direct_transport_residual_norm,transport_endpoint_jump_residual_norm,direct_stokes_end_residual_norm,transport_stokes_end_residual_norm,peak_abs_direct_transport_residual_station_index,peak_abs_direct_transport_residual_x_over_l,peak_abs_direct_transport_residual_share,residual_abs_centroid_x_over_l,ab_frequency_pair_status,diagnostic_conclusion,remaining_blocker,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,33,A33,frequency_or_case_mismatch_unpaired,1.808005346599764,2.1696064159197173,,,,,,,,,,,,,,,,,,,frequency_or_case_mismatch_unpaired,projection_transport_weakened_by_ab_frequency_gap,Do not infer a transport derivative from A/B rows at different frequencies or different cases; use same-frequency coefficient pairs only.,false,diagnostic-only; A/B frequency or case mismatch,diagnostic_projection_transport_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,33,B33,frequency_or_case_mismatch_unpaired,3.616010693199528,2.1696064159197173,,,,,,,,,,,,,,,,,,,frequency_or_case_mismatch_unpaired,projection_transport_weakened_by_ab_frequency_gap,Do not infer a transport derivative from A/B rows at different frequencies or different cases; use same-frequency coefficient pairs only.,false,diagnostic-only; A/B frequency or case mismatch,diagnostic_projection_transport_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,35,A35,frequency_or_case_mismatch_unpaired,2.7120080198996463,2.1696064159197173,,,,,,,,,,,,,,,,,,,frequency_or_case_mismatch_unpaired,projection_transport_weakened_by_ab_frequency_gap,Do not infer a transport derivative from A/B rows at different frequencies or different cases; use same-frequency coefficient pairs only.,false,diagnostic-only; A/B frequency or case mismatch,diagnostic_projection_transport_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,35,B35,frequency_or_case_mismatch_unpaired,4.52001336649941,2.1696064159197173,,,,,,,,,,,,,,,,,,,frequency_or_case_mismatch_unpaired,projection_transport_weakened_by_ab_frequency_gap,Do not infer a transport derivative from A/B rows at different frequencies or different cases; use same-frequency coefficient pairs only.,false,diagnostic-only; A/B frequency or case mismatch,diagnostic_projection_transport_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,53,A53,same_frequency_ab_pair,3.616010693199528,2.1696064159197173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024999999999999998,0.0,0.0,same_frequency_ab_pair,direct_gradient_matches_projection_transport,"Trace the fixed-control-surface transport theorem: direct Eq.31 phi_x*N_i, d(phi*N_i)/dx, changing-section N_i*ds terms, Eq.32 m_i, and C_A endpoint orientation must close before this path can modify the default.",false,"diagnostic-only; projection transport is evidence for derivative-coordinate mismatch, not a production replacement.",diagnostic_projection_transport_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,53,B53,same_frequency_ab_pair,3.616010693199528,2.1696064159197173,26.15019162999253,18.330499435593925,13.486386199000835,-6.977141268083452,13.468297302523743,6.491156034440291,7.8196921943986055,4.84411323659309,19.65903559555224,11.839343401153634,0.2990300149628708,0.264265207481846,0.7517740548028962,0.6458822053786571,1.0,0.049999999999999996,0.4850424319191512,0.14078086457095257,same_frequency_ab_pair,projection_transport_difference_biased_to_aft_startup_region,"Trace the fixed-control-surface transport theorem: direct Eq.31 phi_x*N_i, d(phi*N_i)/dx, changing-section N_i*ds terms, Eq.32 m_i, and C_A endpoint orientation must close before this path can modify the default.",false,"diagnostic-only; projection transport is evidence for derivative-coordinate mismatch, not a production replacement.",diagnostic_projection_transport_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,A55,same_frequency_ab_pair,1.808005346599764,2.1696064159197173,-10.460076651997008,-7.332199774237566,-5.394554479600332,2.7908565072333813,-5.387318921009494,-2.5964624137761128,-3.1278768777594426,-1.9376452946372336,-7.863614238220896,-4.735737360461453,0.29903001496287096,0.26426520748184584,0.7517740548028964,0.6458822053786574,1.0,0.049999999999999996,0.48504243191915103,0.14078086457095249,same_frequency_ab_pair,projection_transport_difference_biased_to_aft_startup_region,"Trace the fixed-control-surface transport theorem: direct Eq.31 phi_x*N_i, d(phi*N_i)/dx, changing-section N_i*ds terms, Eq.32 m_i, and C_A endpoint orientation must close before this path can modify the default.",false,"diagnostic-only; projection transport is evidence for derivative-coordinate mismatch, not a production replacement.",diagnostic_projection_transport_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,B55,same_frequency_ab_pair,1.808005346599764,2.1696064159197173,-2.184247417906869,-1.6852883010439526,-1.247697928445898,1.0984159778520828,-1.239105702619279,-0.14068972476719632,-0.4989591168629166,-0.43759037259805456,-2.0435576931396726,-1.5445985762767562,0.22843525544421223,0.25965312423220943,0.9355889247647515,0.9165188978763776,1.0,0.049999999999999996,0.38056949720578387,0.21486540668767837,same_frequency_ab_pair,projection_transport_difference_distributed_along_station_sweep,"Trace the fixed-control-surface transport theorem: direct Eq.31 phi_x*N_i, d(phi*N_i)/dx, changing-section N_i*ds terms, Eq.32 m_i, and C_A endpoint orientation must close before this path can modify the default.",false,"diagnostic-only; projection transport is evidence for derivative-coordinate mismatch, not a production replacement.",diagnostic_projection_transport_not_hard_gate,INFO
