benchmark,source_row,fit_name,fit_order,fit_description,fit_component_set,fit_rank,fit_condition_number,fit_residual_sum_squares,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,near_zero_abs_tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,candidate_gate_status,provider_route,provider_formulation,gate_role,time_derivative_fit_scale,time_derivative_component_value,time_derivative_fit_contribution_value,pressure_gradient_fit_scale,pressure_gradient_component_value,pressure_gradient_fit_contribution_value,stokes_body_forward_fit_scale,stokes_body_forward_component_value,stokes_body_forward_fit_contribution_value,end_term_fit_scale,end_term_component_value,end_term_fit_contribution_value
ma2005_wigley_iii_coefficients,0,least_squares_time_only,0,Best-fit global scale for the Eq.30 time-derivative pressure contribution only.,time_derivative,1,,4.496646926588585,wigley_iii,Fn0.4,1.0,A33,1.0,0.9026709475259677,72.16854225470111,0.9026709475259675,0.09732905247403234,0.09732905247403234,0.15,0.0,0.15,0.6488603498268823,109.61902113472415,-108.97016078489727,PASS,matched_bie_station_sweep,matched_bie,diagnostic_eq30_component_scale_fit_not_hard_gate,0.0517501889580586,17.442853170208622,0.9026709475259677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ma2005_wigley_iii_coefficients,1,least_squares_time_only,0,Best-fit global scale for the Eq.30 time-derivative pressure contribution only.,time_derivative,1,,4.496646926588585,wigley_iii,Fn0.4,2.0,B33,2.1,0.0,0.0,0.0,2.1,1.0,0.15,0.0,0.315,6.666666666666667,322.21939287687513,-315.55272621020845,FAIL,matched_bie_station_sweep,matched_bie,diagnostic_eq30_component_scale_fit_not_hard_gate,0.0517501889580586,-0.0,-0.0,0.0,75.24479864563936,0.0,0.0,-0.0,-0.0,0.0,28.354310110576296,0.0
ma2005_wigley_iii_coefficients,2,least_squares_time_only,0,Best-fit global scale for the Eq.30 time-derivative pressure contribution only.,time_derivative,1,,4.496646926588585,wigley_iii,Fn0.4,1.5,A35,-0.2,-0.14210808602099,-34.084624432134454,0.7105404301049499,0.05789191397901,0.28945956989505,0.3,0.0,0.06,0.9648652329835,349.3943213178091,-348.4294560848256,PASS,matched_bie_station_sweep,matched_bie,diagnostic_eq30_component_scale_fit_not_hard_gate,0.0517501889580586,-2.7460399446302075,-0.14210808602099,0.0,-13.376853092558104,-0.0,0.0,0.0,0.0,0.0,-5.040766241880227,-0.0
ma2005_wigley_iii_coefficients,3,least_squares_time_only,0,Best-fit global scale for the Eq.30 time-derivative pressure contribution only.,time_derivative,1,,4.496646926588585,wigley_iii,Fn0.4,2.5,B35,0.13,0.3610683790103872,156.57733230337277,2.7774490693106704,0.23106837901038718,1.7774490693106706,0.3,0.0,0.039,5.9248302310355685,76.73924418076766,-70.81441394973209,FAIL,matched_bie_station_sweep,matched_bie,diagnostic_eq30_component_scale_fit_not_hard_gate,0.0517501889580586,6.977141268083451,0.3610683790103872,0.0,-7.231328206671751,-0.0,0.0,-0.0,-0.0,0.0,-2.6086435844616416,-0.0
ma2005_wigley_iii_coefficients,4,least_squares_time_only,0,Best-fit global scale for the Eq.30 time-derivative pressure contribution only.,time_derivative,1,,4.496646926588585,wigley_iii,Fn0.4,2.0,A53,0.15,0.20539857001336698,49.264847017706074,1.3693238000891133,0.05539857001336698,0.36932380008911325,0.3,0.0,0.045,1.2310793336303774,84.86755556898507,-83.63647623535469,FAIL,matched_bie_station_sweep,matched_bie,diagnostic_eq30_component_scale_fit_not_hard_gate,0.0517501889580586,3.969040000604328,0.20539857001336698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ma2005_wigley_iii_coefficients,5,least_squares_time_only,0,Best-fit global scale for the Eq.30 time-derivative pressure contribution only.,time_derivative,1,,4.496646926588585,wigley_iii,Fn0.4,2.0,B53,-0.1,0.0,0.0,-0.0,0.1,1.0,0.3,0.0,0.03,3.3333333333333335,1323.9496310838758,-1320.6162977505426,FAIL,matched_bie_station_sweep,matched_bie,diagnostic_eq30_component_scale_fit_not_hard_gate,0.0517501889580586,-0.0,-0.0,0.0,26.150191629992527,0.0,0.0,-6.977141268083452,-0.0,0.0,13.468297302523743,0.0
ma2005_wigley_iii_coefficients,6,least_squares_time_only,0,Best-fit global scale for the Eq.30 time-derivative pressure contribution only.,time_derivative,1,,4.496646926588585,wigley_iii,Fn0.4,1.0,A55,0.063,-0.022436739882333787,-16.14435618233328,-0.3561387282910125,0.08543673988233379,1.3561387282910125,0.15,0.0,0.00945,9.040924855273417,1729.5189609406789,-1720.4780360854054,FAIL,matched_bie_station_sweep,matched_bie,diagnostic_eq30_component_scale_fit_not_hard_gate,0.0517501889580586,-0.43355860788291695,-0.022436739882333787,0.0,-10.460076651997007,-0.0,0.0,2.7908565072333813,0.0,0.0,-5.387318921009494,-0.0
ma2005_wigley_iii_coefficients,7,least_squares_time_only,0,Best-fit global scale for the Eq.30 time-derivative pressure contribution only.,time_derivative,1,,4.496646926588585,wigley_iii,Fn0.4,1.0,B55,0.09,0.08215942800534677,106.88532816891839,0.9128825333927418,0.007840571994653225,0.08711746660725807,0.15,0.0,0.0135,0.5807831107150537,142.64719409514194,-142.06641098442688,PASS,matched_bie_station_sweep,matched_bie,diagnostic_eq30_component_scale_fit_not_hard_gate,0.0517501889580586,1.5876160002417306,0.08215942800534677,0.0,-2.1842474179068683,-0.0,0.0,1.098415977852083,0.0,0.0,-1.239105702619279,-0.0
ma2005_wigley_iii_coefficients,0,least_squares_gradient_only,1,Best-fit global scale for the Eq.30 forward-speed pressure-gradient contribution only.,pressure_gradient,1,,1.8613486721059131,wigley_iii,Fn0.4,1.0,A33,1.0,0.0,0.0,0.0,1.0,1.0,0.15,0.0,0.15,6.666666666666667,109.61902113472415,-102.95235446805748,FAIL,matched_bie_station_sweep,matched_bie,diagnostic_eq30_component_scale_fit_not_hard_gate,0.0,17.442853170208622,0.0,0.023356466701625993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ma2005_wigley_iii_coefficients,1,least_squares_gradient_only,1,Best-fit global scale for the Eq.30 forward-speed pressure-gradient contribution only.,pressure_gradient,1,,1.8613486721059131,wigley_iii,Fn0.4,2.0,B33,2.1,1.7574526340374284,254.03982651090394,0.8368822066844896,0.34254736596257174,0.16311779331551035,0.15,0.0,0.315,1.0874519554367357,322.21939287687513,-321.1319409214384,FAIL,matched_bie_station_sweep,matched_bie,diagnostic_eq30_component_scale_fit_not_hard_gate,0.0,-0.0,-0.0,0.023356466701625993,75.24479864563936,1.7574526340374284,0.0,-0.0,-0.0,0.0,28.354310110576296,0.0
