benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,candidate_recomputed_matched_bie,free_surface_time_direction_sign,free_surface_dynamic_gravity_sign,free_surface_potential_elevation_level,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,near_zero_abs_tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,error_metric,candidate_gate_status,matched_heave_free_surface_potential_norm_max,matched_pitch_free_surface_potential_norm_max,matched_heave_free_surface_potential_increment_to_normal_derivative_gain_max,matched_heave_free_surface_potential_increment_normal_derivative_phase_deg_median,matched_selected_body_pressure_to_body_potential_gain_max,matched_selected_body_pressure_forward_to_time_norm_ratio_max,matched_selected_pressure_gradient_component_value,provider_route,provider_formulation,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,current_eq19_22,0,Current Eq.19-Eq.22 staggered update: positive local-time step and -g*eta_updated dynamic condition.,True,False,1.0,-1.0,updated,1.0,17.442853170208622,1394.5561109581793,17.442853170208622,16.442853170208622,16.442853170208622,0.15,0.0,0.15,109.61902113472415,109.61902113472415,0.0,relative,FAIL,43.03640421518633,53.43771530662756,0.20858439551360114,180.0,108913.13420375247,58.76162555301845,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,reverse_local_time,1,Uses a negative local-time increment in both kinematic and dynamic updates; diagnostic for station-order time mapping.,False,True,-1.0,-1.0,updated,1.0,17.442853170208622,1394.5561109581793,17.442853170208622,16.442853170208622,16.442853170208622,0.15,0.0,0.15,109.61902113472415,109.61902113472415,0.0,relative,FAIL,43.03640421518633,53.43771530662756,0.20858439551360114,180.0,108913.13420375247,58.76162555301845,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,dynamic_gravity_sign_flipped,2,Flips only the free-surface dynamic condition sign from -g*eta to +g*eta.,False,True,1.0,1.0,updated,1.0,-1121429.4822038799,-89658287.1022002,-1121429.4822038799,1121430.4822038799,1121430.4822038799,0.15,0.0,0.15,7476203.214692533,109.61902113472415,7476093.595671399,relative,FAIL,230235524.90135098,398062787.52489436,0.0342749555973217,0.0,128240.5774613045,69.1921040516044,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,potential_uses_previous_elevation,3,Updates phi with the previous half-step elevation instead of the newly updated half-step elevation.,False,True,1.0,-1.0,previous,1.0,15.208550631431082,1215.923622982915,15.208550631431082,14.208550631431082,14.208550631431082,0.15,0.0,0.15,94.72367087620722,109.61902113472415,-14.895350258516928,relative,FAIL,26.4847800340166,32.42973871144155,0.10368996308710066,180.0,107237.7518137815,57.85744693703455,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,potential_uses_average_elevation,4,Updates phi with the average of previous and updated half-step elevations.,False,True,1.0,-1.0,average,1.0,16.464795039034836,1316.360363370835,16.464795039034836,15.464795039034836,15.464795039034836,0.15,0.0,0.15,103.09863359356558,109.61902113472415,-6.52038754115857,relative,FAIL,44.132794258978876,54.11893258759123,0.10952917156433835,180.0,108075.47846550062,58.30955589583591,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,reverse_time_and_dynamic_sign,5,"Uses reverse local time and flips the dynamic sign, separating dt direction from the sign of the pressure-potential update.",False,True,-1.0,1.0,updated,1.0,-1121429.4822038799,-89658287.1022002,-1121429.4822038799,1121430.4822038799,1121430.4822038799,0.15,0.0,0.15,7476203.214692533,109.61902113472415,7476093.595671399,relative,FAIL,230235524.90135098,398062787.52489436,0.0342749555973217,0.0,128240.5774613045,69.1921040516044,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,current_eq19_22,0,Current Eq.19-Eq.22 staggered update: positive local-time step and -g*eta_updated dynamic condition.,True,False,1.0,-1.0,updated,2.1,103.59910875621567,14975.254015609959,49.332908931531264,101.49910875621568,48.33290893153127,0.15,0.0,0.315,322.21939287687513,322.21939287687513,0.0,relative,FAIL,86.07280843037266,58.49057231374766,0.20858439551360114,180.0,108960.42361215768,29.380812776509224,75.24479864563936,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,reverse_local_time,1,Uses a negative local-time increment in both kinematic and dynamic updates; diagnostic for station-order time mapping.,False,True,-1.0,-1.0,updated,2.1,103.59910875621567,14975.254015609959,49.332908931531264,101.49910875621568,48.33290893153127,0.15,0.0,0.315,322.21939287687513,322.21939287687513,0.0,relative,FAIL,86.07280843037266,58.49057231374766,0.20858439551360114,180.0,108960.42361215768,29.380812776509224,75.24479864563936,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,dynamic_gravity_sign_flipped,2,Flips only the free-surface dynamic condition sign from -g*eta to +g*eta.,False,True,1.0,1.0,updated,2.1,-72612963.93980867,-10496205931.498613,-34577601.87609936,72612966.03980866,34577602.87609936,0.15,0.0,0.315,230517352.50732908,322.21939287687513,230517030.2879362,relative,FAIL,460471049.80270195,636254396.0755128,0.0342749555973217,0.0,128280.74219954094,34.5960520258022,-46619424.12515604,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,potential_uses_previous_elevation,3,Updates phi with the previous half-step elevation instead of the newly updated half-step elevation.,False,True,1.0,-1.0,previous,2.1,76.96991499178387,11126.00332570634,36.65234047227803,74.86991499178387,35.652340472278034,0.15,0.0,0.315,237.68226981518688,322.21939287687513,-84.53712306168825,relative,FAIL,52.9695600680332,34.3003728006621,0.10368996308710066,180.0,107285.77969950374,28.928723468517276,56.761155313779724,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
