benchmark,candidate_name,candidate_order,time_derivative_pressure_scale,forward_speed_pressure_gradient_scale,stokes_body_forward_speed_scale,end_contour_scale,row_count,pass_count,fail_count,pass_fraction,median_gate_error_ratio,max_gate_error_ratio,median_gate_ratio_delta_vs_current,max_gate_ratio_delta_vs_current,improved_row_count,worsened_row_count,median_time_derivative_contribution_value,median_forward_speed_pressure_gradient_contribution_value,median_stokes_body_forward_speed_contribution_value,median_end_contour_contribution_value,max_abs_current_force_closure_residual_value,candidate_gate_status,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,time_only_no_gradient_no_end,1,1.0,0.0,0.0,0.0,8,0,8,0.0,68.70672000051988,175.5677248226526,-169.33649889967822,98.82848064188494,5,1,0.7938080001208653,0.0,0.0,0.0,4.17602923684224e-15,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_plus_stokes_plus_end,12,1.0,0.0,1.0,1.0,8,0,8,0.0,109.14922445994938,327.30381181577036,-132.54084409760952,31.940183604406954,5,1,0.7938080001208653,0.0,0.0,-0.6195528513096396,4.17602923684224e-15,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,gradient_flipped_keep_time_end,4,1.0,-1.0,0.0,1.0,8,0,8,0.0,168.23518819695323,484.2538754608038,-83.34701622405174,217.35885557034922,4,2,0.7938080001208653,1.0921237089534341,0.0,-0.6195528513096396,4.17602923684224e-15,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,end_flipped_keep_pressure,11,1.0,1.0,0.0,-1.0,8,0,8,0.0,125.90552411508122,589.3456443249131,-134.8743571917177,0.0,6,0,0.7938080001208653,-1.0921237089534341,0.0,0.6195528513096396,4.17602923684224e-15,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,gradient_removed_keep_time_end,3,1.0,0.0,0.0,1.0,8,0,8,0.0,109.14922445994938,622.6325427399377,-173.22291735139038,31.940183604406954,5,1,0.7938080001208653,0.0,0.0,-0.6195528513096396,4.17602923684224e-15,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_plus_gradient_no_end,2,1.0,1.0,0.0,0.0,8,0,8,0.0,170.91236556044043,1159.432302632796,-87.01322679436113,0.0,6,0,0.7938080001208653,-1.0921237089534341,0.0,0.0,4.17602923684224e-15,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,gradient_half_keep_time_end,5,1.0,0.5,0.0,1.0,8,0,8,0.0,156.2011128425938,1176.0757518403084,-96.1859141431934,0.0,6,0,0.7938080001208653,-0.5460618544767171,0.0,-0.6195528513096396,4.17602923684224e-15,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,all_terms_include_stokes,13,1.0,1.0,1.0,1.0,8,0,8,0.0,215.91920700579965,1434.190230016512,-2.842170943040401e-14,8.526512829121202e-14,4,1,0.7938080001208653,-1.0921237089534341,0.0,-0.6195528513096396,4.17602923684224e-15,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_flipped_keep_gradient_end,8,-1.0,1.0,0.0,1.0,8,0,8,0.0,350.0344786890997,1637.760525409903,3.3333333333333357,357.8021163119719,2,4,-0.7938080001208653,-1.0921237089534341,0.0,-0.6195528513096396,4.17602923684224e-15,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_removed_keep_gradient_end,7,0.0,1.0,0.0,1.0,8,0,8,0.0,281.93768410276937,1683.6397431752912,-22.883666205251785,178.90105815598605,4,2,0.0,-1.0921237089534341,0.0,-0.6195528513096396,4.17602923684224e-15,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_half_keep_gradient_end,9,0.5,1.0,0.0,1.0,8,0,8,0.0,261.8335897867813,1706.579352057985,-11.441833102625935,89.45052907799302,4,2,0.39690400006043264,-1.0921237089534341,0.0,-0.6195528513096396,4.17602923684224e-15,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,current_default,0,1.0,1.0,0.0,1.0,8,0,8,0.0,232.43329348600855,1729.5189609406789,0.0,8.526512829121202e-14,1,2,0.7938080001208653,-1.0921237089534341,0.0,-0.6195528513096396,4.17602923684224e-15,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_double_keep_gradient_end,10,2.0,1.0,0.0,1.0,8,0,8,0.0,274.0620509064951,1775.398178706067,35.59495110247694,116.28568780139081,1,5,1.5876160002417306,-1.0921237089534341,0.0,-0.6195528513096396,4.17602923684224e-15,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,gradient_double_keep_time_end,6,1.0,2.0,0.0,1.0,8,0,8,0.0,432.76753432748944,2836.4053791414203,204.1831117542887,1106.8864182007414,0,6,0.7938080001208653,-2.1842474179068683,0.0,-0.6195528513096396,4.17602923684224e-15,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
