benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,row_family,column_family,station_index,panel_index,x_m,x_over_l,is_configured_end_station,is_bow_station,is_section_endpoint_panel,symbol_convention,equation_source,unit_description,pressure_row_measure_N3_ds,stokes_m3_ds,body_panel_normal_z,body_panel_length_m,mode_body_potential_real,mode_body_potential_imag,total_row_measure_x_gradient,normal_variation_x_gradient,panel_length_variation_x_gradient,lever_variation_x_gradient,product_rule_residual_x_gradient,eq31_panel_density_value_per_m,eq32_stokes_body_panel_density_value_per_m,eq32_boundary_proxy_panel_density_value_per_m,longitudinal_end_station_proxy_density_value_per_m,eq32_stokes_plus_boundary_proxy_panel_density_value_per_m,eq31_minus_eq32_proxy_panel_density_value_per_m,normal_variation_density_value_per_m,panel_length_variation_density_value_per_m,lever_variation_density_value_per_m,product_rule_residual_density_value_per_m,section_interior_panel_density_value_per_m,longitudinal_interior_station_density_value_per_m,formula_decomposition_closure_residual_value_per_m,dominant_panel_source,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,0,0.075,0.024999999999999998,True,False,True,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-6.578445749146934e-05,0.0,0.005241598093709142,0.012550458145660288,0.0,-229.44418426836316,-0.0008644241901643044,-0.0008621543935423587,-7.2927223281624425e-06,0.0,5.022925706216786e-06,-0.8438415446532455,-0.0,-0.8438415446532455,-0.8438415446532455,-0.8438415446532455,0.0,-0.8416257937414768,-0.007119076657207051,0.0,0.004903325745438508,0.0,0.0,-7.806255641895632e-17,boundary_proxy,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,1,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.00019679469773881998,0.0,0.015680283253158973,0.01255045553460735,0.0,-269.2190582268028,-0.0025793907205543514,-0.0025714852852469386,-2.1817924143900522e-05,0.0,1.3912488836487685e-05,-2.954471949699298,-0.0,0.0,-2.954471949699298,0.0,-2.954471949699298,-2.9454169481906884,-0.02499057020332601,0.0,0.01593556869471624,-2.954471949699298,0.0,5.204170427930421e-17,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,2,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.00032771238902354685,0.0,0.02611159824932836,0.012550453093463027,0.0,-281.0587122015083,-0.004292749019929433,-0.004278981973075229,-3.6333715118380486e-05,0.0,2.2566668264176343e-05,-5.133215382332342,-0.0,0.0,-5.133215382332342,0.0,-5.133215382332342,-5.1167529205501125,-0.043447400366774254,0.0,0.026984938584544906,-5.133215382332342,0.0,2.498001805406602e-16,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,3,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.0004584809192242235,0.0,0.036531031686531705,0.012550450892227515,0.0,-285.5186536938816,-0.006003317813093096,-0.005983351487093173,-5.083224794711278e-05,0.0,3.086592194718981e-05,-7.292606156002436,-0.0,0.0,-7.292606156002436,0.0,-7.292606156002436,-7.2683518092506745,-0.061749115379843754,0.0,0.037494768628081716,-7.292606156002436,0.0,5.134781488891349e-16,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,4,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.0005890440004042291,0.0,0.04693409777501418,0.012550448998250743,0.0,-286.4723186641972,-0.007709734363207321,-0.007683127660173306,-6.530608835125193e-05,0.0,3.869938531723705e-05,-9.396779050403651,-0.0,0.0,-9.396779050403651,0.0,-9.396779050403651,-9.364350266493341,-0.07959637180386109,0.0,0.04716758789355101,-9.396779050403651,0.0,-2.636779683484747e-16,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,5,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.0007193457859655059,0.0,0.05731634567716758,0.012550447476487725,0.0,-285.3854623792442,-0.009410405492152286,-0.009376623919057123,-7.974842673226232e-05,0.0,4.596685363709889e-05,-11.426076330703912,-0.0,0.0,-11.426076330703912,0.0,-11.426076330703912,-11.385058881128709,-0.09683021755611632,0.0,0.05581276798091107,-11.426076330703912,0.0,1.4363510381087963e-15,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,6,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.0008493309857192655,0.0,0.06767336868603202,0.012550446389918962,0.0,-282.9807059202706,-0.011103472670087353,-0.011061900069235877,-9.41531758735867e-05,0.0,5.2580575022110346e-05,-13.368189425974965,-0.0,0.0,-13.368189425974965,0.0,-13.368189425974965,-13.318137481000113,-0.11335710255099324,0.0,0.06330515757614134,-13.368189425974965,0.0,-9.71445146547012e-17,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,7,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.000978944978351777,0.0,0.07800081319356787,0.012550445800127928,0.0,-279.59240487349786,-0.012786792902150013,-0.012736744778074873,-0.00010851494404187042,0.0,5.846681996673091e-05,-15.210515682187513,-0.0,0.0,-15.210515682187513,0.0,-15.210515682187513,-15.150980990264804,-0.12908383444788868,0.0,0.06954914252518027,-15.210515682187513,0.0,-2.498001805406602e-16,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,8,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.001108133920784557,0.0,0.0882943874079513,0.012550445768025846,0.0,-275.32621849824255,-0.014457936053338283,-0.014398674334161862,-0.00012282889151551856,0.0,6.356717233909733e-05,-16.935998508144586,-0.0,0.0,-16.935998508144586,0.0,-16.935998508144586,-16.866579444188343,-0.14388152747318028,0.0,0.07446246351693786,-16.935998508144586,0.0,-4.440892098500626e-16,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,9,0.075,0.024999999999999998,True,False,False,"N3=-n_z, m3=0; coefficient density is Ma2005-normalized per metre before x integration.",Eq.31 rho*U*phi_j*d(N_i ds)/dx versus Eq.32 rho*U*phi_j*m_i ds plus diagnostic section-boundary proxy.,Ma2005 nondimensional coefficient density per metre; multiply by station trapezoid weight and sum.,-0.0012368448539529734,0.0,0.09854986978121268,0.012550446354712107,0.0,-270.13843156430517,-0.016114198194884653,-0.016044947173498712,-0.00013709049517980743,0.0,6.783947379386646e-05,-18.52047036028752,-0.0,0.0,-18.52047036028752,0.0,-18.52047036028752,-18.44087834624582,-0.15756169943725434,0.0,0.07796968539555679,-18.52047036028752,0.0,8.326672684688674e-17,interior_distributed_transport,false,diagnostic-only station-panel Eq.31/Eq.32 transport identity; not accepted until all eight Ma 2005 Wigley III rows pass under one traced formula.,diagnostic_formula_transport_identity_not_hard_gate,INFO
