benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,station_index,x_m,x_over_l,total_density_value_per_m,time_derivative_density_value_per_m,pressure_gradient_density_value_per_m,stokes_body_forward_density_value_per_m,total_density_sign,pressure_gradient_density_sign,stokes_body_forward_density_sign
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,0,0.075,0.024999999999999998,23.62859175881358,23.62859175881358,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,1,0.15,0.049999999999999996,2.472961922953549,2.472961922953549,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,2,0.22499999999999998,0.075,16.54423869430209,16.54423869430209,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,3,0.3,0.09999999999999999,16.123934207619925,16.123934207619925,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,4,0.375,0.125,15.520083579374464,15.520083579374464,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,5,0.44999999999999996,0.15,15.835819035569374,15.835819035569374,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,6,0.525,0.17500000000000002,17.81002635909975,17.81002635909975,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,7,0.6,0.19999999999999998,10.964271038334967,10.964271038334967,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,8,0.6749999999999999,0.22499999999999998,11.088796769453198,11.088796769453198,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,9,0.75,0.25,10.790461608900646,10.790461608900646,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10,0.825,0.27499999999999997,10.377662097585866,10.377662097585866,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,11,0.8999999999999999,0.3,9.88772563143297,9.88772563143297,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,12,0.975,0.325,9.303383891924383,9.303383891924383,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,13,1.05,0.35000000000000003,8.656194514568805,8.656194514568805,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,14,1.125,0.375,8.076902023478695,8.076902023478695,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,15,1.2,0.39999999999999997,7.636188177195777,7.636188177195777,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,16,1.275,0.425,7.00493127601544,7.00493127601544,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,17,1.3499999999999999,0.44999999999999996,6.103065229394034,6.103065229394034,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,18,1.425,0.47500000000000003,5.28494798965921,5.28494798965921,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,19,1.5,0.5,4.644713095557868,4.644713095557868,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,20,1.575,0.525,4.123965889863838,4.123965889863838,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,21,1.65,0.5499999999999999,3.678362250941198,3.678362250941198,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,22,1.7249999999999999,0.575,3.281924500371694,3.281924500371694,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,23,1.7999999999999998,0.6,2.887680645559108,2.887680645559108,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,24,1.875,0.625,2.477132447154155,2.477132447154155,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,25,1.95,0.65,2.0919065096886733,2.0919065096886733,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,26,2.025,0.6749999999999999,1.7478782634768868,1.7478782634768868,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,27,2.1,0.7000000000000001,1.4405788483088433,1.4405788483088433,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,28,2.175,0.725,1.1682047399970403,1.1682047399970403,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,29,2.25,0.75,0.9333728445386918,0.9333728445386918,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,30,2.3249999999999997,0.7749999999999999,0.738950745444471,0.738950745444471,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,31,2.4,0.7999999999999999,0.5845678179680345,0.5845678179680345,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,32,2.475,0.8250000000000001,0.4781012539029764,0.4781012539029764,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,33,2.55,0.85,0.37016174092443654,0.37016174092443654,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,34,2.625,0.875,0.27518170403904413,0.27518170403904413,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,35,2.6999999999999997,0.8999999999999999,0.20371528688015145,0.20371528688015145,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,36,2.775,0.9249999999999999,0.16803842768514937,0.16803842768514937,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,37,2.85,0.9500000000000001,-0.034818788840589504,-0.034818788840589504,0.0,0.0,negative,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,38,2.925,0.975,0.03173490610016156,0.03173490610016156,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,0,0.075,0.024999999999999998,578.2425315824912,-0.0,578.2425315824912,-0.0,positive,positive,zero
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,1,0.15,0.049999999999999996,278.9948141609814,-0.0,278.9948141609814,-0.0,positive,positive,zero
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,2,0.22499999999999998,0.075,-65.50820742570656,-0.0,-65.50820742570656,-0.0,negative,negative,zero
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,3,0.3,0.09999999999999999,69.1663597334497,-0.0,69.1663597334497,-0.0,positive,positive,zero
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,4,0.375,0.125,48.01174967370919,-0.0,48.01174967370919,-0.0,positive,positive,zero
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,5,0.44999999999999996,0.15,19.10041443316243,-0.0,19.10041443316243,-0.0,positive,positive,zero
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,6,0.525,0.17500000000000002,64.38251978058257,-0.0,64.38251978058257,-0.0,positive,positive,zero
