benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,mode_column,generalized_row,station_index,x_m,x_over_l,pitch_base_lever_arm_m,pitch_radiation_lever_arm_m,pitch_moment_lever_arm_m,pitch_moment_to_radiation_lever_ratio,pitch_moment_minus_base_lever_m,pitch_radiation_minus_base_lever_m,pitch_body_condition_oscillation_norm,pitch_body_condition_forward_speed_norm,pitch_body_condition_forward_to_oscillation_norm_ratio,pitch_body_condition_forward_oscillation_real_alignment,pitch_body_condition_forward_oscillation_phase_deg,total_density_value_per_m,time_derivative_density_value_per_m,pressure_gradient_density_value_per_m,stokes_body_forward_density_value_per_m,gate_role
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,0,0.075,0.024999999999999998,1.425,1.425,1.425,1.0,0.0,0.0,1.894548239805028,1.0636060293642264,0.5614035087719299,0.0,-90.0,-104.97254193504973,-2.1738696537180324,-102.79867228133169,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,1,0.15,0.049999999999999996,1.35,1.35,1.35,1.0,0.0,0.0,3.4438461879117512,2.0407977409847415,0.5925925925925926,0.0,-90.0,-49.90413571205421,-0.3050576389908949,-49.59907807306331,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,2,0.22499999999999998,0.075,1.275,1.275,1.275,1.0,0.0,0.0,4.64452144708517,2.91420953542599,0.6274509803921571,0.0,-90.0,10.11916925186365,-1.5267342904841779,11.645903542347831,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,3,0.3,0.09999999999999999,1.2,1.2,1.2,1.0,0.0,0.0,5.51986486664098,3.679909911093987,0.6666666666666667,0.0,-90.0,-13.893841925801823,-1.59760019541076,-12.296241730391063,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,4,0.375,0.125,1.125,1.125,1.125,1.0,0.0,0.0,6.1071308776498565,4.342848624106565,0.7111111111111111,0.0,-90.0,-10.161379771092998,-1.6259576068780335,-8.535422164214964,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,5,0.44999999999999996,0.15,1.05,1.05,1.05,1.0,0.0,0.0,6.447641989404489,4.912489134784374,0.761904761904762,0.0,-90.0,-5.184385185378309,-1.7887559528161032,-3.3956292325622046,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,6,0.525,0.17500000000000002,0.975,0.975,0.975,1.0,0.0,0.0,6.581008000465766,5.399801436279603,0.8205128205128205,0.0,-90.0,-13.623274495809278,-2.1774932014834874,-11.445781294325792,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,7,0.6,0.19999999999999998,0.9,0.9,0.9,1.0,0.0,0.0,6.542512552316394,5.815566713170128,0.8888888888888892,0.0,-90.0,-15.051363394911068,-1.3913864223558707,-13.6599769725552,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,8,0.6749999999999999,0.22499999999999998,0.8250000000000001,0.8250000000000001,0.8250000000000001,1.0,0.0,0.0,6.362375669778157,6.1695764070576065,0.9696969696969698,0.0,-90.0,-4.23057723905792,-1.5082818608425406,-2.7222953782153794,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,9,0.75,0.25,0.75,0.75,0.75,1.0,0.0,0.0,6.065949555154676,6.470346192164987,1.0666666666666669,0.0,-90.0,-4.630771372460837,-1.562675181909794,-3.0680961905510427,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
