benchmark,coefficient,source_row,station_index,x_m,x_over_l,station_trapezoid_weight_m,pressure_gradient_density_value_per_m,station_pressure_gradient_contribution_value,station_abs_pressure_gradient_contribution_share,station_signed_pressure_gradient_contribution_share_of_net,body_potential_x_gradient_gain_times_l,body_potential_adjacent_relative_jump,reported_pressure_gradient_component_value,station_integral_pressure_gradient_value,station_integral_minus_reported_pressure_gradient_component,current_computed_value,reference_value,current_gate_error_ratio,without_first_station_computed_value,without_first_station_gate_error_ratio,without_first_two_stations_computed_value,without_first_two_stations_gate_error_ratio,diagnostic_flags,diagnostic_candidate_status,failure_source,gate_role
ma2005_wigley_iii_coefficients,A33,0,0,0.075,0.024999999999999998,0.0375,0.0,0.0,0.0,,47.94840333029991,,0.0,0.0,0.0,17.442853170208622,1.0,109.61902113472415,17.442853170208622,109.61902113472415,17.442853170208622,109.61902113472415,first_active_station|peak_abs_pressure_gradient_contribution_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,1,0.15,0.049999999999999996,0.07499999999999998,0.0,0.0,0.0,,28.25706263121482,,0.0,0.0,0.0,17.442853170208622,1.0,109.61902113472415,17.442853170208622,109.61902113472415,17.442853170208622,109.61902113472415,second_active_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,2,0.22499999999999998,0.075,0.075,0.0,0.0,0.0,,49.04639347149518,,0.0,0.0,0.0,17.442853170208622,1.0,109.61902113472415,17.442853170208622,109.61902113472415,17.442853170208622,109.61902113472415,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,3,0.3,0.09999999999999999,0.07500000000000001,0.0,0.0,0.0,,12.083005519270998,,0.0,0.0,0.0,17.442853170208622,1.0,109.61902113472415,17.442853170208622,109.61902113472415,17.442853170208622,109.61902113472415,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,4,0.375,0.125,0.07499999999999998,0.0,0.0,0.0,,7.430663674434614,,0.0,0.0,0.0,17.442853170208622,1.0,109.61902113472415,17.442853170208622,109.61902113472415,17.442853170208622,109.61902113472415,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,5,0.44999999999999996,0.15,0.07500000000000001,0.0,0.0,0.0,,11.66052377586655,,0.0,0.0,0.0,17.442853170208622,1.0,109.61902113472415,17.442853170208622,109.61902113472415,17.442853170208622,109.61902113472415,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,6,0.525,0.17500000000000002,0.07500000000000001,0.0,0.0,0.0,,7.1183585783038765,,0.0,0.0,0.0,17.442853170208622,1.0,109.61902113472415,17.442853170208622,109.61902113472415,17.442853170208622,109.61902113472415,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,7,0.6,0.19999999999999998,0.07499999999999996,0.0,0.0,0.0,,28.390967225368122,,0.0,0.0,0.0,17.442853170208622,1.0,109.61902113472415,17.442853170208622,109.61902113472415,17.442853170208622,109.61902113472415,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,8,0.6749999999999999,0.22499999999999998,0.07500000000000001,0.0,0.0,0.0,,7.078606229766532,,0.0,0.0,0.0,17.442853170208622,1.0,109.61902113472415,17.442853170208622,109.61902113472415,17.442853170208622,109.61902113472415,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,9,0.75,0.25,0.07500000000000001,0.0,0.0,0.0,,4.6917290048784,,0.0,0.0,0.0,17.442853170208622,1.0,109.61902113472415,17.442853170208622,109.61902113472415,17.442853170208622,109.61902113472415,background_station,startup_removal_does_not_pass_this_coefficient,first_active_station_pressure_gradient_spike,diagnostic_pressure_gradient_startup_spike_not_hard_gate
