iteration,step_factor,exact_objective,exact_relative_decrease,low_mode_objective,predicted_low_mode_objective,trust_ratio,maximum_displacement_ratio,condition_number,condition_number_ratio,dipole_coefficient,root_relative_mismatch,curvature_energy,curvature_energy_ratio,maximum_turning_angle_deg,accepted,rejection_reason
1,1.0,0.09132597946862593,0.094018066572832,0.09134051488568237,0.09102922435907115,0.9681514490961154,0.23766415035038685,39808.80341778148,1.4935389252074007,2.8079424723259003,0.012862263144160653,19.2873015586902,1.0160178287973893,17.997991273522622,True,
1,0.5,0.09586217609402946,0.04901759449466798,0.09586944669387479,0.09572960700213028,0.9724383477543475,0.11885514383283612,44960.03690708634,1.6868018989362783,2.8097225357776847,0.013086074821773715,19.130149969180074,1.007739386306081,17.823453573021553,True,
1,0.25,0.0982819216191761,0.025012971253510086,0.09828508342485867,0.09821979419305621,0.974728553235679,0.05943346179630338,48222.383791966975,1.809197993311774,2.810601701900401,0.013406896248043094,19.055340196459085,1.0037985518341608,17.705463698007435,True,
1,0.125,0.09952990084601505,0.012632631733615582,0.09953088387890183,0.09949988675586827,0.9762187175373224,0.029718362652269067,50079.83138767726,1.8788853500658096,2.8110385636585913,0.013621412157037601,19.01893704176602,1.0018809038894716,17.639578620738302,True,
2,1.0,0.08328725703983081,0.08802229634511327,0.0833054756238276,0.08285834476709983,0.9471953063058814,0.2376984528419293,30220.01743951247,0.7591290077815812,2.805724047105053,0.011603793655812262,19.636601639210113,1.0181103654887653,18.339344032823682,True,
2,0.5,0.08712236837147208,0.04602864509761931,0.08713106541526458,0.08691563762405993,0.9511539470641994,0.11886545136209467,34302.83968583618,0.8616897957428699,2.8068417178343044,0.012000131218077253,19.458666062695382,1.0088848356253326,18.221040434194727,True,
2,0.25,0.08917776217925066,0.023522521213290296,0.08918118282772514,0.08907667742289219,0.953538741036952,0.05943707929260199,36916.106741610274,0.9273352518081688,2.80739102486149,0.012371882569470081,19.37202571738082,1.0043927429885828,18.122049372475978,True,
2,0.125,0.0902401243752644,0.011889881714704975,0.09024076838092508,0.09019029566489639,0.9555574220016703,0.029719964159897843,38412.65200058985,0.9649285761609201,2.8076632954758716,0.012602355549718634,19.32940849265792,1.002183142822732,18.063570540081002,True,
3,1.0,0.07645361175800011,0.08204910960823952,0.07647372140524696,0.07611432803000678,0.9498958689333259,0.23772946378157356,26695.919274168326,0.883385303387138,2.8041382576975677,0.01010557764176473,20.00342709929102,1.018680699788116,18.530714488148913,True,
3,0.5,0.07969296600937012,0.043155353630409225,0.07970266890983262,0.07952108353233951,0.9517851800688649,0.11887465915402896,26617.77942213284,0.8807996049443132,2.8049420999572456,0.010657321986383798,19.81932193159161,1.0093050872925304,18.499609267850005,True,
3,0.25,0.08144529971762884,0.02211571598907475,0.08144929650813851,0.08135924303544034,0.9532921065443013,0.05944013543912431,28325.48552873995,0.9373087088859376,2.8053335916881443,0.011080535883473821,19.727594151365032,1.0046338217695074,18.43434098892137,True,
3,0.125,0.08235486977509202,0.011194836975996145,0.08235587360556579,0.0823120182249744,0.9550311370678531,0.029721123108017184,29296.984992058704,0.9694562569561291,2.8055268565999185,0.011329729498402556,19.682000398783558,1.002311945845191,18.390382931488542,True,
4,1.0,0.07078775251043824,0.07410845762913212,0.07080886246202549,0.07057979928597277,0.9610026405944051,0.23775810808827247,26869.331715336444,1.0064958407832734,2.8028774163146837,0.00831012432170665,20.375026894097445,1.0185768065122998,18.5273045217046,True,
4,0.5,0.07344308970935205,0.039377106972752506,0.07345349880884867,0.07332604774740947,0.9592490957794552,0.11888311109102619,26781.229625540982,1.0031956326544336,2.8035209597732917,0.009038933005481276,20.191995049053084,1.0094267821621798,18.605396900227944,True,
4,0.25,0.07490339347360112,0.02027658666154227,0.07490798626580046,0.07484216530906054,0.9591541147499922,0.059442921899918864,26737.087477527686,1.0015421159667348,2.8038313331381426,0.009529523803822581,20.098170111501137,1.0047363390153017,18.585015770854582,True,
4,0.125,0.07566697455646758,0.010289078350182975,0.0756685223632863,0.07563597242261925,0.9601903440079852,0.02972217122594243,26715.005685103333,1.0007149561226565,2.8039836648094476,0.009806832060853303,20.050926771635055,1.0023745767216918,18.561146050691264,True,
