iteration,residual_mode,shape_mode,value,finite_difference_step,jacobian_condition_number
1,0,0,2.285180463012323,0.0008142974619178765,565.9644541805576
1,0,1,7.632365661308748,0.00024320500546037383,565.9644541805576
1,0,2,9.742777008542003,0.00018965725258503468,565.9644541805576
1,0,3,10.538725660992776,0.0001741756196892902,565.9644541805576
1,0,4,10.914882226643522,0.00016669717361349518,565.9644541805576
1,0,5,11.08789219340264,0.00016228604415898854,565.9644541805576
1,0,6,11.129114849506527,0.0001595530398963491,565.9644541805576
1,0,7,11.06876135988443,0.00015797125665523309,565.9644541805576
1,0,8,10.921931683449007,0.00015730277762692797,565.9644541805576
1,0,9,10.697712224579867,0.0001574308263746446,565.9644541805576
1,0,10,10.402304212860276,0.00015829960212755036,565.9644541805576
1,0,11,10.040788971720081,0.0001598896612387867,565.9644541805576
1,0,12,9.617393274984243,0.0001622071292992284,565.9644541805576
1,0,13,9.136244064281843,0.00016527913432133094,565.9644541805576
1,0,14,8.600985134663368,0.00016915251159245606,565.9644541805576
1,0,15,8.0152974290562,0.00017389459898695895,565.9644541805576
1,0,16,-25.076481958478094,0.0008067933510687755,565.9644541805576
1,1,0,3.0717154504039628,0.0008142974619178765,565.9644541805576
1,1,1,10.297042840117555,0.00024320500546037383,565.9644541805576
1,1,2,13.2500133535495,0.00018965725258503468,565.9644541805576
1,1,3,14.527542402783372,0.0001741756196892902,565.9644541805576
1,1,4,15.342505917918643,0.00016669717361349518,565.9644541805576
1,1,5,15.991008200464044,0.00016228604415898854,565.9644541805576
1,1,6,16.56831532296968,0.0001595530398963491,565.9644541805576
1,1,7,17.112748722498413,0.00015797125665523309,565.9644541805576
1,1,8,17.64213827819245,0.00015730277762692797,565.9644541805576
1,1,9,18.165628588095927,0.0001574308263746446,565.9644541805576
1,1,10,18.688136467286785,0.00015829960212755036,565.9644541805576
1,1,11,19.212343641365536,0.0001598896612387867,565.9644541805576
1,1,12,19.739567068731173,0.0001622071292992284,565.9644541805576
1,1,13,20.27029746410575,0.00016527913432133094,565.9644541805576
1,1,14,20.804383409565098,0.00016915251159245606,565.9644541805576
1,1,15,21.341252688297132,0.00017389459898695895,565.9644541805576
1,1,16,0.14449708104547407,0.0008067933510687755,565.9644541805576
1,2,0,-2.614456233790409,0.0008142974619178765,565.9644541805576
1,2,1,-8.798888014894084,0.00024320500546037383,565.9644541805576
1,2,2,-11.420327106796169,0.00018965725258503468,565.9644541805576
1,2,3,-12.70272192707677,0.0001741756196892902,565.9644541805576
1,2,4,-13.687297735383586,0.00016669717361349518,565.9644541805576
1,2,5,-14.627589245630293,0.00016228604415898854,565.9644541805576
1,2,6,-15.599673297754503,0.0001595530398963491,565.9644541805576
1,2,7,-16.628735367160147,0.00015797125665523309,565.9644541805576
1,2,8,-17.72158439671298,0.00015730277762692797,565.9644541805576
1,2,9,-18.876443407369276,0.0001574308263746446,565.9644541805576
1,2,10,-20.087116244642083,0.00015829960212755036,565.9644541805576
1,2,11,-21.344474776052436,0.0001598896612387867,565.9644541805576
1,2,12,-22.637817648731897,0.0001622071292992284,565.9644541805576
1,2,13,-23.955025670919646,0.00016527913432133094,565.9644541805576
1,2,14,-25.283512673039457,0.00016915251159245606,565.9644541805576
1,2,15,-26.610116773336372,0.00017389459898695895,565.9644541805576
1,2,16,-49.3211573175276,0.0008067933510687755,565.9644541805576
1,3,0,-1.228507356045809,0.0008142974619178765,565.9644541805576
1,3,1,-4.118465351924833,0.00024320500546037383,565.9644541805576
1,3,2,-5.300272128201739,0.00018965725258503468,565.9644541805576
1,3,3,-5.812275851551552,0.0001741756196892902,565.9644541805576
1,3,4,-6.139924469896434,0.00016669717361349518,565.9644541805576
1,3,5,-6.403513268438194,0.00016228604415898854,565.9644541805576
1,3,6,-6.64392361371448,0.0001595530398963491,565.9644541805576
1,3,7,-6.879694742681977,0.00015797125665523309,565.9644541805576
1,3,8,-7.121484245984777,0.00015730277762692797,565.9644541805576
1,3,9,-7.376756437021822,0.0001574308263746446,565.9644541805576
1,3,10,-7.651482578587175,0.00015829960212755036,565.9644541805576
1,3,11,-7.950881070109701,0.0001598896612387867,565.9644541805576
1,3,12,-8.279661173938806,0.0001622071292992284,565.9644541805576
1,3,13,-8.64218877771115,0.00016527913432133094,565.9644541805576
1,3,14,-9.042441246517944,0.00016915251159245606,565.9644541805576
1,3,15,-9.484038540003652,0.00017389459898695895,565.9644541805576
1,3,16,25.102098110538147,0.0008067933510687755,565.9644541805576
1,4,0,-0.3399541178651936,0.0008142974619178765,565.9644541805576
1,4,1,-1.1804670893813731,0.00024320500546037383,565.9644541805576
1,4,2,-1.6396611437277289,0.00018965725258503468,565.9644541805576
1,4,3,-2.026690866350856,0.0001741756196892902,565.9644541805576
