scope,metric,eligible_point_count,median_relative_error,nrmse,median_limit,nrmse_limit,status
faltinsen_ch9,heave_motion,7,0.6280985236340985,1.9660301206932087,0.15,0.2,FAIL
faltinsen_ch9,pitch_motion,7,0.48843366413894485,2.0212620384526665,0.15,0.2,FAIL
matched_delta_added_only,heave_motion,7,0.4280347079727102,0.3847705708135143,0.15,0.2,FAIL
matched_delta_added_only,pitch_motion,7,0.5605166779517711,0.4352611593409904,0.15,0.2,FAIL
matched_delta_damping_only,heave_motion,7,0.5103788929887737,3.1345027459872883,0.15,0.2,FAIL
matched_delta_damping_only,pitch_motion,7,0.49047898162339765,3.3245180972579544,0.15,0.2,FAIL
matched_delta_added_and_damping,heave_motion,7,0.4619678443512686,0.3614579978496784,0.15,0.2,FAIL
matched_delta_added_and_damping,pitch_motion,7,0.5880931548032824,0.4283151568528031,0.15,0.2,FAIL
matched_raw_added_only,heave_motion,7,0.8429728889184329,0.7747538266170805,0.15,0.2,FAIL
matched_raw_added_only,pitch_motion,7,0.765751841877194,0.8335331753167141,0.15,0.2,FAIL
matched_raw_damping_only,heave_motion,7,0.6529411252765283,0.6885559910795545,0.15,0.2,FAIL
matched_raw_damping_only,pitch_motion,7,0.6382778053689699,0.5676472301982988,0.15,0.2,FAIL
matched_raw_added_and_damping,heave_motion,7,0.46798275502350084,0.6938575476553654,0.15,0.2,FAIL
matched_raw_added_and_damping,pitch_motion,7,0.4355011097142433,0.460946855333327,0.15,0.2,FAIL
