root_xi_scale,status,kinematic_rms,kinematic_integral,kinematic_convergence_integral,dipole_coefficient,condition_number,root_thickness,interface_s_lambda,measured_s_lambda,root_relative_mismatch,jet_reached_tip,jet_point_count,condition_number_ratio,matching_surface_shift_panels
1.0,PHYSICAL,0.05131595060533671,0.05805434667451169,0.061652576778447994,7.793646170973285,94416.42583502273,0.0636907677624588,4.001910368742932,3.993736306095439,0.0020425401606534448,True,999,0.9993256846716906,0.0
0.995,PHYSICAL,0.056777783241704294,0.06909106524512434,0.07282775176946753,7.741588741235015,95173.7130230213,0.05785439296869375,4.085717794270913,4.009197246099661,0.0187287894133439,True,1001,1.0073409905990947,0.0
0.99,PHYSICAL,0.0661074658636168,0.08944552220924254,0.09322618410185615,7.689777932906165,94478.38662213362,0.05238128515774606,4.094873162802316,4.015831650831505,0.01930255439626848,True,989,0.9999814922332962,0.64453125
