component,sigma,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,response_calibration_used
bem,1.4,0.07129494957591842,0.5387549495759184,1.694197954641253,False
front,1.4,0.6213201263877853,1.0887801263877854,3.4238368754332873,False
longitudinal_bin_aft_post_chine,1.4,-0.34740398891176044,0.12005601108823954,0.37753462606364635,False
longitudinal_bin_forward_post_chine,1.4,0.12447665727856452,0.5919366572785645,1.8614360291778758,False
longitudinal_bin_middle_post_chine,1.4,-0.11485845195978896,0.35260154804021104,1.108809899497519,False
longitudinal_bin_pre_chine,1.4,0.36756318001330746,0.8350231800133074,2.625859056645621,False
post_chine_bem,1.4,-0.07853373644988546,0.3889262635501145,1.2230385646230015,False
pre_chine_bem,1.4,0.36756318001330746,0.8350231800133074,2.625859056645621,False
raw_bem,1.4,0.07129494957591842,0.5387549495759184,1.694197954641253,False
resolved_station_bem,1.4,0.09126039614803629,0.5587203961480363,1.7569823778240135,False
total,1.4,0.1239874612312515,0.5914474612312515,1.8598976768278348,False
transom,1.4,nan,nan,nan,False
transom_extrapolation,1.4,-0.43095281711575273,0.03650718288424726,0.1148024619001486,False
