case,index,omega,heave_rao_automatic_calm_water,heave_rao_prescribed,pitch_slope_rao_automatic_calm_water,pitch_slope_rao_prescribed,heave_rao_relative_change_auto_vs_prescribed,pitch_slope_rao_relative_change_auto_vs_prescribed
fn167,0,16.734,0.18910745575965832,0.1853460050494011,0.13186027214878573,0.13035920958026043,0.020294209790249634,0.011514817966130145
fn167,1,13.7884,0.3672222725802017,0.36457429314333595,0.2672688058032419,0.2672001662199094,0.00726320941072127,0.00025688450835782445
fn167,2,11.104800000000001,0.7262041061268396,0.7254628145391343,0.6858147273230255,0.6842511833413195,0.0010218188621786595,0.0022850438841346726
fn167,3,9.86,1.1378207306847832,1.1381049193664168,1.3067135225512723,1.2993600404435022,-0.00024970341204729114,0.005659310644384736
fn167,4,8.6966,1.9146064743253337,1.9517002024735726,2.687835645270382,2.714378458191032,-0.01900585351235118,-0.009778596953034744
fn167,5,7.5978,2.075446431480809,2.224956116189825,3.498071037818637,3.705644931596597,-0.06719668923854866,-0.05601559178216402
fn167,6,6.5604,1.4896279732850228,1.5831560226080306,2.947728109997618,3.0869641215894035,-0.059076962717125765,-0.04510451242954401
fn167,7,5.601,1.1756905756128766,1.2348381152821448,2.705973601427,2.7897112407522893,-0.047899023311046535,-0.03001659745354439
fn226,0,20.646,0.13387790153168938,0.12888778784913424,0.08020481538224938,0.08309285969846297,0.03871673000079861,-0.03475682900665665
fn226,1,16.8796,0.23901337123824798,0.2374559846535449,0.16245636019201257,0.17020763783840473,0.006558632695551377,-0.04554012819184549
fn226,2,13.4712,0.44528315089036535,0.4520640819397396,0.3838991362531116,0.4067474328479315,-0.014999933240168756,-0.05617317959413422
fn226,3,11.899999999999999,0.6176299725834913,0.638167026389183,0.6213436706666025,0.6673678701745377,-0.03218131454063452,-0.06896376281330184
fn226,4,10.4354,0.8151854530215248,0.8639053709404612,0.9725385213311423,1.065830252779027,-0.05639497051152616,-0.08752963354590246
fn226,5,9.0582,0.9343751402969094,1.0057480001873496,1.341141871040689,1.4817087257566222,-0.07096495332543035,-0.09486807513005217
fn226,6,7.7676,0.9211365100932614,0.9827876539945094,1.6103179153647542,1.7465133526687227,-0.06273088967964638,-0.07798133183228052
fn226,7,6.579,0.8648328091692962,0.9072378115625372,1.8580287574612384,1.9604560603244052,-0.046740779377577826,-0.05224667103542108
fn282,0,24.394999999999996,0.10171501726587676,0.09962406188119283,0.0526641267062508,0.05581345238309458,0.020988457458977212,-0.05642592497642535
fn282,1,19.842000000000002,0.17508039043860926,0.17533292871835912,0.10505255068102604,0.11217311333974425,-0.0014403357178588865,-0.0634783367129324
fn282,2,15.739,0.3094681796801875,0.3151161252657771,0.2359544758740725,0.25302558530115626,-0.01792337850316591,-0.06746791794499901
fn282,3,13.855,0.4094119211155694,0.42068131214953136,0.36379974118970826,0.39129659699977387,-0.026788427982168725,-0.07027113453297296
fn282,4,12.10175,0.5165183404760233,0.5354274383039057,0.5446990591171934,0.5873677472025682,-0.035315892453665614,-0.0726439071409542
fn282,5,10.45775,0.5966653941823099,0.6209962903077307,0.7601026007144006,0.8175234242181045,-0.039180421051088425,-0.07023752690465393
fn282,6,8.9245,0.6308641247145782,0.6542589876478092,0.9862398876153466,1.0496757151234029,-0.03575780138281352,-0.06043373833851011
fn282,7,7.516249999999999,0.6425078844934408,0.6611717357026302,1.2482951892662268,1.3089453955480683,-0.02822844686389277,-0.04633516912785093
