outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,s_nu_left,s_nu_right,k_contribution_linear_exact,k_contribution_endpoint_average,k_contribution_within_panel_slope,s_nu_weak_projected_left,s_nu_weak_projected_right,k_contribution_weak_projected,k_contribution_weak_projection_error,s_nu_endpoint_jump_to_next
0,4.550150799495954,-0.0365716439938432,0.0030291192966268,0.0015145596483134,9.580376213648403e-05,-0.0164232354355413,8.170221207203922e-07,0.0003119244030054148,0.0003119244030054148,-0.0807970553914099,0.0479505845203274,5.001234161780481e-06,8.170221207203873e-07,4.184212041060094e-06,-0.10051455195482442,0.08738557764715645,9.04282191092198e-06,1.1776600027391967e-06,0.0964141765407504
1,4.547226773003312,-0.037569939368385,0.0031507604300318,0.0046044995116427,0.00029125850306537,0.0347764230154621,3.8105283966882162e-06,0.0014547914494948213,0.001766715852500236,0.1443647610610778,-0.074811915030154,1.6423656578543903e-05,3.8105283966881718e-06,1.261312818185573e-05,0.08738557764715645,-0.017722342876880185,6.723348287936858e-06,3.4164003995710928e-06,0.078093749318601
2,4.544165263305986,-0.03854649235073,0.0032764757288157,0.00781811759106645,0.0004945365333637912,-0.0124239516244384,5.0573901523255e-07,0.00019308209215175803,0.0019597979446519943,0.003281834288447,-0.0281297375373237,7.751436400792775e-07,5.057390152325461e-07,2.694046248467316e-07,-0.017722342876880185,-0.041126635281280605,2.9863349548325703e-06,9.644677119338656e-07,-0.0601348002847535
3,4.540980158577344,-0.039556274071208,0.0034063656626572,0.011159538286802901,0.0007058987427615811,-0.0163090188535106,9.060390913052466e-07,0.00034590948701091113,0.0023057074316629057,-0.0882645378220772,0.0556465001150561,6.784968307356136e-06,9.060390913052413e-07,5.8789292160508955e-06,-0.041126635281280605,0.006576563091024032,1.6625101440442686e-06,2.630607516004025e-06,-0.0668879567213618
4,4.537685082704109,-0.0406547222072457,0.0035405314690342,0.014632986852648598,0.0009256124005010843,-0.0139198032837979,6.860166469779498e-07,0.0002619088610130853,0.0025676162926759906,-0.0112414566063057,-0.0165981499612903,6.944826961075527e-07,6.860166469779597e-07,8.466049129593209e-09,0.006576563091024032,-0.0031648996208783853,3.8301008769911354e-08,8.701304078125044e-07,0.021239298176092603
5,4.534266440445572,-0.0418138100473655,0.0036790750611927,0.01824279011776205,0.0011539512009937215,0.0064595092733856,1.5351036368260513e-07,5.8607505638427914e-05,0.0026262237983144185,0.0046411482148023,0.0082778703319696,1.5756524024430685e-07,1.5351036368262178e-07,4.054876561685064e-09,-0.0031648996208783853,-0.019111861343530597,5.344064471935737e-07,1.2569404686338195e-06,-0.0668312199288051
6,4.530721295231768,-0.0430377331617534,0.0038220990404194,0.0219933771685681,0.0013911953069539826,-0.0244501967282109,2.2848971303873697e-06,0.0008723327744130649,0.003498556572727484,-0.0585533495968355,0.0096529561404137,3.7666294212130474e-06,2.2848971303873697e-06,1.481732290825677e-06,-0.019111861343530597,-0.008986475925325484,7.870571775647431e-07,1.487933578891798e-06,-0.0287136537475667
7,4.527053063679004,-0.0443499705638501,0.0039697076543041,0.025889280515929848,0.0016376314232291098,-0.0053542346683668,1.138028997528605e-07,4.344790754795787e-05,0.0035420044802754415,-0.019060697607153,0.0083522282704193,3.623954228311062e-07,1.1380289975286262e-07,2.485925230782436e-07,-0.008986475925325484,-0.013878424742064414,5.267610885451243e-07,4.918935537994529e-07,-0.0541602841448615
8,4.523257287136296,-0.0457501001407295,0.0041220048902526,0.029935136788208198,0.001893552840638714,-0.0120934148072873,6.028460251747755e-07,0.00023015580819406292,0.0037721602884695045,-0.0458080558744422,0.0216212262598674,2.1646421066764893e-06,6.028460251747854e-07,1.5617960815017039e-06,-0.013878424742064414,-0.00912146395788172,5.529028301800445e-07,1.350659523485451e-06,-0.059012703316922696
9,4.519336273537967,-0.0472565552816996,0.004279095890459,0.034135687178563995,0.0021592594642689572,-0.0071841924003168,2.2085535204103407e-07,8.431861523554319e-05,0.0038564789037050474,-0.0373914770570553,0.0230230922564218,1.5223852241711547e-06,2.2085535204103092e-07,1.3015298721301236e-06,-0.00912146395788172,-0.00504621342496253,2.206504792145672e-07,1.131906334778888e-06,-0.063075941278881
10,4.515289584872162,-0.0488793978579305,0.0044410856530856,0.038495777950336305,0.0024350578454403523,0.0011182814657968,5.55381492634351e-09,2.120347003303631e-06,0.003858599250708351,-0.0400528490224592,0.0422894119540524,2.514858970159214e-06,5.553814926341503e-09,2.509305155232872e-06,-0.00504621342496253,-0.0008717753997414974,4.533375410465869e-08,2.3351593598744164e-06,-0.0768428367099939
11,4.511119281360437,-0.0506340113943215,0.0046080826530202,0.043020362103389206,0.0027212612871128517,-0.0158098608910897,1.1517980992939843e-06,0.0004397358717635029,0.004298335122471853,-0.0345534247559415,0.0029337029737619,1.6914371207888394e-06,1.1517980992939991e-06,5.396390214948404e-07,-0.0008717753997414974,-0.014973539955883837,3.6560597648889245e-07,1.308660721453009e-06,-0.0508644634106178
