iteration,residual_mode,shape_mode,value,finite_difference_step,root_defect_derivative,jacobian_condition_number
1,0,0,-0.17133396957349747,0.000210507315730016,0.4186995259663547,1174.577156956001
1,0,1,-0.24003439188569622,0.00014888657914978462,0.5764940309374947,1174.577156956001
1,0,2,-0.23351611902690975,0.00014899293883619384,0.5306170876066663,1174.577156956001
1,0,3,-0.2237104985045647,0.00014917045054266354,0.457855876671162,1174.577156956001
1,0,4,-0.21204412727273297,0.0001494194838463778,0.36320611389899815,1174.577156956001
1,0,5,-0.20013132920577456,0.00014974055863349603,0.2524266730709817,1174.577156956001
1,0,6,-0.18963144804032397,0.00015013434760329587,0.13155294429151113,1174.577156956001
1,0,7,-0.18215120197471504,0.0001506016795253961,0.006539719238706788,1174.577156956001
1,0,8,-0.17920206582205764,0.00015114354327900223,-0.11692740435733467,1174.577156956001
1,0,9,-0.18212374148983465,0.0001517610927103525,-0.23372338667369522,1174.577156956001
1,0,10,-0.1920623772742374,0.00015245565235235382,-0.3393984202762948,1174.577156956001
1,0,11,-0.20990429257234705,0.0001532287240587723,-0.43042527816095605,1174.577156956001
1,0,12,-0.23628868155505817,0.0001540819946145808,-0.5041933269730775,1174.577156956001
1,0,13,-0.27155943761622975,0.00015501734439416748,-0.5591803270109925,1174.577156956001
1,0,14,-0.3158158619349378,0.0001560368571503221,-0.5948109264781013,1174.577156956001
1,0,15,-0.36887932586570016,0.00015714283102945842,-0.6115561615241911,1174.577156956001
1,0,16,-0.430377009210147,0.00015833779092255202,-0.6106712939962221,1174.577156956001
1,0,17,-0.4997150813522085,0.00015962450227709622,-0.5942467494304887,1174.577156956001
1,0,18,-0.5761870642352787,0.0001610059865133171,-0.5648570595909163,1174.577156956001
1,0,19,-0.6589433603948532,0.0001624855382082211,-0.5255984359906313,1174.577156956001
1,0,20,-0.7471149261298407,0.00016406674423434785,-0.4796887936586579,1174.577156956001
1,0,21,-0.8397692592797403,0.0001657535050666498,-0.4305300657944407,1174.577156956001
1,0,22,-0.936041218660716,0.00016755005850157862,-0.38129758965128746,1174.577156956001
1,0,23,-1.0350675635503068,0.00016946100606764667,-0.3350592045280984,1174.577156956001
1,0,24,-1.1361193822349573,0.0001714913424475288,-0.2943831358751833,1174.577156956001
1,0,25,-1.238510357519859,0.00017364648827901483,-0.2615337373034518,1174.577156956001
1,0,26,-1.3417285881808398,0.00017593232675711058,-0.23811338062473092,1174.577156956001
1,0,27,-1.4453170184281536,0.00017835524452371917,-0.22534091244038743,1174.577156956001
1,0,28,-1.5490056417291678,0.0001809221774063997,-0.2237291272947626,1174.577156956001
1,0,29,-1.6525654162730619,0.00018364066165579035,-0.23343922448105003,1174.577156956001
1,0,30,-1.7559442876470754,0.00018651889143502407,-0.2539843111977135,1174.577156956001
1,0,31,-1.8590978830481306,0.00018956578343699357,-0.2846441666539061,1174.577156956001
1,0,32,-1.9621340315222282,0.0001927910496505432,-0.3241788072021889,1174.577156956001
1,0,33,-2.0651237079360167,0.00019620527946931113,-0.3712851155599105,1174.577156956001
1,0,34,-2.16825995803899,0.0001998200325429937,-0.4242996439564405,1174.577156956001
1,0,35,-2.2716529602185265,0.00020364794401756564,-0.4816771911284835,1174.577156956001
1,0,36,-2.3755063630016124,0.00020770284410752383,-0.5416702076574202,1174.577156956001
1,0,37,-2.479931122279619,0.000208145421377496,-0.6028581140404924,1174.577156956001
1,0,38,-2.5850821383160363,0.00020539819754008068,-0.6637043671728956,1174.577156956001
1,0,39,-2.690927572964599,0.00020398868744762733,-0.7229939262535218,1174.577156956001
1,0,40,-2.797533752281308,0.00020386252065482052,-0.7795685812985957,1174.577156956001
1,0,41,-2.904796938788865,0.00020500596019662611,-0.8327206743181108,1174.577156956001
1,0,42,-3.012681799112783,0.00020744447919799865,-0.8817658408368916,1174.577156956001
1,0,43,-3.1209749173376604,0.00021124431986278367,-0.926482037894855,1174.577156956001
1,0,44,-3.229546961673639,0.0002165172294331377,-0.9666415482957468,1174.577156956001
1,0,45,-3.338118623950373,0.00022056081116051621,-1.0025283544787087,1174.577156956001
1,0,46,-3.4465795751715644,0.00021496405504237907,-1.0345443328472737,1174.577156956001
1,0,47,-3.554453162307487,0.00021042115330424823,-1.0629515394367834,1174.577156956001
1,0,48,-3.6615035339265383,0.0002068263674949489,-1.0881344220732636,1174.577156956001
1,0,49,-3.7673263667256283,0.00020409877750730834,-1.1107981504337845,1174.577156956001
1,0,50,-3.8716796816933887,0.00020217782463036914,-1.1314149389069994,1174.577156956001
1,0,51,-3.9741566737570326,0.000201020139005758,-1.1507197933274431,1174.577156956001
