component,sigma,in_phase_center_from_cg_m,in_phase_center_from_transom_m,in_phase_center_from_transom_over_beam,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,restoring_subtraction,response_calibration_used
raw_bem,1.4,-0.10164464818467077,0.3658153518153292,1.150362741557639,-0.07371143039384905,0.39374856960615096,1.2382030490759464,zero_diagnostic_only,False
resolved_station_bem,1.4,-0.05415813871176279,0.4133018612882372,1.2996913876988592,-0.04524426028134467,0.42221573971865534,1.327722451945457,zero_diagnostic_only,False
transom_extrapolation,1.4,-0.43470746954304246,0.03275253045695753,0.10299537879546393,-0.4338165308743082,0.03364346912569177,0.10579707272230117,zero_diagnostic_only,False
pre_chine_bem,1.4,0.4687108701724075,0.9361708701724074,2.943933554001281,0.38878527161811166,0.8562452716181117,2.6925951937676467,zero_diagnostic_only,False
post_chine_bem,1.4,-0.246385857527232,0.221074142472768,0.6952017058892075,-0.16990232759317175,0.29755767240682823,0.9357159509648686,zero_diagnostic_only,False
longitudinal_bin_aft_post_chine,1.4,-0.36468820203831154,0.10277179796168845,0.32318175459650456,-0.35262166720886345,0.11483833279113653,0.36112683267652995,zero_diagnostic_only,False
longitudinal_bin_middle_post_chine,1.4,-0.13390822974120942,0.33355177025879057,1.0489049379207251,-0.12436714543641778,0.3430928545635822,1.0789083476842207,zero_diagnostic_only,False
longitudinal_bin_forward_post_chine,1.4,0.10115349253914972,0.5686134925391497,1.7880927438338041,0.1076573024563835,0.5751173024563835,1.8085449762779355,zero_diagnostic_only,False
longitudinal_bin_pre_chine,1.4,0.4671378218651905,0.9345978218651905,2.9389868612112906,0.3885598289239613,0.8560198289239613,2.6918862544778657,zero_diagnostic_only,False
bem,1.4,-0.10164464818467077,0.3658153518153292,1.150362741557639,-0.07371143039384905,0.39374856960615096,1.2382030490759464,zero_diagnostic_only,False
front,1.4,-6.652285666421393,-6.184825666421393,-19.449137315790544,0.6208589609704275,1.0883189609704274,3.422386669718325,zero_diagnostic_only,False
transom,1.4,nan,nan,nan,nan,nan,nan,zero_diagnostic_only,False
total,1.4,-0.09378358696780123,0.3736764130321988,1.1750830598496818,-0.04560300999689776,0.42185699000310223,1.326594308185856,zero_diagnostic_only,False
