component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,restoring_subtraction,response_calibration_used
bem,1.4,7.774541989381373,A33,-28.064923989801482,-0.8727352355064136,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A35,2.1105922254553398,0.20639342314353162,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A53,4.397867206262107,0.4300645365237668,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A55,-0.8854700211454162,-0.2722941193945649,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B33,-74.34323439312348,-0.4163066170785875,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B35,-157.7860239482954,-2.7785183849825996,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B53,28.107605192933534,0.494958272172381,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B55,32.77941630234598,1.8151764072596208,zero_diagnostic_only,False
front,1.4,7.774541989381373,A33,-16.051758737078572,-0.499161709712348,zero_diagnostic_only,False
front,1.4,7.774541989381373,A35,-1.5764231487757157,-0.1541573810774039,zero_diagnostic_only,False
front,1.4,7.774541989381373,A53,-6.026132029232996,-0.589291480764337,zero_diagnostic_only,False
front,1.4,7.774541989381373,A55,-0.8503336280952788,-0.26148919887121125,zero_diagnostic_only,False
front,1.4,7.774541989381373,B33,64.56837057199188,0.3615694170764906,zero_diagnostic_only,False
front,1.4,7.774541989381373,B35,13.608135905137047,0.2396312097334752,zero_diagnostic_only,False
front,1.4,7.774541989381373,B53,21.50787384177476,0.3787409137759892,zero_diagnostic_only,False
front,1.4,7.774541989381373,B55,4.660833810392788,0.2580959798902051,zero_diagnostic_only,False
total,1.4,7.774541989381373,A33,-44.116682726880036,-1.371896945218761,zero_diagnostic_only,False
total,1.4,7.774541989381373,A35,0.5341690766796187,0.05223604206612719,zero_diagnostic_only,False
total,1.4,7.774541989381373,A53,-1.6282648229708854,-0.15922694424056982,zero_diagnostic_only,False
total,1.4,7.774541989381373,A55,-1.7358036492406985,-0.5337833182657772,zero_diagnostic_only,False
total,1.4,7.774541989381373,B33,-9.774863821131488,-0.054737200002096316,zero_diagnostic_only,False
total,1.4,7.774541989381373,B35,-144.1778880431584,-2.5388871752491253,zero_diagnostic_only,False
total,1.4,7.774541989381373,B53,49.61547903470831,0.8736991859483704,zero_diagnostic_only,False
total,1.4,7.774541989381373,B55,37.44025011273876,2.0732723871498258,zero_diagnostic_only,False
