outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,s_nu_left,s_nu_right,k_contribution_linear_exact,s_nu_weak_projected_left,s_nu_weak_projected_right,k_contribution_weak_projected
0,4.313993117111163,0.42339739422661765,0.005467688476507507,0.0027338442382537536,0.00017348353184158135,0.4756856389744488,0.0012372112001804076,0.2678627043277963,0.2678627043277963,0.5462966299905956,0.40507464795830295,0.0012462983381381243,0.5426547811432558,0.41235834565298257,0.001254436903327286
1,4.316080706538642,0.41818600193609257,0.0057607633540559386,0.008348070153535475,0.000529749527801079,0.33360862275843584,0.0006411425051804844,0.13881071014560828,0.4066734144734046,0.42832325711659713,0.23889398840027454,0.0006583688427947112,0.41235834565298257,0.2604540944591155,0.0006630180833007205
2,4.318445118831528,0.41276845023246694,0.0060638210114751295,0.01426036233630101,0.0009049301305557901,0.23434829818374947,0.00033301974326771484,0.07210051849937266,0.47877393297277726,0.29437846730655526,0.17431812906094546,0.00034030364792763274,0.2604540944591155,0.2163687417666943,0.00034564970788856196
3,4.321215452306165,0.40719404188611363,0.006391055168017365,0.020487800426047257,0.0013001091751468784,0.20544992092965852,0.0002697643296577369,0.05840539017328632,0.5371793231460635,0.2638162873923564,0.14708355446695975,0.0002770216555712485,0.2163687417666943,0.19437094325465273,0.000269811798992927
4,4.324449850249783,0.40148158288901226,0.006742249886345256,0.027054452953228565,0.0017168139957256573,0.16335762573279977,0.00017992175140857085,0.03895400146124258,0.5761333246073062,0.23662847839013246,0.09008677307546709,0.0001919872724362859,0.19437094325465273,0.12992940545345755,0.00017960503067491554
5,4.32812059204633,0.39561305358861126,0.007104160303230374,0.03397765804801638,0.002156144830563051,0.08078596447381381,4.636439328409363e-05,0.010038133964341642,0.5861714585716478,0.16326210531509044,-0.001690176367464158,6.247263585922894e-05,0.12992940545345755,0.029454191311347445,5.1093512464365126e-05
6,4.332192339304889,0.38957305530831365,0.00746616197630424,0.041262819187783684,0.0026184445720322876,-0.013900610083797726,1.4426637867884565e-06,0.0003123442653191193,0.586483802836967,0.06352111956903528,-0.09132233973662984,1.6360364570387723e-05,0.029454191311347445,-0.05074056668293257,4.847112329520763e-06
7,4.336697243438898,0.3833929395180893,0.007832709876944394,0.048912255114408,0.0031038603622143652,-0.059921037889273165,2.812358591751151e-05,0.006088903639218007,0.592572706476185,0.002872021360186494,-0.12271409713873238,3.8418294807120045e-05,-0.05074056668293257,-0.06038155501012856,2.4240491970511904e-05
8,4.341737360841073,0.3771535628905711,0.008215270982835284,0.05693624554429784,0.0036130445285110883,-0.0375668241035898,1.1593934863520968e-05,0.002510147617391595,0.5950828540935766,0.015106279141094525,-0.09023992734827457,1.919157028734395e-05,-0.06038155501012856,-0.007008048634808284,1.1277381264085443e-05
9,4.347410488604107,0.37093439091877867,0.008629083093707418,0.06535842258256919,0.0041474967105153086,0.02159914070317015,4.025664689001903e-06,0.0008715774882701738,0.5959544315818467,0.07692700280550069,-0.033728721399159944,1.283070147399587e-05,-0.007008048634808284,0.04752825532340705,5.680719482820329e-06
10,4.353739873269889,0.36475625557725566,0.009066740009609588,0.07420633413422768,0.004708965035566667,0.053904065978839455,2.6344757958862643e-05,0.00570377807014128,0.601658209651988,0.11771596312845922,-0.009907831170779424,3.865122012255988e-05,0.04752825532340705,0.055681732623427925,2.419564143417647e-05
11,4.360677991104877,0.35858541365885277,0.009507576664028624,0.08349349247104679,0.005298306961671609,0.04342229490070926,1.792649486462375e-05,0.0038811800223407904,0.6055393896743287,0.11074862095168125,-0.02390403115026185,3.2291917687001496e-05,0.055681732623427925,0.0280663074889711,1.7275119726914736e-05
12,4.368174832925581,0.3523884435277611,0.009948023530313979,0.0932212925682181,0.005915611010780171,0.013092072185375336,1.7051146518084261e-06,0.0003691662520964516,0.6059085559264252,0.0781111087513513,-0.051926964380601515,1.57234552942964e-05,0.0280663074889711,0.001452726985451044,2.7542784824917544e-06
13,4.376229224687144,0.3461699952449427,0.010406069339814342,0.10339833900328224,0.00656142320979501,-0.0020115727863476707,4.2107379906467204e-08,9.116468273371221e-06,0.6059176723946986,0.05849755775285459,-0.06252070332555082,1.2742211628068496e-05,0.001452726985451044,-0.0026492074158825166,1.8315169470553705e-08
14,4.384877758326998,0.3399651816618604,0.010885614071539616,0.11404418070895923,0.007236984089483952,0.0017644907430609535,3.389157110112474e-08,7.337702639404884e-06,0.605925010097338,0.05902235477161799,-0.05549337328549653,1.1929919201384468e-05,-0.0026492074158825166,0.007913636590363165,1.7663389011485933e-07
15,4.394153067980078,0.33380516052463555,0.011387002581756286,0.1251804890356072,0.007943668864406514,0.013882937027274611,2.194684652107989e-06,0.0004751607211239537,0.606400170818462,0.06934651487083299,-0.041580640816283765,1.3870949238149082e-05,0.007913636590363165,0.019010988060532547,2.180570615551761e-06
16,4.404068086346797,0.3276987964170396,0.011905161345247462,0.13682657099910905,0.008682702713838761,0.02048575550198084,4.996193566030419e-06,0.0010817020729741995,0.6074818728914363,0.07473623675676899,-0.03376472575280687,1.667561208470708e-05,0.019010988060532547,0.020535960260299118,4.657109533211036e-06
17,4.414618640483308,0.3216364536989878,0.012433795879727627,0.14899604961159663,0.00945495012311818,0.0179543465756411,4.0081405470374325e-06,0.0008677834197579078,0.6083496563111941,0.07048876784925673,-0.034580074697974084,1.5446674970309432e-05,0.020535960260299118,0.014697495300197361,3.8941372628210176e-06
18,4.425800500777102,0.315608830487656,0.012974328404301847,0.16170011175361135,0.010261120986217322,0.011893348470230158,1.8352413000217547e-06,0.0003973393529303685,0.6087469956641245,0.0620788484309478,-0.03829215149048748,1.2727555033816117e-05,0.014697495300197361,0.009893077956742949,1.986338654187128e-06
