configuration,metric,eligible_experimental_points,dense_computed_points,reference_peak_is_interior,reference_peak_uncertainty_resolved,peak_is_resolved,computed_peak_is_interior,reference_discrete_peak_rao,reference_neighbor_max_rao,digitization_uncertainty_abs,reference_peak_omega_e_rad_s,computed_peak_omega_e_rad_s,reference_peak_rao_quadratic,computed_peak_rao_quadratic,peak_frequency_relative_error,limit,status,reason,route
FnB=1.67,heave,7,218,True,True,True,True,1.057692308,0.9653846154,0.01538461538,7.607131080061594,8.728253685951096,1.0576996441128128,1.6457319564307085,0.14737784771817344,0.1,FAIL,experimental peak is bracketed and uncertainty-resolved,faltinsen_ch9
FnB=1.67,pitch,7,218,False,False,False,True,1.146153846,,0.01538461538,5.601,8.59651119501197,1.146153846,1.4050243607742594,0.534817210321723,0.1,UNRESOLVED,experimental maximum is at the measured-range boundary,faltinsen_ch9
FnB=1.67,heave,7,218,True,True,True,False,1.057692308,0.9653846154,0.01538461538,7.607131080061594,5.610784091485861,1.0576996441128128,0.7267711225219144,0.2624309963329261,0.1,FAIL,computed maximum is at the comparison-range boundary,planing_base_plus_matched_radiation_station_phase_excitation
FnB=1.67,pitch,7,218,False,False,False,False,1.146153846,,0.01538461538,5.601,5.610784091485861,1.146153846,0.7860346219443813,0.0017468472568936521,0.1,UNRESOLVED,experimental maximum is at the measured-range boundary,planing_base_plus_matched_radiation_station_phase_excitation
