comparison,component,mode,first_real,first_imag,last_real,last_imag,relative_complex_change
longitudinal_only,incident,heave,-2736.413972179236,2.297051437949449e-13,-2736.387744223129,-3.51461915126805e-13,9.584791034436377e-06
longitudinal_only,incident,pitch,-3.2085445411667024e-14,2381.816811936129,-1.3322676295501878e-13,2381.868020516096,2.1499797847706964e-05
longitudinal_only,diffraction,heave,-428.2424068132228,526.8386487493867,-429.4367444955308,527.9239844764136,0.002376984591497499
longitudinal_only,diffraction,pitch,362.511574025463,190.88033087702922,362.2188275062419,189.52493588057305,0.0033845896408417958
longitudinal_only,total,heave,-3164.656378992459,526.838648749387,-3165.82448871866,527.9239844764132,0.0004970065415885508
longitudinal_only,total,pitch,362.51157402546295,2572.6971428131583,362.2188275062418,2571.392956396669,0.0005144653762681375
transverse_only,incident,heave,-2736.387744223129,-3.51461915126805e-13,-2736.387744223129,-3.51461915126805e-13,0.0
transverse_only,incident,pitch,-1.3322676295501878e-13,2381.868020516096,-1.3322676295501878e-13,2381.868020516096,0.0
transverse_only,diffraction,heave,-429.4367444955308,527.9239844764136,-419.958485428181,582.940457932887,0.08203466229298323
transverse_only,diffraction,pitch,362.2188275062419,189.52493588057305,352.69367188227216,157.4934294781345,0.08174480360910541
transverse_only,total,heave,-3165.82448871866,527.9239844764132,-3156.3462296513103,582.9404579328867,0.017394068528858563
transverse_only,total,pitch,362.2188275062418,2571.392956396669,352.69367188227204,2539.3614499942305,0.01286892035186012
panel_integration_only,incident,heave,-2736.413972179236,2.297051437949449e-13,-2736.413972179236,2.297051437949449e-13,0.0
panel_integration_only,incident,pitch,-3.2085445411667024e-14,2381.816811936129,-3.2085445411667024e-14,2381.816811936129,0.0
panel_integration_only,diffraction,heave,-428.2424068132228,526.8386487493867,-404.5920266568615,491.65873117587654,0.06243712623083372
panel_integration_only,diffraction,pitch,362.511574025463,190.88033087702922,368.2291683031076,214.16529364463275,0.05852321064400885
panel_integration_only,total,heave,-3164.656378992459,526.838648749387,-3141.0059988360977,491.65873117587677,0.01321317917348829
panel_integration_only,total,pitch,362.51157402546295,2572.6971428131583,368.22916830310754,2595.9821055807615,0.00922849532521824
analytic_joint_longitudinal_transverse,incident,heave,-2736.413972179236,2.297051437949449e-13,-2736.387744223129,-3.51461915126805e-13,9.584791034436377e-06
analytic_joint_longitudinal_transverse,incident,pitch,-3.2085445411667024e-14,2381.816811936129,-1.3322676295501878e-13,2381.868020516096,2.1499797847706964e-05
analytic_joint_longitudinal_transverse,diffraction,heave,-404.5920266568615,491.65873117587654,-403.16185096632836,491.4164093539115,0.0022781446546606882
analytic_joint_longitudinal_transverse,diffraction,pitch,368.2291683031076,214.16529364463275,369.4665590731189,213.10375145199228,0.003827262709866658
analytic_joint_longitudinal_transverse,total,heave,-3141.0059988360977,491.65873117587677,-3139.5495951894577,491.41640935391115,0.000464393811688487
analytic_joint_longitudinal_transverse,total,pitch,368.22916830310754,2595.9821055807615,369.4665590731188,2594.971771968088,0.0006092636888455381
