case_name,coefficient,total_rows,pass_rows,fail_rows,error_rows,finite_gate_rows,median_gate_error_ratio,max_gate_error_ratio,median_abs_error,median_rel_error,max_heave_residual,max_pitch_residual,max_heave_condition_number,max_pitch_condition_number,pass_fraction,diagnostic_conclusion,gate_role
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endaft_pr1p0_pl1p0_pf1p0_pmm1p0,A55,1,1,0,0,1,0.7398510562951259,0.7398510562951259,0.00699159248198894,0.11097765844426888,3.994021119204139e-16,4.1599178711809582e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endaft_prm1p0_pl1p0_pf1p0_pm1p0,A55,1,1,0,0,1,0.7398510562951259,0.7398510562951259,0.00699159248198894,0.11097765844426888,3.994021119204139e-16,4.1599178711809582e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endbowxm1p0_pr1p0_pl1p0_pf1p0_pmm1p0,A55,1,1,0,0,1,0.7441318978205554,0.7441318978205554,0.007032046434404249,0.11161978467308331,3.994021119204139e-16,4.1599178711809582e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endbowxm1p0_prm1p0_pl1p0_pf1p0_pm1p0,A55,1,1,0,0,1,0.7441318978205554,0.7441318978205554,0.007032046434404249,0.11161978467308331,3.994021119204139e-16,4.1599178711809582e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endaftxm1p0_pr1p0_pl1p0_pf1p0_pm1p0,A55,1,0,1,0,1,1.5127916107436679,1.5127916107436679,0.014295880721527661,0.22691874161155018,3.994021119204139e-16,4.1599178711809582e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endaftxm1p0_prm1p0_pl1p0_pf1p0_pmm1p0,A55,1,0,1,0,1,1.5127916107436679,1.5127916107436679,0.014295880721527661,0.22691874161155018,3.994021119204139e-16,4.1599178711809582e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endbow_pr1p0_pl1p0_pf1p0_pm1p0,A55,1,0,1,0,1,1.5170724522690966,1.5170724522690966,0.014336334673942963,0.2275608678403645,3.994021119204139e-16,4.1599178711809582e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endbow_prm1p0_pl1p0_pf1p0_pmm1p0,A55,1,0,1,0,1,1.5170724522690966,1.5170724522690966,0.014336334673942963,0.2275608678403645,3.994021119204139e-16,4.1599178711809582e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endaftxm1p0_prm1p0_pl1p0_pf1p0_pm1p0,A35,1,0,1,0,1,1.7815740453142757,1.7815740453142757,0.10689444271885654,0.5344722135942827,4.638520343115812e-16,3.5382363108465676e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endaftxm1p0_prm1p0_pl1p0_pf1p0_pmm1p0,A35,1,0,1,0,1,1.7815740453142757,1.7815740453142757,0.10689444271885654,0.5344722135942827,4.638520343115812e-16,3.5382363108465676e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
