coefficient,point_count,median_relative_error,nrmse,median_relative_error_limit,nrmse_limit,passed
A33,5,0.10678092446817551,0.11797698406738924,0.1,0.15,False
A35,5,0.860272946738742,0.7542944289042225,0.1,0.15,False
A53,5,0.09510514130485742,0.19181409976233163,0.1,0.15,False
A55,5,1.3150946056937023,2.006870242029305,0.1,0.15,False
B33,5,0.14753427753146078,0.14545565847766231,0.1,0.15,False
B35,5,0.1350697644996923,0.13659322994349546,0.1,0.15,False
B53,5,0.550322498266645,0.5531297413640093,0.1,0.15,False
B55,5,0.21221600407675884,0.21214933748720927,0.1,0.15,False
