model_variant,sigma,coefficient,computed_value,reference_value,uncertainty,absolute_error,relative_error,normalized_residual,normalization
sun_2dt_without_stern_3d_correction,0.85,A33,0.804821898122697,0.944099379,0.0372670807,0.13927748087730296,0.14752417380554486,3.737279074754652,rho*B^3
sun_2dt_without_stern_3d_correction,1.13,A33,0.8708383205020247,0.99378882,0.0372670807,0.12295049949797532,0.1237189401043728,3.2991717405429966,rho*B^3
sun_2dt_without_stern_3d_correction,1.4,A33,0.8991607820712448,1.00621118,0.0372670807,0.10705039792875515,0.10638959301640352,2.872519014583161,rho*B^3
sun_2dt_without_stern_3d_correction,1.7,A33,0.9068434496718017,1.01242236,0.0372670807,0.10557891032819822,0.10428346360129602,2.83303409725351,rho*B^3
sun_2dt_without_stern_3d_correction,1.95,A33,0.9098629089045097,1.01863354,0.0372670807,0.10877063109549023,0.10678092446817551,2.91867860461338,rho*B^3
sun_2dt_without_stern_3d_correction,0.85,A35,0.5770349392491586,1.95652174,0.0372670807,1.3794868007508412,0.7050710311815095,37.016229198517316,rho*B^4
sun_2dt_without_stern_3d_correction,1.13,A35,0.22991745439408406,1.06521739,0.0372670807,0.8352999356059159,0.7841591241820751,22.41388163269563,rho*B^4
sun_2dt_without_stern_3d_correction,1.4,A35,0.09025846919867873,0.645962733,0.0372670807,0.5557042638013212,0.860272946738742,14.911397763477652,rho*B^4
sun_2dt_without_stern_3d_correction,1.7,A35,-0.012530349419116921,0.403726708,0.0372670807,0.4162570574191169,1.0310367116438501,11.169564387669272,rho*B^4
sun_2dt_without_stern_3d_correction,1.95,A35,-0.06347633442772986,0.273291925,0.0372670807,0.33676825942772987,1.232265678642828,9.0366149723053,rho*B^4
sun_2dt_without_stern_3d_correction,0.85,A53,-0.2291306190919011,-0.155279503,0.0372670807,0.07385111609190109,0.4756011879552518,1.981671617543713,rho*B^4
sun_2dt_without_stern_3d_correction,1.13,A53,-0.22684684625298915,-0.189440994,0.0372670807,0.03740585225298915,0.19745384282025646,1.0037237033430726,rho*B^4
sun_2dt_without_stern_3d_correction,1.4,A53,-0.22786349195801237,-0.208074534,0.0372670807,0.01978895795801236,0.09510514130485742,0.5310037058527195,rho*B^4
sun_2dt_without_stern_3d_correction,1.7,A53,-0.22611138309775658,-0.217391304,0.0372670807,0.008720079097756572,0.040112363913860014,0.23398878940782103,rho*B^4
