source_row,coefficient,omega_e_sqrt_l_over_g,reference_value,computed_value,signed_error,relative_error,relative_error_limit,source_reproduction_status,digitization_uncertainty,gate_error_ratio,gate_status,station_count,body_panel_count,free_surface_panel_count_per_side,control_surface_panel_count_per_side,provider_route,force_assembly_route,apply_local_time_phase,local_time_phase_gradient_correction,clip_inner_free_surface_to_waterline,two_zone_inner_free_surface,reference_series,reference_role,source_figure,source_page,source_image,empirical_output_scaling_used
0,A33,2.0,1.07,1.0740384011307123,0.004038401130712188,0.003774206664216998,0.05,PASS,0.02,0.1887103332108499,PASS,41,40,30,60,matched_bie_station_sweep,eq32_stokes_body_plus_end,True,True,True,False,matched_biem_theory,implementation_reproduction_gate,Fig. 11,952,p16_Im14.tiff.png,False
1,A33,2.23,0.941,0.9450606165571681,0.004060616557168162,0.004315214194652669,0.05,PASS,0.02,0.21576070973263348,PASS,41,40,30,60,matched_bie_station_sweep,eq32_stokes_body_plus_end,True,True,True,False,matched_biem_theory,implementation_reproduction_gate,Fig. 11,952,p16_Im14.tiff.png,False
2,A53,2.0,0.19,0.18679742406524272,-0.0032025759347572846,0.016855662814512024,0.05,PASS,0.005,3.371132562902405,FAIL,41,40,30,60,matched_bie_station_sweep,eq32_stokes_body_plus_end,True,True,True,False,matched_biem_theory,implementation_reproduction_gate,Fig. 13,953,p17_Im16.tiff.png,False
3,A53,2.23,0.145,0.14470606810576853,-0.00029393189423146393,0.002027116511941131,0.05,PASS,0.005,0.40542330238822616,PASS,41,40,30,60,matched_bie_station_sweep,eq32_stokes_body_plus_end,True,True,True,False,matched_biem_theory,implementation_reproduction_gate,Fig. 13,953,p17_Im16.tiff.png,False
