grid,period_s,station_index,x_aft_m,a33_raw_kg_per_m,b33_raw_kg_per_m_s,relative_residual,condition_number
0,1.6,9,0.6540499999999999,-4.31439913570436,-19.864303841859318,2.5527532863848407e-15,115.37976061281
0,1.6,10,0.83185,-26.351960759883518,-130.53827076235274,3.1777312774534172e-15,163.29268385531526
0,1.6,11,1.0223499999999999,-55.33456026319599,-279.0153574849191,4.420567827020778e-15,187.71080940477188
0,1.6,12,1.21285,-87.10913174969144,-427.13374021652356,4.551548921633644e-15,202.84180965182878
0,1.6,13,1.4033499999999999,-122.46932768393293,-573.4931063304399,5.028736731384838e-15,215.16495928481802
0,1.6,14,1.55575,-155.15980183892128,-699.8945041287392,5.9033741778663304e-15,222.16791847740586
0,1.6,15,1.6700499999999998,-152.5782091084615,-695.8226706583553,4.594131860036918e-15,219.71077490429215
0,1.6,16,1.86055,-153.53448956502652,-675.9007348355457,3.672183334849049e-15,223.69021504061448
0,1.6,17,2.1272499999999996,-156.76942243391625,-652.5860037317344,3.608643983662283e-15,229.5475940818071
0,1.6,18,2.40665,-160.79987631690017,-624.0567258572925,5.8725405689007504e-15,232.08906130073242
0,1.6,19,2.6987499999999995,-166.12120254314453,-588.1968082563563,3.822855356362858e-15,234.03381119600942
0,1.6,20,2.8892499999999997,-167.1957009687599,-577.8263406600257,4.020372120021859e-15,234.97737640704347
0,1.6,21,2.97815,-167.54941429432648,-572.6232873576661,3.7488990753066216e-15,235.19231012404353
0,1.6,22,3.11785,-167.91726758864203,-562.964083742029,4.2789498085537835e-15,235.48255452722194
0,1.6,23,3.30835,-168.646778954603,-547.9740483044799,3.568147838386352e-15,235.85006369877823
0,1.6,24,3.4798,-169.23395648173621,-531.6914951199376,3.4357819347446158e-15,236.1204641859417
0,1.6,25,3.6321999999999997,-169.5344913853961,-514.6376538677413,4.1096688807298626e-15,236.29327433524068
0,1.6,26,3.91795,-170.45435793775678,-479.31505504486694,4.01100239952782e-15,236.5431007196776
0,1.6,27,4.33705,-170.61456552205328,-433.9121478572764,3.580693535508941e-15,236.89427611410704
0,1.6,28,4.64185,-149.0587439735718,-530.926769277564,3.916003705714894e-15,232.38371824007658
0,1.6,29,4.83235,-142.37682154573446,-522.6935888340452,3.4281581801962796e-15,230.67153106253008
0,1.6,30,5.0927,-134.18704006653513,-509.5695169491849,6.081202261320553e-15,228.45086759933574
0,1.6,31,5.4229,-124.70328924432093,-491.2023334140295,3.770101238858242e-15,225.7299971437597
0,1.6,32,5.7531,-113.70259700693636,-464.4596229017071,3.5193144720163545e-15,222.7276679435369
0,1.6,33,6.0833,-101.37220971062429,-429.82012360455445,3.921473113490087e-15,219.44558465677193
0,1.6,34,6.4135,-87.41950514677842,-385.2931980836436,3.811326954555307e-15,215.79730292864804
0,1.6,35,6.7437,-72.49571400570599,-331.496521943255,4.144485361413412e-15,211.6576642814502
0,1.6,36,7.073899999999999,-56.712021239246326,-268.6056671374458,4.70939284432069e-15,205.06879474176134
0,1.6,37,7.4041,-41.29352824178733,-198.76213341452504,4.3793050635004526e-15,197.93603038374096
0,1.6,38,7.74065,-25.62586528873917,-123.29624686676371,3.755278815994124e-15,190.28873370287113
0,1.6,39,8.083549999999999,-11.55953325192365,-54.059375625528716,2.8074792274240336e-15,179.13719956935952
0,1.6,40,8.3185,-28.976735519364034,356.92533217193244,8.957310559802694e-15,8807.842633422026
0,1.6,41,8.4455,-128.98834721326074,44.53291567306233,1.3913556221983275e-14,7419.833387096517
0,2.0,9,0.6540499999999999,-4.534687423814588,-18.179215920076274,3.811656918562747e-15,134.36294412954564
0,2.0,10,0.83185,-31.682929178503603,-118.3385525822882,5.497508259401016e-15,200.53151515737264
0,2.0,11,1.0223499999999999,-67.13742559846779,-266.86287406812073,4.356014451679787e-15,233.74369408445983
0,2.0,12,1.21285,-103.6537051506829,-419.6955775134101,6.762510854730435e-15,252.65855873339987
0,2.0,13,1.4033499999999999,-142.76088316458836,-572.2978892752849,4.311280295160542e-15,267.2131963831208
0,2.0,14,1.55575,-178.54027846097455,-704.3226556011751,5.601745090690309e-15,276.1429052482605
0,2.0,15,1.6700499999999998,-175.99895748659566,-710.0809762623045,4.704056100777528e-15,271.84126609442086
0,2.0,16,1.86055,-176.11625779760584,-705.0138374023365,5.0340832081430926e-15,277.72422375660597
0,2.0,17,2.1272499999999996,-177.80776797660923,-699.7012986637354,5.668428586967769e-15,285.5410746097601
0,2.0,18,2.40665,-179.86743695104164,-689.9394077196163,4.2824451995093475e-15,288.859326318613
0,2.0,19,2.6987499999999995,-182.75857684295983,-673.0135339249558,4.699849470987474e-15,291.4283415878663
0,2.0,20,2.8892499999999997,-182.75873239921077,-669.0349133518109,5.158555785713892e-15,292.96591650185866
0,2.0,21,2.97815,-182.66319932030137,-666.2297838538432,5.445439861491688e-15,293.46260847883144
0,2.0,22,3.11785,-182.27426508682532,-660.219891894794,4.1447302783950835e-15,294.1763412582362
0,2.0,23,3.30835,-181.83263728760863,-650.464722149412,4.44318095164144e-15,294.96861684324654
0,2.0,24,3.4798,-181.15314289860183,-639.1479586824719,6.707572231891446e-15,295.33530075120865
0,2.0,25,3.6321999999999997,-180.1999398375118,-626.4374542459351,5.004375899171769e-15,295.59550079067054
0,2.0,26,3.91795,-178.54771249449806,-599.1448315817782,4.92632495283414e-15,296.01103530830665
0,2.0,27,4.33705,-175.25850154424086,-562.1804918095357,4.013573002537706e-15,296.5954289201647
0,2.0,28,4.64185,-163.70115484628178,-613.7989090818321,4.891776402631526e-15,289.86617927348834
0,2.0,29,4.83235,-157.4563957139664,-598.6575666879813,4.238337098101629e-15,287.8158682906347
0,2.0,30,5.0927,-149.6513403550144,-577.2238799958113,4.144607640441267e-15,285.16956859619364
0,2.0,31,5.4229,-140.44715694854506,-549.3614181084383,4.905794110688193e-15,281.94275320723193
0,2.0,32,5.7531,-129.36711913671257,-513.1827656175391,4.567518499688527e-15,278.44842353951685
0,2.0,33,6.0833,-116.59695873237831,-469.3161340468979,4.140333529708754e-15,274.6949603730109
0,2.0,34,6.4135,-101.74964244575055,-415.9617252900073,4.030126551592467e-15,270.6048915221964
0,2.0,35,6.7437,-85.37074018159916,-354.7448663765324,3.978315811853032e-15,264.75412351785417
0,2.0,36,7.073899999999999,-67.80700477337734,-284.92107070352114,4.663119901195403e-15,256.9374625841744
0,2.0,37,7.4041,-50.10541878607309,-209.30112913089616,4.191848031408543e-15,248.3506770177326
0,2.0,38,7.74065,-31.512754202701522,-128.9430155734077,3.8168349696326386e-15,238.47604506101186
0,2.0,39,8.083549999999999,-14.367479722139878,-55.77674705886684,3.0423658953957314e-15,224.66839725648066
0,2.0,40,8.3185,-69.64014139765284,425.25167302975774,1.3654133049745862e-14,15197.422447918278
0,2.0,41,8.4455,-155.10584917614187,-72.29770695351361,1.1437234158606781e-14,9686.271328848818
0,3.0,9,0.6540499999999999,-4.5894714743433624,-17.387795292811745,1.1601021529768105e-14,335.37730808068966
0,3.0,10,0.83185,-38.03543478638356,-95.63617353804342,7.244770097962835e-15,235.06626742033004
0,3.0,11,1.0223499999999999,-90.50952631729453,-219.25401990173762,5.751835363884742e-15,286.4542326662257
