outer_iteration,coefficient_index,unscaled_step,trust_scaled_step,trust_region_step_scale
1,0,1.2439141187338656e-06,1.2439141187338656e-06,1.0
1,1,3.1036658431237167e-06,3.1036658431237167e-06,1.0
1,2,9.426982756602103e-07,9.426982756602103e-07,1.0
1,3,9.795580351023807e-07,9.795580351023807e-07,1.0
1,4,5.886110549491268e-07,5.886110549491268e-07,1.0
1,5,5.887505788155431e-07,5.887505788155431e-07,1.0
1,6,4.080696539054423e-07,4.080696539054423e-07,1.0
1,7,3.9894510316687034e-07,3.9894510316687034e-07,1.0
1,8,2.918602978961611e-07,2.918602978961611e-07,1.0
1,9,2.812410083183582e-07,2.812410083183582e-07,1.0
1,10,2.0981700170295945e-07,2.0981700170295945e-07,1.0
1,11,1.9934477485539188e-07,1.9934477485539188e-07,1.0
1,12,1.4768866431645507e-07,1.4768866431645507e-07,1.0
1,13,1.3878408723499222e-07,1.3878408723499222e-07,1.0
1,14,9.347444726309758e-08,9.347444726309758e-08,1.0
1,15,7.468925479344269e-08,7.468925479344269e-08,1.0
