level,case,omega,component,real,imag
0,fn167,16.734,A33,0.1950390741706037,0.0
0,fn167,16.734,A35,0.010273647853992296,0.0
0,fn167,16.734,A53,0.014042687207762364,0.0
0,fn167,16.734,A55,0.011943332826970377,0.0
0,fn167,16.734,B33,0.3918501587015738,0.0
0,fn167,16.734,B35,-0.12472123111115255,0.0
0,fn167,16.734,B53,0.15790447097007324,0.0
0,fn167,16.734,B55,0.006023305800746217,0.0
0,fn167,16.734,F3,0.05558912915523465,-0.3427819191168669
0,fn167,16.734,F5,0.1351509764020404,0.008019936543525749
0,fn167,13.7884,A33,0.20812869483449406,0.0
0,fn167,13.7884,A35,0.014835451128182449,0.0
0,fn167,13.7884,A53,0.010075569082445134,0.0
0,fn167,13.7884,A55,0.012676870717545379,0.0
0,fn167,13.7884,B33,0.4825274345132882,0.0
0,fn167,13.7884,B35,-0.10136073422121447,0.0
0,fn167,13.7884,B53,0.14705905624419063,0.0
0,fn167,13.7884,B55,0.003252761997524513,0.0
0,fn167,13.7884,F3,0.05168583338058964,-0.49774340802404843
0,fn167,13.7884,F5,0.1284252189431143,-0.019729345266509178
0,fn167,11.104800000000001,A33,0.23532601031023184,0.0
0,fn167,11.104800000000001,A35,0.024587624199693996,0.0
0,fn167,11.104800000000001,A53,0.0027935347237081033,0.0
0,fn167,11.104800000000001,A55,0.013568219172569907,0.0
0,fn167,11.104800000000001,B33,0.4892069068671141,0.0
0,fn167,11.104800000000001,B35,-0.1035894769418768,0.0
0,fn167,11.104800000000001,B53,0.15465036764728865,0.0
0,fn167,11.104800000000001,B55,0.006093332340027679,0.0
0,fn167,11.104800000000001,F3,0.025144268592049355,-0.6089397487248996
0,fn167,11.104800000000001,F5,0.10684041273987609,-0.041923741589201334
0,fn167,9.86,A33,0.25269295997281527,0.0
0,fn167,9.86,A35,0.03096330220829412,0.0
0,fn167,9.86,A53,-0.0017260353822696926,0.0
0,fn167,9.86,A55,0.014556719548746051,0.0
0,fn167,9.86,B33,0.45911823258948947,0.0
0,fn167,9.86,B35,-0.11607355717176185,0.0
0,fn167,9.86,B53,0.16585487778675861,0.0
0,fn167,9.86,B55,0.01007937293248817,0.0
0,fn167,9.86,F3,0.008422267326066789,-0.6467820696893924
0,fn167,9.86,F5,0.0931870955196068,-0.049840044505731484
0,fn167,8.6966,A33,0.27095178571171713,0.0
0,fn167,8.6966,A35,0.03775465801380323,0.0
0,fn167,8.6966,A53,-0.0064328261596965685,0.0
0,fn167,8.6966,A55,0.016358356391806026,0.0
0,fn167,8.6966,B33,0.41243732303211006,0.0
0,fn167,8.6966,B35,-0.13445604403283173,0.0
0,fn167,8.6966,B53,0.18058627057840163,0.0
0,fn167,8.6966,B55,0.015371111739201098,0.0
0,fn167,8.6966,F3,-0.007998706001448435,-0.673430325580583
0,fn167,8.6966,F5,0.07914388420088593,-0.05553886739128847
0,fn167,7.5978,A33,0.28927774714572224,0.0
0,fn167,7.5978,A35,0.04464397876961426,0.0
0,fn167,7.5978,A53,-0.01112866195923817,0.0
0,fn167,7.5978,A55,0.019535349798464816,0.0
0,fn167,7.5978,B33,0.3545958440032233,0.0
0,fn167,7.5978,B35,-0.15691441785528748,0.0
0,fn167,7.5978,B53,0.19759123160670797,0.0
0,fn167,7.5978,B55,0.02154653925075567,0.0
0,fn167,7.5978,F3,-0.023042653192504755,-0.6908151588344357
0,fn167,7.5978,F5,0.06528778229100102,-0.05934996402895964
0,fn167,6.5604,A33,0.3067945576285895,0.0
0,fn167,6.5604,A35,0.05128608768599772,0.0
0,fn167,6.5604,A53,-0.015599354009101745,0.0
0,fn167,6.5604,A55,0.024945611411304823,0.0
0,fn167,6.5604,B33,0.29142664582357475,0.0
0,fn167,6.5604,B35,-0.18135396647063134,0.0
0,fn167,6.5604,B53,0.21547282977866397,0.0
0,fn167,6.5604,B55,0.028103703502826365,0.0
0,fn167,6.5604,F3,-0.0358243670187611,-0.7005515288685766
0,fn167,6.5604,F5,0.052144649356884974,-0.06158558696159206
0,fn167,5.601,A33,0.322497555042217,0.0
0,fn167,5.601,A35,0.05728123984560787,0.0
0,fn167,5.601,A53,-0.01959635702735484,0.0
0,fn167,5.601,A55,0.033787879545428307,0.0
0,fn167,5.601,B33,0.22947671128067568,0.0
0,fn167,5.601,B35,-0.20532283351182137,0.0
0,fn167,5.601,B53,0.2326203049012523,0.0
0,fn167,5.601,B55,0.03444220967956457,0.0
0,fn167,5.601,F3,-0.04558610492522286,-0.7042284599724972
0,fn167,5.601,F5,0.04031333162706241,-0.06257429982120263
0,fn226,20.646,A33,0.18096349126013406,0.0
0,fn226,20.646,A35,0.002587632035047003,0.0
0,fn226,20.646,A53,0.0018033218450945944,0.0
0,fn226,20.646,A55,0.007641716492682286,0.0
0,fn226,20.646,B33,0.3065206937387807,0.0
0,fn226,20.646,B35,-0.16970885426037285,0.0
0,fn226,20.646,B53,0.16827832717614838,0.0
0,fn226,20.646,B55,-0.0010594081058408922,0.0
0,fn226,20.646,F3,-0.021441339724636597,-0.40830238657955703
0,fn226,20.646,F5,0.09703532649600123,-0.02303673552193284
0,fn226,16.8796,A33,0.19233310317127167,0.0
0,fn226,16.8796,A35,0.005899200226263801,0.0
0,fn226,16.8796,A53,-0.0016055241043986855,0.0
0,fn226,16.8796,A55,0.00842577233198059,0.0
0,fn226,16.8796,B33,0.32284368266035435,0.0
0,fn226,16.8796,B35,-0.16954093927311348,0.0
0,fn226,16.8796,B53,0.17138237898677947,0.0
0,fn226,16.8796,B55,0.0005421134135018039,0.0
0,fn226,16.8796,F3,-0.05091678540328743,-0.504674225008908
0,fn226,16.8796,F5,0.08255256741537133,-0.030071101852359696
0,fn226,13.4712,A33,0.20743118264216964,0.0
