outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,s_nu_left,s_nu_right,k_contribution_linear_exact,s_nu_weak_projected_left,s_nu_weak_projected_right,k_contribution_weak_projected,k_contribution_weak_projection_error,s_nu_endpoint_jump_to_next
0,4.325611584819935,0.4216412931209277,0.0054539592447027,0.00272697962235135,0.0001732010722389166,0.0012180480113634,8.091717318629135e-09,1.6863872698895863e-05,1.6863872698895863e-05,-0.0942195211408076,0.0966556171635328,1.656691120287593e-05,-0.08804401865776808,0.08430461219745375,1.3519455992452169e-05,2.0799672154903892e-07,-0.006998370288965994
1,4.327510868008384,0.4163690649680814,0.0057538952165701,0.00833090685298775,0.0005291282662449273,0.0082206725328557,3.8884511375186276e-07,0.0008103884799339516,0.0008272523526328474,0.0896572468745668,-0.0732159018088562,1.3108627673966753e-05,0.08430461219745375,-0.044949864875270897,1.0238628953332914e-05,1.297161537105747e-06,0.08212761043547881
2,4.329688134724666,0.4108783339814191,0.0060662573008943,0.014240983111719951,0.0009045001746508842,-0.0017274716898505,1.810267291903431e-08,3.7727612025386926e-05,0.0008649799646582345,0.0089117086266226,-0.0123666520063254,2.469869241515011e-07,-0.044949864875270897,0.046812373682495356,4.26190732419864e-06,6.502523800791349e-06,0.1157342367186257
3,4.332395012549804,0.4052735280495061,0.0063913240184956,0.0204697737714149,0.0013001148731137517,0.0607100052129396,2.3556533184819185e-05,0.04909395140899558,0.04995893137365381,0.1033675847123003,0.018052425713579,2.743323143568765e-05,0.046812373682495356,0.06994670090542018,2.206777267922296e-05,6.2988969676119445e-06,0.1010346239905999
4,4.335631866334469,0.3995703231434978,0.0067293722458128,0.027030121903569106,0.0017167880750095317,0.0587420351538634,2.3220551505383646e-05,0.04839373512015937,0.09835266649381318,0.1190870497041789,-0.0016029793964515,3.138893446429561e-05,0.06994670090542018,0.05181713310354352,2.5127461972343035e-05,5.9294727142710536e-06,0.109977100949396
5,4.339367195393555,0.3937659297148923,0.0070806667759252,0.033935141414438104,0.002155352695482174,0.0478025504403132,1.6179917145362682e-05,0.033720414625693446,0.1320730811195066,0.1083741215529445,-0.0127690206723176,2.4839372529321803e-05,0.05181713310354352,0.04550775546799158,1.6790745090643362e-05,7.786176447108924e-06,0.11731367121091979
6,4.343618413239412,0.3878801316083949,0.0074454736847456,0.041198211644773504,0.0026166585084518926,0.0418645713715579,1.3049252392384268e-05,0.02719582537248254,0.15926890649198916,0.1045446505386022,-0.0208155077954868,2.279982568040203e-05,0.04550775546799158,0.04020137849020876,1.3691186574314256e-05,8.949876013790272e-06,0.1223560720521179
7,4.348400676430664,0.3819318306080793,0.0078240425299727,0.04883296975213265,0.0031015716627860513,0.0377299031844131,1.1137881273199034e-05,0.023212354625169445,0.1824812611171586,0.1015405642566311,-0.0260807578878057,2.1757194614282658e-05,0.04020137849020876,0.03664886057316123,1.1560347611329245e-05,1.0040116571874733e-05,0.12521794851912948
8,4.353726311218507,0.375937984185984,0.0082166217542784,0.056853301894258204,0.003610974122321341,0.034966798723846,1.004627454342229e-05,0.02093734720667849,0.20341860832383707,0.0991371906313238,-0.0292035931836314,2.1324516920517666e-05,0.03664886057316123,0.03471658626854205,1.046442563924517e-05,1.0945404191920875e-05,0.1271519460047203
9,4.359606507710531,0.3699144423407593,0.0086234461418865,0.06527333584234066,0.004145763196703379,0.0340649904285008,1.0006850182625628e-05,0.02085518326353386,0.22427379158737096,0.0979483528210889,-0.0298183719640876,2.1737852847060753e-05,0.03471658626854205,0.03437621516875033,1.0291767843637724e-05,1.1670581570380073e-05,0.1269592212205048
