case,transfers,changed,near_equal_skipped,inner_extrapolated,outer_extrapolated,max_extrapolation_m,replay_max_abs,affine_max_abs,affine_interior_max_abs
free_surface_fn167,84,29,0,0,58,0.00011694397759365316,0.0,0.0002614946834586208,4.440892098500626e-16
free_surface_fn226,84,31,0,0,62,0.00010885138551630646,0.0,0.0002433990974594973,4.440892098500626e-16
free_surface_fn282,84,35,0,0,70,9.637963676056849e-05,0.0,0.00021551141944336878,4.440892098500626e-16
