component,sigma,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,response_calibration_used
bem,1.4,0.02883628132428494,0.49629628132428494,1.5606801299505815,False
front,1.4,0.5274055652634213,0.9948655652634213,3.1285080668661047,False
longitudinal_bin_aft_post_chine,1.4,-0.3465183396842351,0.12094166031576487,0.3803196865275625,False
longitudinal_bin_forward_post_chine,1.4,0.11980290927542443,0.5872629092754245,1.8467387084132845,False
longitudinal_bin_middle_post_chine,1.4,-0.1112773302683988,0.3561826697316012,1.1200712884641546,False
longitudinal_bin_pre_chine,1.4,0.32413586408707534,0.7915958640870753,2.4892951700851422,False
post_chine_bem,1.4,-0.06827040804096653,0.3991895919590335,1.2553131822611114,False
pre_chine_bem,1.4,0.32413586408707534,0.7915958640870753,2.4892951700851422,False
raw_bem,1.4,0.02883628132428494,0.49629628132428494,1.5606801299505815,False
resolved_station_bem,1.4,0.04397462601959617,0.5114346260195961,1.6082849874830065,False
total,1.4,0.15437768815487418,0.6218376881548742,1.9554644281599816,False
transom,1.4,nan,nan,nan,False
transom_extrapolation,1.4,-0.43788699965698863,0.029573000343011357,0.09299685642456401,False
