source_directory,component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,restoring_matrices_sha256,target_identifier,beam_m,deadrise_deg,trim_deg,fn_b,mean_wetted_length_over_b,lcg_from_transom_m,rho_water_kg_m3,gravity_m_s2,matrix_coordinate_contract,response_calibration_used
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,0.85,4.720257636410119,A33,25.881005460991584,0.8048218981226979,0.015852578090297314,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,0.85,4.720257636410119,A35,5.900795858928248,0.5770349392491627,0.03976560404476467,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,0.85,4.720257636410119,A53,-2.3431042322158793,-0.2291306190918994,0.01932203898471912,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,0.85,4.720257636410119,A55,-5.219622263839766,-1.6051051012048956,0.0435216911415772,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,0.85,4.720257636410119,B33,394.6891746637595,2.210177112189348,0.015852578090297314,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,0.85,4.720257636410119,B35,-226.61270614617047,-3.9905154749581753,0.03976560404476467,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,0.85,4.720257636410119,B53,44.18747596219666,0.7781152682266221,0.01932203898471912,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,0.85,4.720257636410119,B55,57.93696674228324,3.208288218703005,0.0435216911415772,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,1.13,6.275166034286394,A33,28.00392407453808,0.8708383205020251,0.0151839824223201,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,1.13,6.275166034286394,A35,2.3511504598825175,0.2299174543940864,0.03511702282901104,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,1.13,6.275166034286394,A53,-2.3197502264287855,-0.22684684625298818,0.019545320967229846,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,1.13,6.275166034286394,A55,-2.068443686118102,-0.636074670602858,0.04021660543372613,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,1.13,6.275166034286394,B33,392.3082117354059,2.196844216059877,0.0151839824223201,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,1.13,6.275166034286394,B35,-225.2075344339998,-3.965771233747033,0.03511702282901104,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,1.13,6.275166034286394,B53,43.47730300722301,0.765609543305394,0.019545320967229846,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma113_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,total,1.13,6.275166034286394,B55,57.972915604578624,3.2102789047513633,0.04021660543372613,external:sun2007_fig7_4_troesch_restoring/restoring_matrices.csv,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
