coefficient,sigma,reference_minus_computed_added_mass,equivalent_restoring_offset_nondimensional,interpretation,used_for_acceptance
A33,0.85,0.13927748087730207,0.10062797993385074,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A33,1.13,0.12295049949797487,0.15699549280896408,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A33,1.4,0.10705039792875481,0.2098187799403594,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A33,1.7,0.105578910328198,0.30512305084849217,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A33,1.95,0.10877063109549012,0.41360032474060116,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A35,0.85,1.3794868007508372,0.9966792135424798,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A35,1.13,0.8352999356059135,1.0665944877751907,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A35,1.4,0.5557042638013197,1.0891803570505865,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A35,1.7,0.4162570574191159,1.2029828959412447,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A35,1.95,0.3367682594277291,1.2805613064739398,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A53,0.85,0.0738511160918994,0.05335743137639731,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A53,1.13,0.037405852252988175,0.04776353274184059,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A53,1.4,0.01978895795801172,0.03878635759770297,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A53,1.7,0.008720079097756156,0.025201028592515287,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A53,1.95,0.002693612366142295,0.010242461022256077,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A55,0.85,2.2541734242048954,1.6286402989880369,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A55,1.13,1.2602982726028582,1.6092748642865893,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A55,1.4,0.8086606577674031,1.58497488922411,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A55,1.7,0.5334847781207622,1.5417710087690026,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
A55,1.95,0.40650685347037074,1.5457423103210846,A frequency-independent value across sigma is the 1/omega^2 signature of a restoring-coefficient mismatch.,False
