frequency_index,status,heave_amplitude_relative_error,pitch_amplitude_relative_error,heave_phase_circular_error_deg,pitch_phase_circular_error_deg,point_acceleration_kinematic_relative_residual
0,PASS,4.250203979563898e-16,3.176336015285767e-15,1.4210854715202004e-13,8.526512829121202e-14,0.0
1,PASS,2.1153750817747065e-16,1.2071351596916349e-15,1.4210854715202004e-13,1.1368683772161603e-13,0.0
2,PASS,3.310190952038127e-15,4.520534299681043e-15,8.526512829121202e-14,1.7053025658242404e-13,0.0
3,PASS,1.9974295780447337e-14,1.685669288463923e-14,6.252776074688882e-13,2.2737367544323206e-13,0.0
4,PASS,1.2766814083905753e-14,1.0559917144208012e-14,3.581135388230905e-12,3.353761712787673e-12,0.0
5,PASS,2.5311937840081653e-14,2.7987306534375215e-14,7.02016222930979e-12,6.991740519879386e-12,0.0
6,PASS,7.111806945002669e-14,1.0134121436821856e-13,8.526512829121202e-13,8.526512829121202e-14,0.0
7,PASS,2.718709171809877e-13,4.3022545432302175e-13,6.252776074688882e-12,9.29389898374211e-12,0.0
