stage,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number,dipole_coefficient
source,640,0.0010185405977615168,-0.00024469884982071473,0.00024469884982071473,429260.77199892496,7.646265905857145
candidate_factor_1,640,0.00102234193173519,-0.0006867580409086055,0.0006867580409086055,429263.9386123032,7.645905701312121
candidate_factor_0.75,640,0.001019788977556958,-0.0007438126866087087,0.0007438126866087087,429264.2511458826,7.645916209753243
candidate_factor_0.5,640,0.001017899645121113,-0.0008009365196921459,0.0008009365196921459,429264.56169140124,7.645926687607169
candidate_factor_0.375,640,0.0010172038306982434,-0.0008295243916355933,0.0008295243916355933,429264.7162507486,7.645931914111518
candidate_factor_0.25,640,0.0010166739140344825,-0.0008581295803240702,0.0008581295803240702,429264.8702997916,7.645937133936574
