x_m,side,body_trace_real,body_trace_imag,free_trace_real,free_trace_imag,gap_over_incident_potential,nearest_body_distance_m,nearest_free_distance_m
2.999997,-1,1.1749904705510477e-12,9.021063808396819e-13,0.0,0.0,5.76198811090655e-13,0.0029296875000288038,0.001874640000599991
2.999997,1,1.1749904705509262e-12,9.021063808400603e-13,0.0,0.0,5.761988110907072e-13,0.0029296875000287934,0.001874640000599991
2.995309509375,-1,-6.150379441893462e-07,-4.885061422790275e-07,-8.939137910839772e-07,-7.10013657706155e-07,1.385281805620282e-07,0.002929757517673696,0.0013136060053595183
2.995309509375,1,-6.150379442603621e-07,-4.885061422946957e-07,-8.939137910898544e-07,-7.10013657707365e-07,1.3852818053869045e-07,0.0029297575176736664,0.0013136060053595183
2.9906220187500003,-1,-3.16982997110207e-06,-2.500305900873169e-06,-5.144389200422382e-06,-4.129800646296276e-06,9.95800575351552e-07,0.0029299659198235043,0.0007554907126558238
2.9906220187500003,1,-3.1698299711245156e-06,-2.500305900875565e-06,-5.144389200443137e-06,-4.129800646300618e-06,9.958005753515266e-07,0.0029299659198235867,0.0007554907126558238
2.985934528125,-1,-1.0517641446128948e-05,-8.287470220812874e-06,-1.588842410662393e-05,-1.2939450218854825e-05,2.7637646161015407e-06,0.0029303104923081532,0.0002002831877466649
2.985934528125,1,-1.0517641446168528e-05,-8.287470220817257e-06,-1.5888424106658925e-05,-1.2939450218862096e-05,2.7637646161009287e-06,0.002930310492307707,0.0002002831877466649
2.9812470375,-1,-3.203143932000654e-05,-2.600576437481678e-05,-3.9612922453345256e-05,-3.2734642653822596e-05,3.942935366325537e-06,0.0029307890126579446,0.0015229725302218881
2.9812470375,1,-3.203143932002395e-05,-2.600576437481981e-05,-3.961292245339291e-05,-3.273464265383462e-05,3.94293536633666e-06,0.002930789012657992,0.0015229725302218881
2.9765595468750004,-1,-7.11511931910206e-05,-5.916740162814633e-05,-7.352987418566561e-05,-6.171481539754221e-05,1.355679381197193e-06,0.0029313992528778115,0.0009735478740032699
2.9765595468750004,1,-7.11511931910751e-05,-5.9167401628166005e-05,-7.352987418572138e-05,-6.171481539755611e-05,1.3556793811958917e-06,0.0029313992528778635,0.0009735478740032699
2.97187205625,-1,-0.00012396318662139867,-0.00010479379745707322,-0.00012035883712342643,-0.00010266994534150988,1.6272694722383403e-06,0.0029321389821217623,0.00042699838734445213
2.97187205625,1,-0.0001239631866214574,-0.00010479379745708984,-0.0001203588371234861,-0.00010266994534152498,1.6272694722383268e-06,0.0029321389821217844,0.00042699838734445213
2.967184565625,-1,-0.00018888851242066887,-0.00016224951904338095,-0.0002004454212271351,-0.00017391860810398685,6.388208109903735e-06,0.0029330059692806,0.0017583132728313305
2.967184565625,1,-0.00018888851242074831,-0.00016224951904337767,-0.00020044542122720055,-0.0001739186081040036,6.388208109905442e-06,0.0029330059692805233,0.0017583132728313305
2.9624970750000004,-1,-0.0002935560119290746,-0.00025726517821361803,-0.0002891161663702348,-0.00025494769944113874,1.9480665763271312e-06,0.0029339979854678265,0.0012174817673816299
2.9624970750000004,1,-0.00029355601192913096,-0.0002572651782136391,-0.0002891161663703028,-0.000254947699441162,1.9480665763227406e-06,0.002933997985467772,0.0012174817673816299
2.957809584375,-1,-0.00041995322853207503,-0.00037469494779589446,-0.0003930862183659309,-0.00035240585177198446,1.3578516591281787e-05,0.0029351128064051507,0.000679493142245087
2.957809584375,1,-0.00041995322853211325,-0.00037469494779593165,-0.00039308621836600096,-0.0003524058517720151,1.357851659127389e-05,0.0029351128064046867,0.000679493142245087
2.9531220937500002,-1,-0.0005638694547271091,-0.0005103632415158243,-0.0005018689712572365,-0.0004579607738446076,3.1576202777750826e-05,0.002936348214700069,0.00014433670300358255
2.9531220937500002,1,-0.0005638694547271338,-0.0005103632415158843,-0.0005018689712573074,-0.0004579607738446335,3.1576202777745676e-05,0.0029363482146997685,0.00014433670300358255
2.9484346031250004,-1,-0.0007352585774888977,-0.0006779753521283921,-0.0007260712317693544,-0.0006729827018255597,4.067166795217625e-06,0.0029377020020222326,0.0014870017895707733
2.9484346031250004,1,-0.0007352585774889701,-0.0006779753521283939,-0.0007260712317694402,-0.0006729827018256069,4.067166795204593e-06,0.0029377020020222794,0.0014870017895707733
2.9437471125,-1,-0.0009616677439912675,-0.0009031583253681509,-0.0009074053656512553,-0.0008551015016476603,2.819382630553747e-05,0.002939171971168045,0.0009574777761924402
2.9437471125,1,-0.0009616677439913397,-0.0009031583253681827,-0.0009074053656513342,-0.0008551015016477079,2.8193826305531457e-05,0.0029391719711681632,0.0009574777761924402
2.9390596218750002,-1,-0.001206932626839953,-0.0011522797977545694,-0.0010917105285297081,-0.00104652496090872,6.0833774418915834e-05,0.0029407559380179903,0.00043075407144642884
2.9390596218750002,1,-0.0012069326268400358,-0.001152279797754633,-0.0010917105285297767,-0.001046524960908764,6.0833774418925056e-05,0.0029407559380180775,0.00043075407144642884
2.9343721312500004,-1,-0.0014361695489734727,-0.0013933001590000894,-0.0014370658389051107,-0.0014007283035091347,2.9102723860477522e-06,0.0029424517333876492,0.0017818201182425164
2.9343721312500004,1,-0.001436169548973511,-0.0013933001590001209,-0.0014370658389051833,-0.0014007283035091715,2.910272386051452e-06,0.0029424517333878153,0.0017818201182425164
2.929684640625,-1,-0.001787247114322162,-0.0017658526834444012,-0.001713653736504187,-0.0016984264930440082,3.882342979984581e-05,0.0029442572047719312,0.0012606653938223578
2.929684640625,1,-0.0017872471143222245,-0.0017658526834444528,-0.001713653736504263,-0.001698426493044054,3.882342979984343e-05,0.0029442572047719165,0.0012606653938223578
2.9249971500000003,-1,-0.002154237577997878,-0.0021664546101673905,-0.0019838302164940876,-0.002000177068815295,9.26095811959121e-05,0.002946170217982019,0.000742279409759853
2.9249971500000003,1,-0.0021542375779979015,-0.0021664546101673823,-0.0019838302164941644,-0.0020001770688153463,9.26095811958811e-05,0.002946170217981779,0.000742279409759853
2.9203096593750004,-1,-0.0025441384099657463,-0.0025995452109929358,-0.002218673521089399,-0.0022773329776173638,0.00017814089984730867,0.0029481886586802722,0.00022665171196073475
2.9203096593750004,1,-0.00254413840996575,-0.0025995452109929475,-0.0022186735210894724,-0.0022773329776174115,0.00017814089984727964,0.00294818865868005,0.00022665171196073475
2.91562216875,-1,-0.0029183831546539594,-0.0030339541295865097,-0.002863812149459834,-0.0029863854437959434,2.815868320138505e-05,0.0029503104338134576,0.0015887718806627295
2.91562216875,1,-0.0029183831546540505,-0.0030339541295866597,-0.002863812149459929,-0.0029863854437960106,2.8158683201405077e-05,0.002950310433813411,0.0015887718806627295
2.9109346781250003,-1,-0.0034373095362168916,-0.0036386746141524383,-0.003247431231775933,-0.0034444588637356373,0.0001056488765448367,0.002952533472946191,0.0010786295304357554
2.9109346781250003,1,-0.0034373095362170395,-0.00363867461415253,-0.003247431231776029,-0.003444458863735708,0.00010564887654485663,0.002952533472946231,0.0010786295304357554
2.9062471875000004,-1,-0.003953512803003046,-0.004258562509720706,-0.0035843039115862,-0.0038693731377423537,0.00020866403737275082,0.0029548557294977445,0.0005712143101814608
2.9062471875000004,1,-0.003953512803003212,-0.004258562509720725,-0.003584303911586288,-0.0038693731377424222,0.00020866403737275765,0.002954855729497832,0.0005712143101814608
