scope,metric,eligible_point_count,median_relative_error,nrmse,median_limit,nrmse_limit,status
fn167,heave_motion,7,0.4488983140036275,0.403495890840964,0.15,0.2,FAIL
fn167,pitch_motion,7,0.5267185464884353,0.7033262750309508,0.15,0.2,FAIL
fn226,heave_motion,7,0.08899322538526179,0.09813642725658842,0.15,0.2,PASS
fn226,pitch_motion,7,0.21311206981293676,0.18911754391876945,0.15,0.2,FAIL
fn282,heave_motion,7,0.09535887111765326,0.10043396324814872,0.15,0.2,PASS
fn282,pitch_motion,7,0.05266802966584967,0.10414483190632007,0.15,0.2,PASS
