case,component,mode,masked_real,masked_imag,clipped_real,clipped_imag,complex_relative_difference
fn167,diffraction,F3,-881.7181557046865,-1134.7130890063847,-856.2779652956956,-1132.5427722616514,0.017983088302442652
fn167,diffraction,M5,89.50147148254054,-438.1605950908713,79.5389180511831,-439.2334389374263,0.022447734197117705
fn167,incident,F3,960.2725222200803,-4263.49530223591,1003.9901665633911,-4195.517731631553,0.018734914140542666
fn167,incident,M5,1150.0524362297635,-391.98962733939476,1133.55607625238,-419.4016375763362,0.026469867408319466
fn167,total,F3,78.55436651539378,-5398.208391242295,147.71220126769543,-5328.0605038932035,0.018481147999836647
fn167,total,M5,1239.553907712304,-830.1502224302661,1213.0949943035635,-858.6350765137624,0.02615863043903257
fn226,diffraction,F3,-961.08809277392,-1036.1770102778637,-909.6564620206385,-1040.0094569375046,0.037326645270987203
fn226,diffraction,M5,14.18680015968251,-306.40805703905596,-9.883605729933334,-304.6384584983376,0.07918459903854161
fn226,incident,F3,280.3200516890492,-3953.8962161215222,385.2255939197571,-3823.6630853834213,0.04351523825054857
fn226,incident,M5,724.5144215101585,-120.42905816881148,675.4755005967351,-181.41938203532897,0.11189371900902337
fn226,total,F3,-680.7680410848708,-4990.073226399386,-524.4308681008814,-4863.6725423209255,0.04109749761526475
fn226,total,M5,738.7012216698411,-426.83711520786744,665.5918948668018,-486.05784053366654,0.11415707088954816
fn282,diffraction,F3,-925.1083805732713,-967.5996206758642,-981.8713329586024,-969.0178257224,0.04115981948113898
fn282,diffraction,M5,-78.3198436733018,-176.35851967823763,-50.557725972439414,-175.66299740980946,0.15192434965088142
fn282,incident,F3,135.2829672996094,-3285.294122840349,10.983418212668596,-3430.280575151248,0.05567300204395363
fn282,incident,M5,400.2919587521358,-61.726122112293226,461.08263444100703,9.188919448056723,0.20253683600600003
fn282,total,F3,-789.825413273662,-4252.893743516213,-970.8879147459337,-4399.298400873648,0.05168464288299262
fn282,total,M5,321.972115078834,-238.08464179053075,410.5249084685677,-166.47407796175264,0.25707859479651796
