stations,slope_real,slope_imag,clipped_error,masked_error,passed
15,0.0,0.0,0.0,0.0452005169737458,True
15,2.0,3.0,8.881784197001252e-16,0.039246540850481064,True
29,0.0,0.0,0.0,0.026273798735622366,True
29,2.0,3.0,9.155133597044475e-16,0.02350060953841169,True
57,0.0,0.0,0.0,0.009463359119061472,True
57,2.0,3.0,2.220446049250313e-16,0.00828105283156212,True
