omega_e_rad_s,matrix,row,column,value
6.575571103388235,raw_added_mass,heave,heave,57.403819593122805
6.575571103388235,raw_added_mass,heave,pitch,-10.619685679285437
6.575571103388235,raw_added_mass,pitch,heave,-18.686616237988535
6.575571103388235,raw_added_mass,pitch,pitch,33.50400746222521
6.575571103388235,raw_radiation_damping,heave,heave,30.956306580846398
6.575571103388235,raw_radiation_damping,heave,pitch,-264.07193698642135
6.575571103388235,raw_radiation_damping,pitch,heave,249.95903327262084
6.575571103388235,raw_radiation_damping,pitch,pitch,23.11370357548717
6.575571103388235,delta_added_mass,heave,heave,6.390174963857177
6.575571103388235,delta_added_mass,heave,pitch,3.0009375908130647
6.575571103388235,delta_added_mass,pitch,heave,-5.127402323166814
6.575571103388235,delta_added_mass,pitch,pitch,25.797574860497065
6.575571103388235,delta_radiation_damping,heave,heave,8.496678793964929
6.575571103388235,delta_radiation_damping,heave,pitch,-13.020868622141734
6.575571103388235,delta_radiation_damping,pitch,heave,19.84650082148309
6.575571103388235,delta_radiation_damping,pitch,pitch,15.293074011445864
7.957739901990668,raw_added_mass,heave,heave,56.719904451531626
7.957739901990668,raw_added_mass,heave,pitch,-11.071950779649315
7.957739901990668,raw_added_mass,pitch,heave,-18.212477938682994
7.957739901990668,raw_added_mass,pitch,pitch,24.62056411253492
7.957739901990668,raw_radiation_damping,heave,heave,40.724343380164335
7.957739901990668,raw_radiation_damping,heave,pitch,-260.1128214921528
7.957739901990668,raw_radiation_damping,pitch,heave,242.65005171225124
7.957739901990668,raw_radiation_damping,pitch,pitch,20.23454065895029
7.957739901990668,delta_added_mass,heave,heave,5.706259822265999
7.957739901990668,delta_added_mass,heave,pitch,2.548672490449187
7.957739901990668,delta_added_mass,pitch,heave,-4.653264023861274
7.957739901990668,delta_added_mass,pitch,pitch,16.914131510806776
7.957739901990668,delta_radiation_damping,heave,heave,18.264715593282865
7.957739901990668,delta_radiation_damping,heave,pitch,-9.061753127873203
7.957739901990668,delta_radiation_damping,pitch,heave,12.537519261113488
7.957739901990668,delta_radiation_damping,pitch,pitch,12.413911094908986
9.63043716691076,raw_added_mass,heave,heave,55.81182736231472
9.63043716691076,raw_added_mass,heave,pitch,-11.556487077328864
9.63043716691076,raw_added_mass,pitch,heave,-17.580053966753045
9.63043716691076,raw_added_mass,pitch,pitch,18.676850849618713
9.63043716691076,raw_radiation_damping,heave,heave,52.82664843621632
9.63043716691076,raw_radiation_damping,heave,pitch,-255.2299683346753
9.63043716691076,raw_radiation_damping,pitch,heave,233.43165030712237
9.63043716691076,raw_radiation_damping,pitch,pitch,16.63262784719602
9.63043716691076,delta_added_mass,heave,heave,4.798182733049096
9.63043716691076,delta_added_mass,heave,pitch,2.064136192769638
9.63043716691076,delta_added_mass,pitch,heave,-4.020840051931325
9.63043716691076,delta_added_mass,pitch,pitch,10.970418247890565
9.63043716691076,delta_radiation_damping,heave,heave,30.367020649334847
9.63043716691076,delta_radiation_damping,heave,pitch,-4.17889997039569
9.63043716691076,delta_radiation_damping,pitch,heave,3.319117855984615
9.63043716691076,delta_radiation_damping,pitch,pitch,8.811998283154715
11.654731263912689,raw_added_mass,heave,heave,54.66381020357834
11.654731263912689,raw_added_mass,heave,pitch,-12.094095348003854
11.654731263912689,raw_added_mass,pitch,heave,-16.774540818983585
11.654731263912689,raw_added_mass,pitch,pitch,14.763423438497819
11.654731263912689,raw_radiation_damping,heave,heave,66.41617616993214
11.654731263912689,raw_radiation_damping,heave,pitch,-249.7790864105028
11.654731263912689,raw_radiation_damping,pitch,heave,222.7298195236647
11.654731263912689,raw_radiation_damping,pitch,pitch,12.503424133849322
11.654731263912689,delta_added_mass,heave,heave,3.650165574312716
11.654731263912689,delta_added_mass,heave,pitch,1.5265279220946475
11.654731263912689,delta_added_mass,pitch,heave,-3.2153269041618646
11.654731263912689,delta_added_mass,pitch,pitch,7.056990836769671
11.654731263912689,delta_radiation_damping,heave,heave,43.956548383050674
11.654731263912689,delta_radiation_damping,heave,pitch,1.271981953776816
11.654731263912689,delta_radiation_damping,pitch,heave,-7.382712927473051
11.654731263912689,delta_radiation_damping,pitch,pitch,4.682794569808017
14.104526978352752,raw_added_mass,heave,heave,53.31959277173981
14.104526978352752,raw_added_mass,heave,pitch,-12.673823265694288
14.104526978352752,raw_added_mass,pitch,heave,-15.819091460343078
14.104526978352752,raw_added_mass,pitch,pitch,12.243629105935918
14.104526978352752,raw_radiation_damping,heave,heave,79.07819776908295
14.104526978352752,raw_radiation_damping,heave,pitch,-244.72315826853264
14.104526978352752,raw_radiation_damping,pitch,heave,211.98909001018774
14.104526978352752,raw_radiation_damping,pitch,pitch,8.44133601113502
14.104526978352752,delta_added_mass,heave,heave,2.305948142474186
14.104526978352752,delta_added_mass,heave,pitch,0.9468000044042135
14.104526978352752,delta_added_mass,pitch,heave,-2.2598775455213573
14.104526978352752,delta_added_mass,pitch,pitch,4.53719650420777
14.104526978352752,delta_radiation_damping,heave,heave,56.61856998220148
14.104526978352752,delta_radiation_damping,heave,pitch,6.327910095746972
14.104526978352752,delta_radiation_damping,pitch,heave,-18.123442440950015
14.104526978352752,delta_radiation_damping,pitch,pitch,0.6207064470937151
17.069263698860603,raw_added_mass,heave,heave,51.93131446536955
17.069263698860603,raw_added_mass,heave,pitch,-13.23582777929858
17.069263698860603,raw_added_mass,pitch,heave,-14.807573531964866
17.069263698860603,raw_added_mass,pitch,pitch,10.649020530730924
17.069263698860603,raw_radiation_damping,heave,heave,86.28936287369551
17.069263698860603,raw_radiation_damping,heave,pitch,-241.76333020531976
17.069263698860603,raw_radiation_damping,pitch,heave,204.07168099155228
17.069263698860603,raw_radiation_damping,pitch,pitch,5.543506454409994
17.069263698860603,delta_added_mass,heave,heave,0.9176698361039257
17.069263698860603,delta_added_mass,heave,pitch,0.38479549079992204
17.069263698860603,delta_added_mass,pitch,heave,-1.2483596171431461
17.069263698860603,delta_added_mass,pitch,pitch,2.9425879290027765
17.069263698860603,delta_radiation_damping,heave,heave,63.82973508681404
17.069263698860603,delta_radiation_damping,heave,pitch,9.287738158959854
17.069263698860603,delta_radiation_damping,pitch,heave,-26.04085145958547
17.069263698860603,delta_radiation_damping,pitch,pitch,-2.2771231096313107
20.657180752563452,raw_added_mass,heave,heave,50.78794875491428
20.657180752563452,raw_added_mass,heave,pitch,-13.66627119660849
20.657180752563452,raw_added_mass,pitch,heave,-13.92538748717517
20.657180752563452,raw_added_mass,pitch,pitch,9.61157878357722
20.657180752563452,raw_radiation_damping,heave,heave,82.2957562014784
20.657180752563452,raw_radiation_damping,heave,pitch,-242.7862215944143
20.657180752563452,raw_radiation_damping,pitch,heave,202.77568168142716
20.657180752563452,raw_radiation_damping,pitch,pitch,5.083038308734992
20.657180752563452,delta_added_mass,heave,heave,-0.22569587435134508
20.657180752563452,delta_added_mass,heave,pitch,-0.04564792650998761
20.657180752563452,delta_added_mass,pitch,heave,-0.3661735723534498
20.657180752563452,delta_added_mass,pitch,pitch,1.905146181849073
20.657180752563452,delta_radiation_damping,heave,heave,59.83612841459693
20.657180752563452,delta_radiation_damping,heave,pitch,8.26484676986533
20.657180752563452,delta_radiation_damping,pitch,heave,-27.336850769710594
20.657180752563452,delta_radiation_damping,pitch,pitch,-2.737591255306312
37.18292535461421,raw_added_mass,heave,heave,51.01364462926563
37.18292535461421,raw_added_mass,heave,pitch,-13.620623270098502
37.18292535461421,raw_added_mass,pitch,heave,-13.55921391482172
37.18292535461421,raw_added_mass,pitch,pitch,7.706432601728148
37.18292535461421,raw_radiation_damping,heave,heave,22.45962778688147
37.18292535461421,raw_radiation_damping,heave,pitch,-251.05106836427962
37.18292535461421,raw_radiation_damping,pitch,heave,230.11253245113775
37.18292535461421,raw_radiation_damping,pitch,pitch,7.820629564041305
37.18292535461421,delta_added_mass,heave,heave,0.0
37.18292535461421,delta_added_mass,heave,pitch,0.0
37.18292535461421,delta_added_mass,pitch,heave,0.0
37.18292535461421,delta_added_mass,pitch,pitch,0.0
37.18292535461421,delta_radiation_damping,heave,heave,0.0
37.18292535461421,delta_radiation_damping,heave,pitch,0.0
37.18292535461421,delta_radiation_damping,pitch,heave,0.0
37.18292535461421,delta_radiation_damping,pitch,pitch,0.0
