case,matrix_max_abs_change,froude_krylov_expected_change_residual,diffraction_expected_change_residual,controlled_sign_change_confirmed
fn167,5.684341886080802e-14,0.0,1.4343841835192968e-16,True
fn226,5.684341886080802e-14,0.0,9.54999637062518e-17,True
fn282,1.887379141862766e-15,0.0,6.662165746049294e-17,True
