omega_e_rad_s,F3_real,F3_imag,M5_real,M5_imag
5.601,-906.9588060657081,-693.1224863349603,-94.71640179211715,-244.7983999618765
6.422178120757196,-930.141843974585,-822.3696843332419,-61.56499673612067,-300.08830807827366
7.36375143987367,-929.2746580675458,-962.2110949022481,-9.023619839477092,-361.3751644351723
8.443371430789322,-894.6567696916303,-1104.7923039465754,68.79986275684188,-424.81189820712
9.681277498347002,-815.7269598047349,-1235.793498139829,177.53937401982475,-482.9656731151181
11.10067640258223,-683.3653321040946,-1331.9595084327366,320.39795023592535,-523.4581664092665
12.728177310885437,-494.5281405897234,-1359.3487124938952,494.10914410293975,-528.2362469490702
14.59429063436647,-259.9056294777853,-1274.62715024058,682.6362969421361,-475.12325163884964
16.733999999999998,-13.78603443610718,-1033.669600638368,849.6012309491753,-344.54977776387227
30.121199999999998,-322.0441770170074,945.196755150128,12.173970090447654,232.05934184417544
