x_m,beam_m,draft_m,deadrise_deg,waterplane_beam_override_m,submerged_area_override_m2,centroid_z_override_m,offset_points_m
1.7902623815836317e-05,0.424,0.06360304809710841,16.7,0.424,0.013483846196586984,0.02120101603236947,
0.1278912295049587,0.424,0.06360304809710841,16.7,0.424,0.013483846196586984,0.02120101603236947,
0.25576455638610157,0.424,0.06360304809710841,16.7,0.424,0.013483846196586984,0.02120101603236947,
0.38363788326724446,0.424,0.06360304809710841,16.7,0.424,0.013483846196586984,0.02120101603236947,
0.5115112101483873,0.424,0.06360304809710841,16.7,0.424,0.013483846196586984,0.02120101603236947,
0.6393845370295301,0.424,0.06360304809710841,16.7,0.424,0.013483846196586984,0.02120101603236947,
0.7672578639106731,0.424,0.06360304809710841,16.7,0.424,0.013483846196586984,0.02120101603236947,
0.8951311907918159,0.424,0.06360304809710841,16.7,0.424,0.013483846196586984,0.02120101603236947,
1.0230045176729587,0.424,0.06360304809710841,16.7,0.424,0.013483846196586984,0.02120101603236947,
1.1508778445541017,0.424,0.06360304809710841,16.7,0.424,0.013483846196586984,0.02120101603236947,
1.2787511714352444,0.3611520563432762,0.054175404740497646,16.7,0.3611520563432762,0.009782779412629998,0.01805846824683255,
1.4066244983163874,0.27086720229054956,0.040632027583054287,16.7,0.27086720229054956,0.0055029418174071774,0.013544009194351428,
1.5344978251975303,0.18058234823782296,0.027088650425610927,16.7,0.18058234823782296,0.002445866052225162,0.00902955014187031,
1.662371152078673,0.09029749418509649,0.013545273268167592,16.7,0.09029749418509649,0.000611552117083953,0.004515091089389197,
1.7902444789598158,0.00011934510569878954,1.7902623815836317e-05,16.7,0.00011934510569878954,1.0682952657933262e-09,5.967541271945439e-06,
