frequency_index,status,heave_amplitude_relative_error,pitch_amplitude_relative_error,heave_phase_circular_error_deg,pitch_phase_circular_error_deg,point_acceleration_kinematic_relative_residual
0,PASS,1.6407285596473e-15,9.141691437382777e-16,1.1368683772161603e-13,1.1368683772161603e-13,0.0
1,PASS,4.499336246019405e-16,3.2604052942550364e-16,5.684341886080802e-14,8.526512829121202e-14,0.0
2,PASS,1.344754373396695e-15,1.7038222194740626e-15,2.8421709430404007e-13,5.684341886080802e-14,0.0
3,PASS,2.0324688352961723e-14,1.7275588619820287e-14,5.115907697472721e-13,6.821210263296962e-13,0.0
4,PASS,2.2970439540151574e-14,8.657743785769016e-15,3.666400516522117e-12,3.979039320256561e-12,0.0
5,PASS,2.574491809136204e-15,1.953963460386949e-14,5.8264504332328215e-12,4.916955731459893e-12,0.0
6,PASS,8.531767221569211e-14,8.50451519563271e-14,4.547473508864641e-12,3.865352482534945e-12,0.0
7,PASS,3.01423398509628e-13,2.8462669511574156e-13,1.1368683772161603e-13,3.353761712787673e-12,0.0
