iteration,residual_mode,shape_mode,value,finite_difference_step,root_defect_derivative,source_signed_root_defect,jacobian_condition_number
1,0,0,-0.1593461656530413,0.00015272032146288535,0.09028023567335249,-0.0029174397659835418,216.98357354009318
1,0,1,-0.5413180135377722,4.57404814318627e-05,0.25802665852179346,-0.0029174397659835418,216.98357354009318
1,0,2,-0.7206889462553419,3.5903663228426285e-05,0.18746576338942372,-0.0029174397659835418,216.98357354009318
1,0,3,-0.8442640076758322,3.320592856438795e-05,-0.07333635088394314,-0.0029174397659835418,216.98357354009318
1,0,4,-8.06606801817056,1.0242787176725436e-05,-13.735291956080179,-0.0029174397659835418,216.98357354009318
1,0,5,10.066757445257124,1.7643805069867773e-05,21.0722711936961,-0.0029174397659835418,216.98357354009318
1,0,6,-9.123222174955991,2.616864298292468e-05,-17.387237216696573,-0.0029174397659835418,216.98357354009318
1,0,7,5.4822149057783545,3.096929721243569e-05,10.758781186005898,-0.0029174397659835418,216.98357354009318
1,0,8,-5.488251032122342,3.774636663171248e-05,-10.25602129708342,-0.0029174397659835418,216.98357354009318
1,0,9,1.986569850184004,4.206106105433045e-05,4.053746340328298,-0.0029174397659835418,216.98357354009318
1,0,10,-3.831245948016611,5.4189730982666764e-05,-7.020830665264258,-0.0029174397659835418,216.98357354009318
1,0,11,-0.2528940543825629,5.812776206424033e-05,-0.152759202883968,-0.0029174397659835418,216.98357354009318
1,0,12,-3.319745175837667,6.650595493507385e-05,-5.948702362117649,-0.0029174397659835418,216.98357354009318
1,0,13,-1.544740909449034,7.453647107349947e-05,-2.538544523220984,-0.0029174397659835418,216.98357354009318
1,0,14,-3.3246988841770575,7.36365809370759e-05,-5.859412151622655,-0.0029174397659835418,216.98357354009318
1,0,15,-2.541408465603388,7.637958030133451e-05,-4.335558796683557,-0.0029174397659835418,216.98357354009318
1,0,16,-3.0497618361729204,8.740422636725634e-05,-5.334846476369006,-0.0029174397659835418,216.98357354009318
1,0,17,-3.2650892572237953,6.696879563511964e-05,-5.616762109594495,-0.0029174397659835418,216.98357354009318
1,0,18,-3.1244970390418842,8.100992173305227e-05,-5.4269230766371646,-0.0029174397659835418,216.98357354009318
1,0,19,-2.8758956877354764,7.741585905758981e-05,-4.946999424876869,-0.0029174397659835418,216.98357354009318
1,0,20,-2.726027043399558,8.972522558145527e-05,-4.717333125278974,-0.0029174397659835418,216.98357354009318
1,0,21,-2.4879554787638063,9.090723433770929e-05,-4.277609874157711,-0.0029174397659835418,216.98357354009318
1,0,22,-2.2508617931833492,0.00010504037043217003,-3.8784322509443796,-0.0029174397659835418,216.98357354009318
1,0,23,-1.9889582147045122,0.00011449625335812353,-3.4134917862265683,-0.0029174397659835418,216.98357354009318
1,0,24,-1.699093304427265,0.00013522966264599594,-2.913553591533594,-0.0029174397659835418,216.98357354009318
1,0,25,-1.4736838581015974,0.00015335776190627688,-2.5194054214770216,-0.0029174397659835418,216.98357354009318
1,0,26,-1.4362526445399546,0.00015569952468586678,-2.4467332619517768,-0.0029174397659835418,216.98357354009318
1,0,27,-1.1844222166252887,0.00018450348376694892,-2.005497339349526,-0.0029174397659835418,216.98357354009318
1,0,28,-0.9417570256493815,0.0002264353013334391,-1.5809525727123215,-0.0029174397659835418,216.98357354009318
1,0,29,-0.09108983622109867,0.0002477412918563387,-0.11573213857619735,-0.0029174397659835418,216.98357354009318
1,0,30,-0.7164476471188383,0.0002807680750088691,-1.1836178132366313,-0.0029174397659835418,216.98357354009318
1,0,31,-0.5024255422503043,0.0003543507699222807,-0.8057729023230009,-0.0029174397659835418,216.98357354009318
1,1,0,0.2386301964201461,0.00015272032146288535,0.09028023567335249,-0.0029174397659835418,216.98357354009318
1,1,1,0.7876732878591793,4.57404814318627e-05,0.25802665852179346,-0.0029174397659835418,216.98357354009318
1,1,2,0.9748099064721025,3.5903663228426285e-05,0.18746576338942372,-0.0029174397659835418,216.98357354009318
1,1,3,1.0019451795665588,3.320592856438795e-05,-0.07333635088394314,-0.0029174397659835418,216.98357354009318
1,1,4,2.3462583412103886,1.0242787176725436e-05,-13.735291956080179,-0.0029174397659835418,216.98357354009318
1,1,5,-0.7683094302647452,1.7643805069867773e-05,21.0722711936961,-0.0029174397659835418,216.98357354009318
1,1,6,1.1089831872150182,2.616864298292468e-05,-17.387237216696573,-0.0029174397659835418,216.98357354009318
1,1,7,-0.6267994561196957,3.096929721243569e-05,10.758781186005898,-0.0029174397659835418,216.98357354009318
1,1,8,0.6953672832625041,3.774636663171248e-05,-10.25602129708342,-0.0029174397659835418,216.98357354009318
1,1,9,-0.2095807481374466,4.206106105433045e-05,4.053746340328298,-0.0029174397659835418,216.98357354009318
1,1,10,0.5047997844541066,5.4189730982666764e-05,-7.020830665264258,-0.0029174397659835418,216.98357354009318
1,1,11,0.07517299363491331,5.812776206424033e-05,-0.152759202883968,-0.0029174397659835418,216.98357354009318
1,1,12,0.45819435503289885,6.650595493507385e-05,-5.948702362117649,-0.0029174397659835418,216.98357354009318
1,1,13,0.24654977862591881,7.453647107349947e-05,-2.538544523220984,-0.0029174397659835418,216.98357354009318
1,1,14,0.47557927422193513,7.36365809370759e-05,-5.859412151622655,-0.0029174397659835418,216.98357354009318
1,1,15,0.38594536910572913,7.637958030133451e-05,-4.335558796683557,-0.0029174397659835418,216.98357354009318
1,1,16,0.44457478877742534,8.740422636725634e-05,-5.334846476369006,-0.0029174397659835418,216.98357354009318
1,1,17,0.4919858191230371,6.696879563511964e-05,-5.616762109594495,-0.0029174397659835418,216.98357354009318
1,1,18,0.46443187844515604,8.100992173305227e-05,-5.4269230766371646,-0.0029174397659835418,216.98357354009318
1,1,19,0.4364188929346943,7.741585905758981e-05,-4.946999424876869,-0.0029174397659835418,216.98357354009318
1,1,20,0.41082567616239823,8.972522558145527e-05,-4.717333125278974,-0.0029174397659835418,216.98357354009318
1,1,21,0.38092794324720747,9.090723433770929e-05,-4.277609874157711,-0.0029174397659835418,216.98357354009318
1,1,22,0.3450265167378039,0.00010504037043217003,-3.8784322509443796,-0.0029174397659835418,216.98357354009318
1,1,23,0.30888407007071805,0.00011449625335812353,-3.4134917862265683,-0.0029174397659835418,216.98357354009318
1,1,24,0.26612735001442944,0.00013522966264599594,-2.913553591533594,-0.0029174397659835418,216.98357354009318
1,1,25,0.23394284145775118,0.00015335776190627688,-2.5194054214770216,-0.0029174397659835418,216.98357354009318
1,1,26,0.2322335066338037,0.00015569952468586678,-2.4467332619517768,-0.0029174397659835418,216.98357354009318
1,1,27,0.1971260533803749,0.00018450348376694892,-2.005497339349526,-0.0029174397659835418,216.98357354009318
1,1,28,0.16338836474950866,0.0002264353013334391,-1.5809525727123215,-0.0029174397659835418,216.98357354009318
1,1,29,0.018839639703316778,0.0002477412918563387,-0.11573213857619735,-0.0029174397659835418,216.98357354009318
1,1,30,0.13293275013401096,0.0002807680750088691,-1.1836178132366313,-0.0029174397659835418,216.98357354009318
1,1,31,0.10443763106057981,0.0003543507699222807,-0.8057729023230009,-0.0029174397659835418,216.98357354009318
1,2,0,-0.6084225644791335,0.00015272032146288535,0.09028023567335249,-0.0029174397659835418,216.98357354009318
1,2,1,-2.025296102014027,4.57404814318627e-05,0.25802665852179346,-0.0029174397659835418,216.98357354009318
1,2,2,-2.5620378355421747,3.5903663228426285e-05,0.18746576338942372,-0.0029174397659835418,216.98357354009318
1,2,3,-2.7448191016611543,3.320592856438795e-05,-0.07333635088394314,-0.0029174397659835418,216.98357354009318
1,2,4,-12.481881550014162,1.0242787176725436e-05,-13.735291956080179,-0.0029174397659835418,216.98357354009318
1,2,5,11.085467209109778,1.7643805069867773e-05,21.0722711936961,-0.0029174397659835418,216.98357354009318
1,2,6,-11.71824835844261,2.616864298292468e-05,-17.387237216696573,-0.0029174397659835418,216.98357354009318
1,2,7,6.6788006149492185,3.096929721243569e-05,10.758781186005898,-0.0029174397659835418,216.98357354009318
1,2,8,-7.302101867326292,3.774636663171248e-05,-10.25602129708342,-0.0029174397659835418,216.98357354009318
1,2,9,2.2128732480569826,4.206106105433045e-05,4.053746340328298,-0.0029174397659835418,216.98357354009318
1,2,10,-5.267893456442023,5.4189730982666764e-05,-7.020830665264258,-0.0029174397659835418,216.98357354009318
1,2,11,-0.7417557454744246,5.812776206424033e-05,-0.152759202883968,-0.0029174397659835418,216.98357354009318
1,2,12,-4.73070491320434,6.650595493507385e-05,-5.948702362117649,-0.0029174397659835418,216.98357354009318
1,2,13,-2.493346857033125,7.453647107349947e-05,-2.538544523220984,-0.0029174397659835418,216.98357354009318
1,2,14,-4.860307046681936,7.36365809370759e-05,-5.859412151622655,-0.0029174397659835418,216.98357354009318
1,2,15,-3.8999742867779594,7.637958030133451e-05,-4.335558796683557,-0.0029174397659835418,216.98357354009318
1,2,16,-4.510973219767714,8.740422636725634e-05,-5.334846476369006,-0.0029174397659835418,216.98357354009318
1,2,17,-4.955284172993589,6.696879563511964e-05,-5.616762109594495,-0.0029174397659835418,216.98357354009318
1,2,18,-4.677021040439088,8.100992173305227e-05,-5.4269230766371646,-0.0029174397659835418,216.98357354009318
