panel_count,arc_fraction_lower,arc_fraction_upper,residual_energy_fraction
80,0.0,0.1,0.9774952643947337
80,0.1,0.25,0.019245081883143868
80,0.25,0.5,0.0005372934497015607
80,0.5,0.75,0.0001616422448485589
80,0.75,0.9,0.0009006162342971105
80,0.9,1.0,0.0016601017932752079
160,0.0,0.1,0.9781676817057299
160,0.1,0.25,0.018631279702568473
160,0.25,0.5,0.00045005559074284525
160,0.5,0.75,0.00014448493637858888
160,0.75,0.9,0.0008850061225964782
160,0.9,1.0,0.0017214919419836342
320,0.0,0.1,0.9798359849937185
320,0.1,0.25,0.016953701081996325
320,0.25,0.5,0.0004395890707731796
320,0.5,0.75,0.00013724297752375366
320,0.75,0.9,0.0008749672108993503
320,0.9,1.0,0.0017585146650887682
