grid_label,reference_row_id,coefficient,coefficient_family,omega_e_sqrt_l_over_g,omega_e_rad_s,speed_mps,fn_l,reference_value,computed_value,dimensional_value,normalization_scale,abs_error,rel_error,relative_tolerance,effective_abs_tolerance,gate_error_ratio,status,provider_route,force_assembly_route,formula_version,station_count,active_station_count,lcg_from_transom_m,body_panels_per_section,free_surface_inner_panels_per_side,control_surface_panels,apply_local_time_phase,local_time_phase_gradient_correction,force_closure_residual,heave_condition_number_max,pitch_condition_number_max,heave_linear_residual_max,pitch_linear_residual_max,empirical_output_scaling_used,reference_series,reference_role,source_figure,source_page,source_image
refined,0,A33,A,2.0,3.616010693199528,2.1696064159197173,0.4,1.07,1.05961281809095,84.71604480637147,79.95,0.01038718190904997,0.009707646643971933,0.15,0.1605,0.06471764429314622,PASS,matched_bie_station_sweep,eq32_stokes_body_plus_end,ma2005_a1_eq4_eq6_eq30_eq34_matched_bie_v1,41,39,1.5,40,30,60,True,True,0.0,109.18043991577969,109.18043991577969,5.344904085424459e-16,4.565227923711224e-16,False,matched_biem_theory,implementation_reproduction_gate,Fig. 11,952,p16_Im14.tiff.png
refined,1,A33,A,2.23,4.031851922917474,2.1696064159197173,0.4,0.941,0.9293819888926221,74.30409001196514,79.95,0.011618011107377813,0.01234645176129417,0.15,0.14115,0.0823096784086278,PASS,matched_bie_station_sweep,eq32_stokes_body_plus_end,ma2005_a1_eq4_eq6_eq30_eq34_matched_bie_v1,41,39,1.5,40,30,60,True,True,0.0,109.18043991577969,109.18043991577969,4.952576963207345e-16,4.590173821447897e-16,False,matched_biem_theory,implementation_reproduction_gate,Fig. 11,952,p16_Im14.tiff.png
refined,2,B33,B,2.23,4.031851922917474,2.1696064159197173,0.4,2.05,2.0490161955614257,296.185347335723,144.55002746065114,0.000983804438574154,0.0004799046041825142,0.15,0.30749999999999994,0.0031993640278834283,PASS,matched_bie_station_sweep,eq32_stokes_body_plus_end,ma2005_a1_eq4_eq6_eq30_eq34_matched_bie_v1,41,39,1.5,40,30,60,True,True,-0.0,109.18043991577969,109.18043991577969,4.952576963207345e-16,4.590173821447897e-16,False,matched_biem_theory,implementation_reproduction_gate,Fig. 12,952,p16_Im15.tiff.png
refined,3,A53,A,2.0,3.616010693199528,2.1696064159197173,0.4,0.19,0.18666350293094205,44.771241177986454,239.85000000000002,0.0033364970690579476,0.017560510889778672,0.15,0.028499999999999998,0.11707007259852449,PASS,matched_bie_station_sweep,eq32_stokes_body_plus_end,ma2005_a1_eq4_eq6_eq30_eq34_matched_bie_v1,41,39,1.5,40,30,60,True,True,0.0,109.18043991577969,109.18043991577969,5.344904085424459e-16,4.565227923711224e-16,False,matched_biem_theory,implementation_reproduction_gate,Fig. 13,953,p17_Im16.tiff.png
refined,4,A53,A,2.23,4.031851922917474,2.1696064159197173,0.4,0.145,0.1436549270121946,34.455634243874876,239.85000000000002,0.0013450729878053957,0.00927636543314066,0.15,0.02175,0.06184243622093774,PASS,matched_bie_station_sweep,eq32_stokes_body_plus_end,ma2005_a1_eq4_eq6_eq30_eq34_matched_bie_v1,41,39,1.5,40,30,60,True,True,0.0,109.18043991577969,109.18043991577969,4.952576963207345e-16,4.590173821447897e-16,False,matched_biem_theory,implementation_reproduction_gate,Fig. 13,953,p17_Im16.tiff.png
refined,5,B53,B,2.23,4.031851922917474,2.1696064159197173,0.4,-0.106,-0.10827027613655105,-46.95141416613221,433.65008238195344,0.00227027613655105,0.021417699401425,0.15,0.015899999999999997,0.14278466267616668,PASS,matched_bie_station_sweep,eq32_stokes_body_plus_end,ma2005_a1_eq4_eq6_eq30_eq34_matched_bie_v1,41,39,1.5,40,30,60,True,True,-0.0,109.18043991577969,109.18043991577969,4.952576963207345e-16,4.590173821447897e-16,False,matched_biem_theory,diagnostic_reference,Fig. 14,953,p17_Im17.tiff.png
refined,6,A35,A,2.23,4.031851922917474,2.1696064159197173,0.4,-0.125,-0.1264539862806383,-30.329988609411103,239.85000000000002,0.0014539862806383086,0.011631890245106469,0.15,0.01875,0.07754593496737647,PASS,matched_bie_station_sweep,eq32_stokes_body_plus_end,ma2005_a1_eq4_eq6_eq30_eq34_matched_bie_v1,41,39,1.5,40,30,60,True,True,0.0,109.18043991577969,109.18043991577969,4.952576963207345e-16,4.590173821447897e-16,False,matched_biem_theory,diagnostic_reference,Fig. 15,954,p18_Im18.tiff.png
refined,7,B35,B,2.23,4.031851922917474,2.1696064159197173,0.4,0.163,0.1608096188253851,69.73510445143879,433.65008238195344,0.002190381174614897,0.01343792131665581,0.15,0.02445,0.08958614211103874,PASS,matched_bie_station_sweep,eq32_stokes_body_plus_end,ma2005_a1_eq4_eq6_eq30_eq34_matched_bie_v1,41,39,1.5,40,30,60,True,True,-0.0,109.18043991577969,109.18043991577969,4.952576963207345e-16,4.590173821447897e-16,False,matched_biem_theory,diagnostic_reference,Fig. 16,954,p18_Im19.tiff.png
refined,8,A55,A,2.23,4.031851922917474,2.1696064159197173,0.4,0.0458,0.04413135168251937,31.754714103156815,719.5500000000001,0.0016686483174806338,0.036433369377306415,0.15,0.00687,0.24288912918204275,PASS,matched_bie_station_sweep,eq32_stokes_body_plus_end,ma2005_a1_eq4_eq6_eq30_eq34_matched_bie_v1,41,39,1.5,40,30,60,True,True,0.0,109.18043991577969,109.18043991577969,4.952576963207345e-16,4.590173821447897e-16,False,matched_biem_theory,diagnostic_reference,Fig. 17,955,p19_Im20.tiff.png
refined,9,B55,B,2.23,4.031851922917474,2.1696064159197173,0.4,0.0703,0.06936899537712825,90.24561168013504,1300.9502471458604,0.0009310046228717533,0.013243309002443148,0.15,0.010545,0.08828872668295432,PASS,matched_bie_station_sweep,eq32_stokes_body_plus_end,ma2005_a1_eq4_eq6_eq30_eq34_matched_bie_v1,41,39,1.5,40,30,60,True,True,-0.0,109.18043991577969,109.18043991577969,4.952576963207345e-16,4.590173821447897e-16,False,matched_biem_theory,diagnostic_reference,Fig. 18,955,p19_Im21.tiff.png
